"Date","Lake","Transect","Species","Effort","Obs","cpue"
2019-06-25,"5 Island","1","COC",0.267222222222222,2,7.48440748440748
2019-06-14,"5 Island","4","COC",0.267222222222222,2,7.48440748440748
2019-08-02,"5 Island","4","COC",0.268055555555556,5,18.6528497409326
2019-06-03,"Center","1","BIB",0.268611111111111,12,44.6742502585315
2019-06-03,"Center","1","COC",0.268611111111111,2,7.44570837642192
2019-09-21,"Silver","6","COC",0.268888888888889,3,11.1570247933884
2019-10-20,"5 Island","4","BIB",0.269166666666667,3,11.1455108359133
2019-10-20,"5 Island","4","COC",0.269166666666667,1,3.71517027863777
2019-06-03,"Silver","4","BIB",0.269722222222222,2,7.41503604531411
2019-06-03,"Silver","4","COC",0.269722222222222,6,22.2451081359423
2019-05-30,"Blue","4","COC",0.272222222222222,17,62.4489795918367
2019-05-20,"Silver","2","BIB",0.273055555555556,1,3.66225839267548
2019-05-20,"Silver","2","COC",0.273055555555556,3,10.9867751780265
2019-05-31,"Storm","2","BIB",0.273611111111111,1,3.65482233502538
2019-05-31,"Storm","2","COC",0.273611111111111,19,69.4416243654822
2019-07-30,"Center","5","BIB",0.274444444444444,1,3.64372469635628
2019-07-30,"Center","5","COC",0.274444444444444,2,7.28744939271255
2019-05-20,"Silver","3","BIB",0.274722222222222,1,3.64004044489383
2019-05-20,"Silver","3","COC",0.274722222222222,5,18.2002022244692
2019-05-31,"Storm","3","COC",0.274722222222222,3,10.9201213346815
2019-09-08,"5 Island","4","dummy",0.275,1,3.63636363636364
2019-05-15,"Storm","5","COC",0.275277777777778,5,18.1634712411705
2019-06-17,"5 Island","1","COC",0.275833333333333,4,14.5015105740181
2019-09-21,"Silver","4","COC",0.276944444444444,11,39.7191574724173
2019-09-22,"Center","3","BIB",0.277777777777778,9,32.4
2019-06-13,"Storm","3","dummy",0.278055555555556,1,3.5964035964036
2019-06-03,"Center","2","BIB",0.278888888888889,2,7.17131474103586
2019-06-03,"Center","2","COC",0.278888888888889,2,7.17131474103586
2019-06-12,"Silver","3","BIB",0.279722222222222,3,10.7249255213505
2019-06-17,"5 Island","3","COC",0.279722222222222,6,21.4498510427011
2019-06-12,"Silver","3","COC",0.279722222222222,4,14.2999006951341
2019-06-18,"Silver","6","COC",0.279722222222222,16,57.1996027805363
2019-10-20,"5 Island","3","BIB",0.283055555555556,2,7.0657507360157
2019-10-20,"5 Island","3","COC",0.283055555555556,5,17.6643768400393
2019-09-08,"5 Island","5","COC",0.283333333333333,3,10.5882352941176
2019-09-07,"Storm","6","COC",0.283333333333333,27,95.2941176470588
2019-06-18,"Silver","3","COC",0.286388888888889,4,13.9670223084384
2019-06-03,"Silver","5","BIB",0.287222222222222,10,34.816247582205
2019-06-03,"Silver","5","COC",0.287222222222222,4,13.926499032882
2019-06-04,"Storm","2","COC",0.293055555555556,10,34.1232227488152
2019-05-20,"Silver","5","BIB",0.294444444444444,2,6.79245283018868
2019-05-20,"Silver","5","COC",0.294444444444444,2,6.79245283018868
2019-05-29,"Center","1","COC",0.294722222222222,1,3.39302544769086
2019-06-03,"Silver","1","COC",0.299166666666667,1,3.34261838440111
2019-06-28,"Storm","7","COC",0.299166666666667,4,13.3704735376045
2019-06-03,"Silver","7","BIB",0.299444444444444,1,3.33951762523191
2019-06-03,"Silver","7","COC",0.299444444444444,1,3.33951762523191
2019-05-20,"Silver","6","COC",0.299722222222222,3,10.0092678405931
2019-05-07,"S Twin","2","BIB",0.300277777777778,4,13.3209990749306
2019-05-07,"S Twin","2","COC",0.300277777777778,1,3.33024976873266
2019-06-25,"5 Island","6","COC",0.305555555555556,12,39.2727272727273
2019-06-25,"5 Island","4","COC",0.306111111111111,3,9.80036297640653
2019-05-14,"Center","3","COC",0.311944444444444,1,3.20569902048085
2019-06-17,"5 Island","4","COC",0.315277777777778,2,6.34361233480176
2019-05-27,"5 Island","5","BIB",0.315555555555556,1,3.16901408450704
2019-06-25,"5 Island","5","COC",0.315833333333333,6,18.9973614775726
2019-04-27,"Center","1","COC",0.317222222222222,15,47.2854640980736
2019-06-14,"5 Island","2","COC",0.321111111111111,2,6.22837370242214
2019-06-26,"Storm","1","COC",0.324722222222222,2,6.15911035072712
2019-06-25,"5 Island","2","COC",0.328888888888889,5,15.2027027027027
2019-05-27,"5 Island","4","COC",0.335833333333333,3,8.93300248138958
2019-06-28,"Storm","4","COC",0.341388888888889,2,5.85842148087876
2019-06-12,"Silver","1","COC",0.347222222222222,2,5.76
2019-06-12,"Silver","2","BIB",0.359166666666667,2,5.56844547563805
2019-06-12,"Silver","2","COC",0.359166666666667,3,8.35266821345708
2019-06-14,"5 Island","1","COC",0.366111111111111,2,5.46282245827011
2019-06-17,"5 Island","5","BIB",0.414722222222222,1,2.41125251172137
2019-06-17,"5 Island","5","COC",0.414722222222222,12,28.9350301406564
