Date,Lake,Envelope,Species,Length,Weight,Age
5/22/2018,Five Island,143,BIB,727,5508,20
5/22/2018,Five Island,144,BIB,742,4983,6
5/22/2018,Five Island,145,BIB,576,3104,15
5/22/2018,Five Island,146,BIB,756,6414,16
5/22/2018,Five Island,147,BIB,772,7292,16
5/22/2018,Five Island,148,BIB,718,5582,12
5/22/2018,Five Island,149,BIB,747,5720,21
5/22/2018,Five Island,150,BIB,719,5743,7
5/22/2018,Five Island,151,BIB,,3570,17
5/22/2018,Five Island,152,BIB,616,3369,11
5/22/2018,Five Island,153,BIB,668,4602,14
5/22/2018,Five Island,154,BIB,626,3269,16
5/22/2018,Five Island,155,BIB,686,4840,19
5/22/2018,Five Island,156,BIB,695,4765,12
5/22/2018,Five Island,157,BIB,633,3723,8
5/22/2018,Five Island,158,BIB,763,6734,20
5/22/2018,Five Island,159,BIB,714,5963,22
5/22/2018,Five Island,160,BIB,706,4819,21
5/30/2018,Five Island,161,BIB,448,432,22
5/30/2018,Five Island,162,BIB,625,2396,22
5/30/2018,Five Island,163,BIB,460,1496,9
5/30/2018,Five Island,164,BIB,577,2953,12
5/30/2018,Five Island,165,BIB,583,2890,11
5/30/2018,Five Island,166,BIB,594,2651,9
5/30/2018,Five Island,167,BIB,624,3462,10
5/30/2018,Five Island,168,BIB,471,1439,2
5/30/2018,Five Island,169,BIB,788,2644,15
5/30/2018,Five Island,170,BIB,627,3440,13
5/30/2018,Five Island,171,BIB,606,3378,10
5/30/2018,Five Island,172,BIB,485,1751,3
5/30/2018,Five Island,173,BIB,596,2811,15
5/30/2018,Five Island,174,BIB,628,3488,11
5/30/2018,Five Island,175,BIB,462,2795,4
5/30/2018,Five Island,176,BIB,772,5918,13
5/30/2018,Five Island,177,BIB,608,3022,12
5/30/2018,Five Island,178,BIB,596,3078,12
5/30/2018,Five Island,179,BIB,559,2386,13
5/30/2018,Five Island,180,BIB,579,2851,10
5/30/2018,Five Island,181,BIB,622,3412,9
5/30/2018,Five Island,182,BIB,542,2094,5
5/30/2018,Five Island,183,BIB,549,2258,6
5/30/2018,Five Island,184,BIB,637,3515,11
5/30/2018,Five Island,185,BIB,600,2895,9
5/30/2018,Five Island,186,BIB,616,3046,11
5/30/2018,Five Island,187,BIB,584,2706,13
5/30/2018,Five Island,188,BIB,684,3412,14
5/30/2018,Five Island,189,BIB,709,5286,9
5/30/2018,Five Island,190,COC,627,4409,12
5/30/2018,Five Island,191,COC,722,4351,12
5/30/2018,Five Island,192,COC,706,4008,11
5/30/2018,Five Island,193,COC,650,6109,12
5/30/2018,Five Island,194,COC,611,6024,14
5/30/2018,Five Island,195,COC,732,6278,11
5/30/2018,Five Island,196,COC,660,6445,8
5/30/2018,Five Island,197,COC,656,4932,15
5/30/2018,Five Island,198,COC,688,4982,8
5/30/2018,Five Island,199,COC,619,3802,12
5/30/2018,Five Island,200,COC,595,3497,7
5/30/2018,Five Island,201,COC,630,4479,8
5/30/2018,Five Island,202,COC,654,5198,14
5/30/2018,Five Island,203,COC,696,4789,12
5/30/2018,Five Island,204,COC,696,3326,7
5/30/2018,Five Island,205,COC,661,3619,11
