Date,Lake,TAG.NUMBER,Species,Length..mm.,Weight..g.,Notes,Year,Group,Otolith Weight,Otolith Diameter,D.spine.age,P.spine.age,Sect.Otolith.Age,Sand.Otolith.Age
6/5/2018,Center,Env52,BIB,600,3293,Aging Fish,2018,G,,,,,,
6/5/2018,Center,Env58,BIB,730,1572,Aging Fish,2018,I,,,,,,
6/5/2018,Center,Env59,BIB,557,1439,Aging Fish,2018,F,,,,,,
6/5/2018,Center,Env61,BIB,599,3644,Aging Fish,2018,F,,,,,,
6/5/2018,Center,Env62,BIB,763,6898,Aging Fish,2018,J,,,,,,
6/5/2018,Center,Env63,BIB,648,4517,Aging Fish,2018,G,,,,,,
6/5/2018,Center,Env64,BIB,684,5232,Aging Fish,2018,H,,,,,,
6/5/2018,Center,Env66,BIB,443,1464,Aging Fish,2018,C,,,,,,
6/5/2018,Center,Env71,BIB,725,6058,Aging Fish,2018,I,,,,,,
6/5/2018,Center,Env72,BIB,793,7941,Aging Fish,2018,J,,,,,,
6/5/2018,Center,Env73,BIB,722,6647,Aging Fish,2018,I,,,,,,
6/5/2018,Center,Env74,BIB,699,4824,Aging Fish,2018,H,,,,,,
6/5/2018,Center,Env75,BIB,645,4304,Aging Fish,2018,G,,,,,,
6/5/2018,Center,Env79,BIB,645,4059,Aging Fish,2018,G,,,,,,
6/5/2018,Center,Env8,BIB,448,1929,Aging Fish,2018,C,,,,,,
6/5/2018,Center,Env83,BIB,657,3525,Aging Fish,2018,H,,,,,,
6/5/2018,Center,Env89,BIB,746,6135,Aging Fish,2018,I,,,,,,
5/24/2018,Silver,Env100,BIB,692,5536,Aging Fish,2018,H,,,,,,
5/24/2018,Silver,Env101,BIB,536,2646,Aging Fish,2018,E,,,,,,
5/24/2018,Silver,Env107,BIB,373,1124,Aging Fish,2018,B,,,,,,
6/26/2018,Silver,Env121,BIB,627,4321,Aging Fish,2018,G,,,,,,
6/26/2018,Silver,Env123,BIB,775,8239,Aging Fish,2018,J,,,,,,
5/9/2018,Silver,Env13,BIB,588,3182,Aging Fish,2018,F,,,,,,
6/26/2018,Silver,Env137,BIB,535,2241,Aging Fish,2018,E,,,,,,
5/9/2018,Silver,Env14,BIB,713,6335,Aging Fish,2018,I,,,,,,
6/26/2018,Silver,Env140,BIB,690,4470,Aging Fish,2018,H,,,,,,
6/26/2018,Silver,Env141,BIB,570,2910,Aging Fish,2018,F,,,,,,
6/26/2018,Silver,Env142,BIB,756,6378,Aging Fish,2018,J,,,,,,
5/15/2018,Silver,Env15,BIB,685,4520,Aging Fish,2018,H,,,,,,
5/15/2018,Silver,Env18,BIB,322,608,Aging Fish,2018,A,,,,,,
5/15/2018,Silver,Env19,BIB,356,865,Aging Fish,2018,B,,,,,,
5/9/2018,Silver,Env2,BIB,779,8475,Aging Fish,2018,J,,,,,,
5/15/2018,Silver,Env25,BIB,731,6666,Aging Fish,2018,I,,,,,,
5/15/2018,Silver,Env27,BIB,606,3880,Aging Fish,2018,G,,,,,,
5/15/2018,Silver,Env28,BIB,723,6329,Aging Fish,2018,I,,,,,,
5/15/2018,Silver,Env29,BIB,757,7210,Aging Fish,2018,J,,,,,,
5/9/2018,Silver,Env3,BIB,816,11975,Aging Fish,2018,K,,,,,,
5/15/2018,Silver,Env30,BIB,378,1215,Aging Fish,2018,B,,,,,,
5/15/2018,Silver,Env47,BIB,340,730,Aging Fish,2018,A,,,,,,
5/15/2018,Silver,Env48,BIB,372,1056,Aging Fish,2018,B,,,,,,
5/15/2018,Silver,Env49,BIB,338,764,Aging Fish,2018,A,,,,,,
5/15/2018,Silver,Env53,BIB,740,7866,Aging Fish,2018,I,,,,,,
5/15/2018,Silver,Env55,BIB,566,2957,Aging Fish,2018,F,,,,,,
5/9/2018,Silver,Env6,BIB,552,2668,Aging Fish,2018,F,,,,,,
5/15/2018,Silver,Env60,BIB,326,512,Aging Fish,2018,A,,,,,,
5/15/2018,Silver,Env61,BIB,630,4515,Aging Fish,2018,G,,,,,,
5/15/2018,Silver,Env63,BIB,535,2718,Aging Fish,2018,E,,,,,,
5/15/2018,Silver,Env66,BIB,813,9239,Aging Fish,2018,K,,,,,,
5/15/2018,Silver,Env67,BIB,490,2020,Aging Fish,2018,D,,,,,,
5/24/2018,Silver,Env82,BIB,494,5645,Aging Fish,2018,D,,,,,,
5/24/2018,Silver,Env84,BIB,497,2308,Aging Fish,2018,D,,,,,,
5/24/2018,Silver,Env87,BIB,501,2649,Aging Fish,2018,E,,,,,,
5/24/2018,Silver,Env89,BIB,667,5376,Aging Fish,2018,H,,,,,,
5/24/2018,Silver,Env93,BIB,497,2296,Aging Fish,2018,D,,,,,,
5/24/2018,Silver,Env94,BIB,815,8146,Aging Fish,2018,K,,,,,,
5/24/2018,Silver,Env97,BIB,804,10687,Aging Fish,2018,K,,,,,,
5/24/2018,Silver,Env99,BIB,644,4265,Aging Fish,2018,G,,,,,,
