"","Date","Lake","TAG.NUMBER","Species","Length..mm.","Weight..g.","Fin.Clipped","Notes","Year"
"451","5/1/2018","N. Twin","14853","BIB",607,3107,"R Pectoral","Spine Taken 67",2018
"452","5/1/2018","N. Twin","14854","BIB",706,5307,"R Pectoral","Spine Taken 68",2018
"453","5/1/2018","N. Twin","14855","BIB",739,6169,"R Pectoral","Spine Taken 69",2018
"454","5/1/2018","N. Twin","14856","BIB",660,3765,"R Pectoral","Spine Taken 70",2018
"455","5/1/2018","N. Twin","14857","BIB",711,5738,"R Pectoral","Spine Taken 71",2018
"456","5/1/2018","N. Twin","14858","BIB",681,4785,"R Pectoral","Spine Taken 72",2018
"457","5/1/2018","N. Twin","14859","BIB",742,6396,"R Pectoral","Spine Taken 73",2018
"458","5/1/2018","N. Twin","14860","BIB",805,7688,"R Pectoral","Spine Taken 74",2018
"459","5/1/2018","N. Twin","14861","BIB",612,3175,"R Pectoral","Spine Taken 75",2018
"460","5/1/2018","N. Twin","14862","BIB",767,6600,"R Pectoral","Spine Taken 77",2018
"461","5/1/2018","N. Twin","14863","BIB",757,6418,"R Pectoral","Spine Taken 78",2018
"462","5/1/2018","N. Twin","14864","BIB",765,6985,"R Pectoral","Spine Taken 79",2018
"463","5/1/2018","N. Twin","14865","BIB",518,2018,"R Pectoral","Spine Taken 80",2018
"464","5/1/2018","N. Twin","14866","BIB",805,7847,"R Pectoral","Spine Taken 81",2018
"465","5/1/2018","N. Twin","14867","COC",594,2835,"R Pectoral","Spine Taken 82",2018
"466","5/1/2018","N. Twin","14868","BIB",660,4400,"R Pectoral","Spine Taken 83",2018
"467","5/1/2018","N. Twin","14869","BIB",554,2699,"R Pectoral","Spine Taken 88",2018
"468","5/1/2018","N. Twin","14870","BIB",704,4899,"R Pectoral","Spine Taken 89",2018
"469","5/1/2018","N. Twin","14871","BIB",592,2948,"R Pectoral","Spine Taken 87",2018
"470","5/1/2018","N. Twin","14872","BIB",625,3289,"R Pectoral","Spine Taken 90",2018
"471","5/1/2018","N. Twin","14873","BIB",508,1882,"R Pectoral","Spine Taken 86",2018
"472","5/1/2018","N. Twin","14874","BIB",818,7530,"R Pectoral","Spine Taken 85",2018
"473","5/1/2018","N. Twin","14875","BIB",808,7507,"R Pectoral","Spine Taken 84",2018
"480","5/1/2018","N. Twin","14885","BIB",653,4740,"R Pectoral","Spine Taken 33",2018
"481","5/1/2018","N. Twin","14886","BIB",711,5262,"R Pectoral","Spine Taken 34",2018
"482","5/1/2018","N. Twin","14887","BIB",770,6328,"R Pectoral","Spine Taken 32",2018
"483","5/1/2018","N. Twin","14888","BIB",655,3946,"R Pectoral","Spine Taken 31",2018
"484","5/1/2018","N. Twin","14889","BIB",759,6305,"R Pectoral","Spine Taken 35",2018
"485","5/1/2018","N. Twin","14890","BIB",721,5715,"R Pectoral","Spine Taken 36",2018
"486","5/1/2018","N. Twin","14891","BIB",569,2812,"R Pectoral","Spine Taken 37",2018
"487","5/1/2018","N. Twin","14893","BIB",739,5783,"R Pectoral","Spine Taken 38",2018
"488","5/1/2018","N. Twin","14894","BIB",767,6917,"R Pectoral","Spine Taken 39",2018
"489","5/1/2018","N. Twin","14895","BIB",747,5942,"R Pectoral","Spine Taken 40",2018
"490","5/1/2018","N. Twin","14896","BIB",678,5103,"R Pectoral","Spine Taken 42",2018
"491","5/1/2018","N. Twin","14897","BIB",757,6169,"R Pectoral","Spine Taken 43",2018
"492","5/1/2018","N. Twin","14898","BIB",724,6101,"R Pectoral","Spine Taken 44",2018
"493","5/1/2018","N. Twin","14900","BIB",724,5783,"R Pectoral","Spine Taken 41",2018
"660","5/1/2018","N. Twin","15201","BIB",742,6396,"R Pectoral","Spine Taken 22",2018
"661","5/1/2018","N. Twin","15202","BIB",734,5375,"R Pectoral","Spine Taken 23",2018
"662","5/1/2018","N. Twin","15203","BIB",665,5035,"R Pectoral","Spine Taken 24",2018
"663","5/1/2018","N. Twin","15204","BIB",749,6214,"R Pectoral","Spine Taken 25",2018
"664","5/1/2018","N. Twin","15205","BIB",721,5398,"R Pectoral","Spine Taken 26",2018
"665","5/1/2018","N. Twin","15206","BIB",455,1406,"R Pectoral","Spine Taken 27",2018
"666","5/1/2018","N. Twin","15207","BIB",754,5942,"R Pectoral","Spine Taken 29",2018
"667","5/1/2018","N. Twin","15208","BIB",732,6645,"R Pectoral","Spine Taken 30",2018
"707","5/1/2018","N. Twin","15251","BIB",450,1588,"R Pectoral","Spine Taken 102",2018
"710","5/1/2018","N. Twin","15252","BIB",772,6509,"R Pectoral","Spine Taken 103",2018
"722","5/1/2018","N. Twin","15265","COC",577,2631,"R Pectoral","Spine Taken 101",2018
"723","5/1/2018","N. Twin","15266","BIB",696,5284,"R Pectoral","Spine Taken 100",2018
"724","5/1/2018","N. Twin","15267","BIB",701,5080,"R Pectoral","Spine Taken 99",2018
"725","5/1/2018","N. Twin","15268","COC",767,7462,"R Pectoral","Spine Taken 98",2018
"726","5/1/2018","N. Twin","15269","BIB",699,5443,"R Pectoral","Spine Taken 97",2018
"727","5/1/2018","N. Twin","15270","BIB",777,6532,"R Pectoral","Spine Taken 96",2018
"728","5/1/2018","N. Twin","15271","BIB",643,4105,"R Pectoral","Spine Taken 95",2018
"729","5/1/2018","N. Twin","15272","BIB",640,4037,"R Pectoral","Spine Taken 94",2018
"730","5/1/2018","N. Twin","15273","BIB",653,3856,"R Pectoral","Spine Taken 93",2018
"731","5/1/2018","N. Twin","15274","BIB",787,6940,"R Pectoral","Spine Taken 92",2018
"732","5/1/2018","N. Twin","15275","BIB",584,3062,"R Pectoral","Spine Taken 91",2018
"733","5/1/2018","N. Twin","15276","BIB",638,4332,"R Pectoral","Spine Taken 1",2018
"734","5/1/2018","N. Twin","15277","BIB",747,6532,"R Pectoral","Spine Taken 2",2018
"735","5/1/2018","N. Twin","15278","BIB",714,5942,"R Pectoral","Spine Taken 3",2018
"736","5/1/2018","N. Twin","15279","BIB",673,5103,"R Pectoral","Spine Taken 4",2018
"737","5/1/2018","N. Twin","15280","BIB",729,6396,"R Pectoral","Spine Taken 5",2018
"738","5/1/2018","N. Twin","15282","BIB",439,1905,"R Pectoral","Spine Taken 6",2018
"739","5/1/2018","N. Twin","15283","BIB",706,5035,"R Pectoral","Spine Taken 7",2018
"740","5/1/2018","N. Twin","15284","BIB",724,6804,"R Pectoral","Spine Taken 8",2018
"741","5/1/2018","N. Twin","15285","BIB",470,1656,"R Pectoral","Spine Taken 9",2018
"742","5/1/2018","N. Twin","15286","BIB",772,6895,"R Pectoral","Spine Taken 10",2018
"743","5/1/2018","N. Twin","15287","BIB",683,4853,"R Pectoral","Spine Taken 11",2018
"744","5/1/2018","N. Twin","15288","BIB",693,5103,"R Pectoral","Spine Taken 12",2018
"745","5/1/2018","N. Twin","15290","BIB",754,5919,"R Pectoral","Spine Taken 13",2018
"746","5/1/2018","N. Twin","15291","BIB",704,4740,"R Pectoral","Spine Taken 14",2018
"747","5/1/2018","N. Twin","15292","BIB",572,3016,"R Pectoral","Spine Taken 19",2018
"748","5/1/2018","N. Twin","15293","BIB",693,5307,"R Pectoral","Spine Taken 20",2018
"749","5/1/2018","N. Twin","15294","BIB",805,7756,"R Pectoral","Spine Taken 21",2018
"750","5/1/2018","N. Twin","15295","BIB",470,1565,"R Pectoral","Spine Taken 16",2018
"751","5/1/2018","N. Twin","15296","BIB",704,5488,"R Pectoral","Spine Taken 17",2018
"752","5/1/2018","N. Twin","15298","BIB",704,5466,"R Pectoral","Spine Taken 18",2018
"753","5/1/2018","N. Twin","15299","BIB",704,5398,"R Pectoral","Spine Taken 15",2018
"778","5/1/2018","N. Twin","15327","COC",836,8528,"R Pectoral","Spine Taken 113",2018
"781","5/1/2018","N. Twin","15330","COC",836,8981,"R Pectoral","Spine Taken 110",2018
"782","5/1/2018","N. Twin","15331","COC",635,3084,"R Pectoral","Spine Taken 111",2018
"783","5/1/2018","N. Twin","15332","COC",589,3084,"R Pectoral","Spine Taken 117",2018
"785","5/1/2018","N. Twin","15334","COC",660,4717,"R Pectoral","Spine Taken 116",2018
"786","5/1/2018","N. Twin","15335","COC",671,4581,"R Pectoral","Spine Taken 115",2018
"787","5/1/2018","N. Twin","15336","COC",737,5262,"R Pectoral","Spine Taken 114",2018
"789","5/1/2018","N. Twin","15338","COC",737,6464,"R Pectoral","Spine Taken 122",2018
"791","5/1/2018","N. Twin","15340","COC",417,1043,"R Pectoral","Spine Taken 121",2018
"792","5/1/2018","N. Twin","15341","COC",559,2313,"R Pectoral","Spine Taken 120",2018
"793","5/1/2018","N. Twin","15342","COC",584,2767,"R Pectoral","Spine Taken 119",2018
"794","5/1/2018","N. Twin","15343","COC",513,2064,"R Pectoral","Spine Taken 118",2018
"795","5/1/2018","N. Twin","15344","COC",775,7484,"R Pectoral","Spine Taken 112",2018
"796","5/1/2018","N. Twin","15345","COC",655,3629,"R Pectoral","Spine Taken 108",2018
"797","5/1/2018","N. Twin","15346","COC",701,5080,"R Pectoral","Spine Taken 107",2018
"798","5/1/2018","N. Twin","15348","COC",638,3992,"R Pectoral","Spine Taken 106",2018
"799","5/1/2018","N. Twin","15349","COC",823,9412,"R Pectoral","Spine Taken 105",2018
"800","5/1/2018","N. Twin","15350","COC",610,3357,"R Pectoral","Spine Taken 104",2018
"5449","5/15/2018","N. Twin","1682","COC",518,2177,"R Pectoral","spine taken env # 150",2018
"5450","5/15/2018","N. Twin","5181","COC",554,2381,"R Pectoral","spine taken env # 151",2018
"5451","5/15/2018","N. Twin","14933","COC",536,2422,"R Pectoral","spine taken env # 163",2018
"5456","5/15/2018","N. Twin","14938","COC",610,3602,"R Pectoral","spine taken env# 162",2018
"5457","5/15/2018","N. Twin","14939","COC",625,4277,"R Pectoral","spine taken env # 161",2018
"5458","5/15/2018","N. Twin","14940","COC",676,4967,"R Pectoral","spine taken env # 160",2018
"5459","5/15/2018","N. Twin","14941","COC",678,4872,"R Pectoral","spine taken env # 159",2018
"5460","5/15/2018","N. Twin","14942","COC",658,4436,"R Pectoral","spine taken env # 158",2018
"5461","5/15/2018","N. Twin","14943","COC",622,3270,"R Pectoral","spine taken env # 157",2018
"5462","5/15/2018","N. Twin","14944","COC",747,7176,"R Pectoral","spine taken env # 156",2018
"5464","5/15/2018","N. Twin","14946","COC",521,1964,"R Pectoral","spine taken env #155",2018
"5466","5/15/2018","N. Twin","14948","COC",605,3107,"R Pectoral","Spine taken env# 154",2018
"5467","5/15/2018","N. Twin","14949","COC",597,3216,"R Pectoral","Spine taken env# 153",2018
"5468","5/15/2018","N. Twin","14950","COC",620,3211,"R Pectoral","spine taken env # 152",2018
"7739","5/18/2018","N. Twin","1644","COC",559,2871,"R Pectoral","spine taken env#191",2018
"7741","5/18/2018","N. Twin","15876","COC",574,3257,"R Pectoral","spine taken env#188",2018
"7742","5/18/2018","N. Twin","15877","COC",584,3574,"R Pectoral","spine taken env#190",2018
"7743","5/18/2018","N. Twin","15878","COC",587,3325,"R Pectoral","spine taken env#189",2018
"7744","5/18/2018","N. Twin","15879","COC",620,4377,"R Pectoral","spine taken env#186",2018
"7745","5/18/2018","N. Twin","15880","COC",706,4291,"R Pectoral","spine taken env#187",2018
"7746","5/18/2018","N. Twin","15881","COC",597,2939,"R Pectoral","spine taken env#185",2018
"7747","5/18/2018","N. Twin","15882","COC",785,7725,"R Pectoral","spine taken env#184",2018
"7748","5/18/2018","N. Twin","15883","COC",511,NA,"R Pectoral","spine taken env#183",2018
"7749","5/18/2018","N. Twin","15888","COC",721,6709,"R Pectoral","spine taken env#182",2018
"7750","5/18/2018","N. Twin","15889","COC",538,2413,"R Pectoral","spine taken env#181",2018
"7753","5/18/2018","N. Twin","15892","COC",630,3715,"R Pectoral","spine taken env#180",2018
"7754","5/18/2018","N. Twin","15893","COC",749,5570,"R Pectoral","spine taken env#179",2018
"7755","5/18/2018","N. Twin","15894","COC",678,5783,"R Pectoral","spine taken env#178",2018
"7756","5/18/2018","N. Twin","15895","COC",686,4345,"R Pectoral","spine taken env#177",2018
"7758","5/18/2018","N. Twin","15897","COC",643,3883,"R Pectoral","spine taken env#176",2018
"7759","5/18/2018","N. Twin","15898","COC",767,6813,"R Pectoral","spine taken env#175",2018
"7762","5/18/2018","N. Twin","16926","COC",625,4377,"R Pectoral","spine taken env#192",2018
"7763","5/18/2018","N. Twin","16937","COC",592,3180,"R Pectoral","spine taken env#200",2018
"7764","5/18/2018","N. Twin","16940","COC",584,2608,"R Pectoral","spine taken env#199",2018
"7765","5/18/2018","N. Twin","16941","COC",470,1610,"R Pectoral","spine taken env#198",2018
"7766","5/18/2018","N. Twin","16942","COC",538,2263,"R Pectoral","spine taken env#197",2018
"7767","5/18/2018","N. Twin","16943","COC",602,3157,"R Pectoral","spine taken env#196",2018
"7768","5/18/2018","N. Twin","16944","COC",605,3252,"R Pectoral","spine taken env#195",2018
"7769","5/18/2018","N. Twin","16945","COC",630,4019,"R Pectoral","spine taken env#194",2018
"7770","5/18/2018","N. Twin","16946","COC",508,2082,"R Pectoral","spine taken env#193",2018
"11069","6/4/2018","N. Twin","1655","COC",569,2495,"R Pectoral","spine taken env#306",2018
"11070","6/4/2018","N. Twin","1777","COC",526,1810,"R Pectoral","spine taken env#307",2018
"11072","6/4/2018","N. Twin","5588","COC",554,2259,"R Pectoral","spine taken env#318",2018
"11075","6/4/2018","N. Twin","16977","COC",587,2939,"R Pectoral","spine taken env#320",2018
"11076","6/4/2018","N. Twin","16978","COC",711,4695,"R Pectoral","spine taken env#319",2018
"11077","6/4/2018","N. Twin","16979","COC",676,4119,"R Pectoral","spine taken env#317",2018
"11078","6/4/2018","N. Twin","16980","COC",714,5629,"R Pectoral","spine taken env#316",2018
"11079","6/4/2018","N. Twin","16981","COC",589,2717,"R Pectoral","spine taken env#315",2018
"11081","6/4/2018","N. Twin","16983","COC",671,3592,"R Pectoral","spine taken env#314",2018
"11082","6/4/2018","N. Twin","16984","COC",536,2050,"R Pectoral","spine taken env#313",2018
"11083","6/4/2018","N. Twin","16985","COC",577,2835,"R Pectoral","spine taken env#312",2018
"11084","6/4/2018","N. Twin","16986","COC",551,2458,"R Pectoral","spine taken env#311",2018
"11085","6/4/2018","N. Twin","16987","COC",569,2427,"R Pectoral","spine taken env#310",2018
"11086","6/4/2018","N. Twin","16988","COC",475,1433,"R Pectoral","spine taken env#309",2018
"11087","6/4/2018","N. Twin","16989","COC",533,1805,"R Pectoral","spine taken env#308",2018
"11088","6/4/2018","N. Twin","16990","COC",655,3833,"R Pectoral","spine taken env#305",2018
"11089","6/4/2018","N. Twin","16991","COC",498,4364,"R Pectoral","spine taken env#304",2018
"11090","6/4/2018","N. Twin","16992","COC",551,2232,"R Pectoral","spine taken env#303",2018
"11091","6/4/2018","N. Twin","16993","COC",610,3084,"R Pectoral","spine taken env#302",2018
"11092","6/4/2018","N. Twin","16994","COC",544,2223,"R Pectoral","spine taken env#301",2018
"11093","6/4/2018","N. Twin","16995","COC",523,2041,"R Pectoral","spine taken env#300",2018
"11648","6/6/2018","N. Twin","6437","COC",617,2685,"R Pectoral","spine taken env#510",2018
"11649","6/6/2018","N. Twin","13726","COC",599,2463,"R Pectoral","spine taken env#523",2018
"11651","6/6/2018","N. Twin","13728","COC",851,8165,"R Pectoral","spine taken env#522",2018
"11652","6/6/2018","N. Twin","13729","COC",673,4599,"R Pectoral","spine taken env#521",2018
"11654","6/6/2018","N. Twin","13731","COC",638,3370,"R Pectoral","spine taken env#520",2018
"11655","6/6/2018","N. Twin","13732","COC",546,1755,"R Pectoral","spine taken env#519",2018
"11656","6/6/2018","N. Twin","13733","COC",472,1143,"R Pectoral","spine taken env#518",2018
"11657","6/6/2018","N. Twin","13734","COC",541,2159,"R Pectoral","spine taken env#517",2018
"11658","6/6/2018","N. Twin","13735","COC",668,3552,"R Pectoral","spine taken env#516",2018
"11659","6/6/2018","N. Twin","13736","COC",663,3642,"R Pectoral","spine taken env#515",2018
"11660","6/6/2018","N. Twin","13737","COC",551,1932,"R Pectoral","spine taken env#513",2018
"11661","6/6/2018","N. Twin","13738","COC",564,2209,"R Pectoral","spine taken env#512",2018
"11662","6/6/2018","N. Twin","13739","COC",584,2404,"R Pectoral","spine taken env#511",2018
"11663","6/6/2018","N. Twin","13740","COC",493,1669,"R Pectoral","spine taken env#509",2018
"11664","6/6/2018","N. Twin","13741","COC",472,1311,"R Pectoral","spine taken env#508",2018
"11665","6/6/2018","N. Twin","13742","COC",589,2767,"R Pectoral","spine taken env#507",2018
"11666","6/6/2018","N. Twin","13743","COC",495,1592,"R Pectoral","spine taken env#506",2018
"11667","6/6/2018","N. Twin","13744","COC",643,3438,"R Pectoral","spine taken env#505",2018
"11668","6/6/2018","N. Twin","13745","COC",765,5715,"R Pectoral","spine taken env#504",2018
"11670","6/6/2018","N. Twin","13747","COC",554,2200,"R Pectoral","spine taken env#503",2018
"11671","6/6/2018","N. Twin","13748","COC",612,2593,"R Pectoral","spine taken env#502",2018
"11672","6/6/2018","N. Twin","13749","COC",678,3733,"R Pectoral","spine taken env#501",2018
"11676","6/6/2018","N. Twin","13938","COC",582,2454,"R Pectoral","spine taken env#532",2018
"11677","6/6/2018","N. Twin","13939","COC",653,3370,"R Pectoral","spine taken env#531",2018
"11678","6/6/2018","N. Twin","13940","COC",541,2209,"R Pectoral","spine taken env#530",2018
"11681","6/6/2018","N. Twin","13943","COC",500,1579,"R Pectoral","spine taken env#529",2018
"11682","6/6/2018","N. Twin","13944","COC",556,3207,"R Pectoral","spine taken env#528",2018
"11684","6/6/2018","N. Twin","13946","COC",721,4840,"R Pectoral","spine taken env#527",2018
"11685","6/6/2018","N. Twin","13947","COC",427,1107,"R Pectoral","spine taken env#526",2018
"11686","6/6/2018","N. Twin","13948","COC",462,1633,"R Pectoral","spine taken env#525",2018
"11687","6/6/2018","N. Twin","13949","COC",531,1782,"R Pectoral","spine taken env#524",2018
"11689","6/6/2018","N. Twin","14724","COC",556,2136,"R Pectoral","spine taken env#514",2018
"11691","6/6/2018","N. Twin","16911","COC",759,5733,"R Pectoral","spine taken env#500",2018
"13326","7/3/2018","N. Twin","1645","COC",688,4377,"R Pectoral","spine taken env# 1645",2018
"13328","7/3/2018","N. Twin","1679","COC",460,1329,"R Pectoral","spine taken env# 1679",2018
"13329","7/3/2018","N. Twin","1687","COC",615,3125,"R Pectoral","spine taken env# 1687",2018
"13330","7/3/2018","N. Twin","14352","COC",544,2286,"R Pectoral","spine taken env# 14352",2018
"13331","7/3/2018","N. Twin","14353","COC",531,1606,"R Pectoral","spine taken env# 14353",2018
"13332","7/3/2018","N. Twin","14354","COC",485,1647,"R Pectoral","spine taken env# 14354",2018
"13334","7/3/2018","N. Twin","14368","COC",587,2617,"R Pectoral","spine taken env# 14368",2018
"13335","7/3/2018","N. Twin","14369","COC",610,3025,"R Pectoral","spine taken env# 14369",2018
"13336","7/3/2018","N. Twin","14370","COC",574,2681,"R Pectoral","spine taken env# 14370",2018
"13337","7/3/2018","N. Twin","14371","COC",551,2028,"R Pectoral","spine taken env# 14371",2018
"13338","7/3/2018","N. Twin","14372","COC",831,7607,"R Pectoral","spine taken env# 14372",2018
"13339","7/3/2018","N. Twin","14373","COC",714,4568,"R Pectoral","spine taken env# 14353",2018
"13340","7/3/2018","N. Twin","14374","COC",579,2749,"R Pectoral","spine taken env# 14374",2018
"13341","7/3/2018","N. Twin","14485","COC",561,2350,"R Pectoral","spine taken env# 14485",2018
"13342","7/3/2018","N. Twin","16865","COC",554,2386,"R Pectoral","spine taken env# 16865",2018
"13343","7/3/2018","N. Twin","16866","COC",544,1923,"R Pectoral","spine taken env# 16866",2018
"13344","7/3/2018","N. Twin","16867","COC",564,2390,"R Pectoral","spine taken env# 16867",2018
"13345","7/3/2018","N. Twin","16868","COC",538,2159,"R Pectoral","spine taken env# 16868",2018
"13346","7/3/2018","N. Twin","16869","COC",528,1887,"R Pectoral","spine taken env# 16869",2018
"13347","7/3/2018","N. Twin","16870","COC",508,1796,"R Pectoral","spine taken env# 16870",2018
"13348","7/3/2018","N. Twin","16871","COC",620,3125,"R Pectoral","spine taken env# 16871",2018
"13349","7/3/2018","N. Twin","16872","COC",495,1533,"R Pectoral","spine taken env# 16872",2018
"13350","7/3/2018","N. Twin","16873","COC",587,2545,"R Pectoral","spine taken env# 16873",2018
"13351","7/3/2018","N. Twin","16874","COC",610,NA,"R Pectoral","spine taken env# 16874",2018
"13352","7/3/2018","N. Twin","16875","COC",488,1411,"R Pectoral","spine taken env# 16875",2018
"16623","11/1/2018","N. Twin",NA,"BIB",180,84,"L Pectoral","Kept for dissection",2018
"20992","9/18/2018","N. Twin",NA,"BLG",107,295,NA,"euthanized",2018
"20993","9/18/2018","N. Twin",NA,"BLG",122,476,NA,"euthanized",2018
"20994","9/18/2018","N. Twin",NA,"BLG",117,522,NA,"euthanized",2018
"20995","9/18/2018","N. Twin",NA,"BLG",107,363,NA,"euthanized",2018
"20996","9/18/2018","N. Twin",NA,"BLG",91,295,NA,"euthanized",2018
"20997","9/18/2018","N. Twin",NA,"BLG",97,295,NA,"euthanized",2018
"20998","9/18/2018","N. Twin",NA,"BLG",84,181,NA,"euthanized",2018
"20999","9/18/2018","N. Twin",NA,"BLG",86,181,NA,"euthanized",2018
"21000","9/18/2018","N. Twin",NA,"BLG",84,204,NA,"euthanized",2018
"21001","9/18/2018","N. Twin",NA,"BLG",81,91,NA,"euthanized",2018
"21002","9/18/2018","N. Twin",NA,"WHC",213,1928,NA,"euthanized",2018
"21003","9/18/2018","N. Twin",NA,"WHC",180,1066,NA,"euthanized",2018
"21004","9/18/2018","N. Twin",NA,"WHC",198,1474,NA,"euthanized",2018
"21005","9/18/2018","N. Twin",NA,"WHC",239,2699,NA,"euthanized",2018
"21006","9/18/2018","N. Twin",NA,"WHC",236,2744,NA,"euthanized",2018
"21007","9/18/2018","N. Twin",NA,"WHC",221,2109,NA,"euthanized",2018
"21008","9/18/2018","N. Twin",NA,"WHC",196,1656,NA,"euthanized",2018
"21009","9/18/2018","N. Twin",NA,"WHC",165,907,NA,"euthanized",2018
"21010","9/18/2018","N. Twin",NA,"WHC",160,680,NA,"euthanized",2018
"21011","9/18/2018","N. Twin",NA,"WHC",173,930,NA,"euthanized",2018
"21012","9/18/2018","N. Twin",NA,"WHC",160,NA,NA,"euthanized",2018
"21013","9/18/2018","N. Twin",NA,"WHC",165,771,NA,"euthanized",2018
"21014","9/18/2018","N. Twin",NA,"WHC",170,771,NA,"euthanized",2018
"21112","9/18/2018","N. Twin",NA,"BLG",160,1928,NA,"euthanized",2018
"21113","9/18/2018","N. Twin",NA,"BLG",180,2200,NA,"euthanized",2018
"21114","9/18/2018","N. Twin",NA,"BLG",193,2790,NA,"euthanized",2018
"21115","9/18/2018","N. Twin",NA,"BLG",150,1066,NA,"euthanized",2018
"21116","9/18/2018","N. Twin",NA,"WHC",262,3606,NA,"euthanized",2018
"21117","9/18/2018","N. Twin",NA,"WHC",257,3289,NA,"euthanized",2018
"21118","9/18/2018","N. Twin",NA,"OSS",145,1157,NA,"euthanized",2018
"21119","9/18/2018","N. Twin",NA,"WAE",521,1206,NA,"euthanized",2018
"21120","9/18/2018","N. Twin",NA,"YEB",259,232,NA,"euthanized",2018
"21121","9/18/2018","N. Twin",NA,"YEB",264,340,NA,"euthanized",2018
"21162","9/18/2018","N. Twin",NA,"BLGxGSF",178,155,NA,"euthanized",2018
"21163","9/18/2018","N. Twin",NA,"GSF",152,87,NA,"euthanized",2018
"21164","9/18/2018","N. Twin",NA,"BLG",178,496,NA,"euthanized",2018
"21165","9/18/2018","N. Twin",NA,"BLG",152,101,NA,"euthanized",2018
"21166","9/18/2018","N. Twin",NA,"WHC",330,496,NA,"euthanized",2018
"21167","9/18/2018","N. Twin",NA,"WHC",254,232,NA,"euthanized",2018
"21168","9/18/2018","N. Twin",NA,"WHC",254,264,NA,"euthanized",2018
"21204","9/18/2018","N. Twin",NA,"BLGxGSF",165,122,NA,"euthanized",2018
"21205","9/18/2018","N. Twin",NA,"BLGxGSF",168,112,NA,"euthanized",2018
"21206","9/18/2018","N. Twin",NA,"BLGxGSF",170,135,NA,"euthanized",2018
"21207","9/18/2018","N. Twin",NA,"BLG",130,52,NA,"euthanized",2018
"21208","9/18/2018","N. Twin",NA,"BLG",127,37,NA,"euthanized",2018
"21209","9/18/2018","N. Twin",NA,"BLG",122,30,NA,"euthanized",2018
"21210","9/18/2018","N. Twin",NA,"WHC",269,261,NA,"euthanized",2018
"21211","9/18/2018","N. Twin",NA,"WHC",226,143,NA,"euthanized",2018
"21212","9/18/2018","N. Twin",NA,"WHC",239,160,NA,"euthanized",2018
"21213","9/18/2018","N. Twin",NA,"WHC",168,58,NA,"euthanized",2018
"21214","9/18/2018","N. Twin",NA,"YLB",231,172,NA,"euthanized",2018
"21215","9/18/2018","N. Twin",NA,"WAE",384,539,NA,"euthanized",2018
"21217","9/18/2018","N. Twin",NA,"Spotfin shiner",89,NA,NA,"euthanized",2018
"21218","9/18/2018","N. Twin",NA,"BLGxGSF",173,130,NA,"euthanized",2018
"21219","9/18/2018","N. Twin",NA,"BLGxGSF",155,89,NA,"euthanized",2018
"21220","9/18/2018","N. Twin",NA,"BLG",165,115,NA,"euthanized",2018
