"Date","Lake","TAG.NUMBER","Species","Length..mm.","Weight..g.","Fin.Clipped","Notes"
2019-05-21,"N Twin","29950","BIB",766,7420,"L Pelvic, Spine",""
2019-05-21,"N Twin","29951","BIB",764,6280,"L Pelvic, Spine",""
2019-05-21,"N Twin","29952","BIB",641,3800,"L Pelvic, Spine",""
2019-05-21,"N Twin","15092","BIB",783,7060,"","2018 Recap"
2019-05-21,"N Twin","29954","BIB",722,5280,"L Pelvic, Spine",""
2019-05-21,"N Twin","29955","BIB",668,5220,"L Pelvic, Spine",""
2019-05-21,"N Twin","29957","BIB",680,4700,"L Pelvic, Spine","male"
2019-05-21,"N Twin","6786","BIB",575,1600,"Spine","2017 Recap"
2019-05-21,"N Twin","6737","BIB",675,4560,"Spine","2017 Recap"
2019-05-21,"N Twin","29958","BIB",748,6440,"L Pelvic, Spine",""
2019-05-21,"N Twin","29959","BIB",505,1920,"L Pelvic, Spine","2018 Tag Loss"
2019-05-21,"N Twin","29961","BIB",751,6520,"L Pelvic, Spine",""
2019-05-21,"N Twin","29962","BIB",690,5000,"L Pelvic, Spine",""
2019-05-21,"N Twin","29963","BIB",771,5840,"L Pelvic, Spine",""
2019-05-21,"N Twin","29964","BIB",673,5660,"L Pelvic, Spine",""
2019-06-03,"Silver","20839","COC",760,7442,"Spine","2018 Recap"
2019-06-03,"Silver","28724","COC",799,8815,"L Pelvic, Spine",""
2019-06-03,"Silver","28725","COC",866,13145,"L Pelvic, Spine","Big Big fish"
2019-06-03,"Silver","28726","COC",779,5762,"L Pelvic, Spine",""
2019-06-03,"Silver","28727","COC",481,1821,"L Pelvic, Spine",""
2019-06-03,"Silver","28728","COC",835,9032,"L Pelvic, Spine",""
2019-06-03,"Silver","28729","COC",761,5463,"L Pelvic, Spine",""
2019-06-03,"Silver","28730","COC",700,4760,"L Pelvic, Spine",""
2019-06-03,"Silver","28731","COC",746,6732,"L Pelvic, Spine",""
2019-06-03,"Silver","28732","BIB",446,1369,"L Pelvic, Spine",""
2019-06-03,"Silver","28733","COC",685,4224,"L Pelvic, Spine",""
2019-06-03,"Silver","28734","COC",765,7658,"L Pelvic, Spine","Big Tuna"
2019-06-03,"Silver","28735","BIB",453,1733,"L Pelvic, Spine",""
2019-06-03,"Silver","28736","BIB",525,2585,"L Pelvic, Spine",""
2019-06-03,"Silver","28737","COC",735,5363,"L Pelvic, Spine",""
2019-06-03,"Silver","28738","COC",701,5400,"L Pelvic, Spine",""
2019-06-03,"Silver","28739","COC",809,8342,"L Pelvic, Spine","2018 Tag Loss"
2019-06-03,"Silver","28740","COC",586,2945,"L Pelvic, Spine",""
2019-06-03,"Silver","28741","BIB",755,8825,"L Pelvic, Spine","2018 Tag Loss"
2019-06-03,"Silver","28742","BIB",650,3876,"L Pelvic","No Spine (dorsal Damage)"
2019-06-03,"Silver","28743","BIB",500,2373,"L Pelvic, Spine",""
2019-06-03,"Silver","28744","BIB",542,2740,"L Pelvic, Spine",""
2019-06-03,"Silver","28745","BIB",819,10960,"L Pelvic, Spine","Buffalo (big big)"
2019-06-03,"Silver","29746","BIB",557,3152,"L Pelvic, Spine",""
2019-06-03,"Silver","26039","COC",565,2440,"Spine","2019 Recap"
2019-06-03,"Silver","29747","BIB",425,1669,"L Pelvic, Spine",""
2019-06-03,"Silver","28748","COC",771,7612,"L Pelvic, Spine",""
2019-06-03,"Silver","28749","COC",746,6651,"L Pelvic, Spine",""
2019-06-03,"Silver","28750","BIB",549,2962,"L Pelvic, Spine",""
2019-06-03,"Silver","28751","BIB",667,5623,"L Pelvic, Spine",""
2019-06-03,"Silver","28752","COC",250,1367,"L Pelvic, Spine","Deformed R Opercle"
2019-06-03,"Silver","28753","BIB",566,3203,"L Pelvic, Spine","2018 Tag Loss"
2019-06-03,"Silver","28754","COC",773,7573,"L Pelvic, Spine",""
2019-06-03,"Silver","28755","BIB",534,2418,"L Pelvic, Spine",""
2019-06-03,"Silver","28756","COC",771,7069,"L Pelvic, Spine",""
2019-06-03,"Silver","28757","BIB",577,2937,"L Pelvic, Spine",""
2019-06-03,"Silver","28758","COC",490,2202,"L Pelvic, Spine",""
2019-06-03,"Silver","28759","COC",538,2480,"L Pelvic, Spine",""
2019-06-03,"Silver","28760","COC",755,5543,"L Pelvic, Spine",""
2019-06-03,"Silver","28761","COC",723,5250,"L Pelvic, Spine",""
2019-06-03,"Silver","28762","COC",747,4929,"L Pelvic, Spine",""
2019-06-03,"Silver","28763","BIB",629,3851,"L Pelvic, Spine",""
2019-06-03,"Silver","28764","COC",827,9852,"L Pelvic, Spine",""
2019-06-03,"Silver","28765","COC",750,7152,"L Pelvic, Spine",""
2019-06-03,"Silver","28766","COC",746,5540,"L Pelvic, Spine",""
2019-06-03,"Silver","28767","COC",770,6761,"L Pelvic, Spine",""
2019-06-03,"Silver","28768","COC",775,7792,"L Pelvic, Spine",""
2019-06-03,"Silver","28769","COC",780,7542,"L Pelvic, Spine",""
2019-06-03,"Silver","26068","COC",685,5489,"L Pelvic, Spine","2019 Recap"
2019-06-03,"Silver","28770","COC",741,5971,"L Pelvic, Spine",""
2019-06-03,"Silver","28771","COC",805,7948,"L Pelvic, Spine",""
2019-06-03,"Silver","28772","COC",726,5480,"L Pelvic, Spine",""
2019-06-03,"Center","28773","BIB",505,2225,"L Pelvic, Spine",""
2019-06-03,"Center","28774","BIB",504,2035,"L Pelvic, Spine",""
2019-06-03,"Center","28775","BIB",562,2937,"L Pelvic, Spine",""
2019-06-03,"Center","28776","BIB",636,3772,"L Pelvic","no spine clip"
2019-06-03,"Center","28777","BIB",482,1764,"L Pelvic, Spine",""
2019-06-03,"Center","28778","BIB",509,2093,"L Pelvic, Spine",""
2019-06-03,"Center","28779","BIB",471,1839,"L Pelvic, Spine",""
2019-06-03,"Center","28780","BIB",512,2331,"L Pelvic, Spine",""
2019-06-03,"Center","28781","BIB",519,2084,"L Pelvic, Spine",""
2019-06-03,"Center","28782","BIB",598,3123,"L Pelvic, Spine",""
2019-06-03,"Center","28783","COC",743,5842,"L Pelvic, Spine",""
2019-06-03,"Center","28784","BIB",447,1430,"L Pelvic, Spine","mini me"
2019-06-03,"Center","28785","BIB",500,1912,"L Pelvic, Spine",""
2019-06-03,"Center","28786","COC",649,3126,"L Pelvic, Spine",""
2019-06-03,"Center","298787","BIB",548,2398,"L Pelvic, Spine",""
2019-06-03,"Center","28788","COC",642,3545,"L Pelvic, Spine",""
2019-06-03,"Center","28789","COC",676,3603,"L Pelvic, Spine","sir flips a lot"
2019-06-03,"Center","29790","BIB",564,2936,"L Pelvic, Spine",""
2019-06-03,"Center","28791","COC",679,4323,"L Pelvic","messed up dorsal no spine clip"
2019-06-03,"Center","28792","COC",630,3605,"L Pelvic, Spine",""
2019-06-03,"Center","28793","COC",634,3545,"L Pelvic, Spine","Superfreak"
2019-06-03,"Center","28794","COC",498,1712,"L Pelvic, Spine",""
2019-06-03,"Center","28795","BIB",562,2904,"L Pelvic, Spine",""
2019-06-03,"Center","28796","BIB",539,2105,"L Pelvic, Spine",""
2019-06-03,"Center","28797","BIB",482,1459,"L Pelvic, Spine",""
2019-06-03,"Center","28798","COC",560,2389,"L Pelvic, Spine",""
2019-06-03,"Center","28799","BIB",469,1328,"L Pelvic, Spine",""
2019-06-03,"Center","28800","COC",539,2061,"L Pelvic, Spine",""
2019-06-03,"Center","21449","COC",601,2069,"Spine","2018 Recap"
2019-06-03,"Center","25201","COC",610,2956,"L Pelvic, Spine",""
2019-06-03,"Center","25202","BIB",527,2093,"L Pelvic, Spine",""
2019-06-03,"Center","25203","COC",594,2632,"L Pelvic, Spine","2018 Tag Loss"
2019-06-03,"Center","25204","COC",543,2182,"L Pelvic, Spine",""
2019-06-03,"Center","25205","COC",629,3648,"L Pelvic, Spine",""
2019-06-03,"Center","25206","BIB",520,2208,"L Pelvic, Spine",""
2019-06-03,"Center","22134","COC",606,2609,"L Pelvic, Spine",""
2019-06-03,"Center","25207","COC",529,2099,"L Pelvic, Spine",""
2019-06-03,"Center","25208","BIB",499,1978,"L Pelvic, Spine",""
2019-06-04,"Storm","25209","COC",486,1356,"L Pelvic, Spine",""
2019-06-04,"Storm","25210","COC",525,1828,"L Pelvic, Spine",""
2019-06-04,"Storm","25211","COC",550,2423,"L Pelvic, Spine",""
2019-06-04,"Storm","25212","COC",471,1269,"L Pelvic, Spine",""
2019-06-04,"Storm","25213","COC",584,2608,"L Pelvic, Spine","Male"
2019-06-04,"Storm","25214","COC",546,2629,"L Pelvic, Spine",""
2019-06-04,"Storm","25215","COC",470,1392,"L Pelvic, Spine",""
2019-06-04,"Storm","25216","COC",458,1295,"L Pelvic, Spine",""
2019-06-04,"Storm","25217","COC",585,2505,"L Pelvic, Spine",""
2019-06-04,"Storm","25218","COC",484,1377,"L Pelvic, Spine",""
2019-06-04,"Storm","25219","COC",566,2335,"L Pelvic, Spine",""
2019-06-04,"Storm","25220","COC",524,2064,"L Pelvic, Spine",""
2019-06-04,"Storm","25221","COC",512,2184,"L Pelvic, Spine",""
2019-06-04,"Storm","25222","COC",452,1319,"L Pelvic, Spine","Cracked opercle"
2019-06-04,"Storm","25223","COC",570,2403,"L Pelvic, Spine","bulging eye"
2019-06-04,"Storm","25224","COC",504,1629,"L Pelvic, Spine",""
2019-06-04,"Storm","25225","COC",530,2228,"L Pelvic, Spine","cyclops"
2019-06-04,"Storm","25226","COC",559,1428,"L Pelvic, Spine",""
2019-06-04,"Storm","25227","COC",505,1742,"L Pelvic, Spine",""
2019-06-04,"Storm","25229","COC",541,2148,"L Pelvic, Spine",""
2019-06-04,"Storm","23758","COC",539,2352,"L Pelvic","2018 Recap"
2019-06-04,"Storm","25230","COC",500,1330,"L Pelvic, Spine",""
2019-06-04,"Storm","25231","COC",549,2203,"L Pelvic, Spine",""
2019-06-04,"Storm","25232","COC",527,2679,"L Pelvic, Spine",""
2019-06-04,"Storm","25233","COC",443,1138,"L Pelvic, Spine",""
2019-06-04,"Storm","25234","COC",496,1223,"L Pelvic, Spine",""
2019-06-04,"Storm","25236","COC",504,1649,"L Pelvic, Spine",""
2019-06-04,"Storm","25237","COC",562,2776,"L Pelvic, Spine",""
2019-06-04,"Storm","25238","COC",518,1752,"L Pelvic, Spine",""
2019-06-04,"Storm","25239","COC",473,1566,"L Pelvic, Spine",""
2019-06-04,"Storm","25240","COC",544,2202,"L Pelvic, Spine",""
2019-06-04,"Storm","25241","COC",544,2357,"L Pelvic, Spine",""
2019-06-04,"Storm","25242","COC",544,2659,"L Pelvic, Spine",""
2019-06-04,"Storm","25243","COC",605,3519,"L Pelvic, Spine",""
2019-06-04,"Storm","25244","BIB",548,2407,"L Pelvic, Spine","Beat up Buff"
2019-06-04,"Storm","25245","BIB",565,2753,"L Pelvic, Spine","Poopin"
2019-06-04,"Storm","25246","COC",518,2158,"L Pelvic, Spine",""
2019-06-04,"Storm","25247","COC",456,1948,"L Pelvic, Spine",""
2019-06-04,"Storm","25248","COC",556,2676,"L Pelvic, Spine","Mirror"
2019-06-04,"Storm","25249","BIB",591,3673,"L Pelvic, Spine",""
2019-06-04,"Storm","25250","COC",434,989,"L Pelvic, Spine",""
2019-06-04,"Storm","25251","COC",560,2797,"L Pelvic, Spine",""
2019-06-04,"Storm","25252","COC",539,1938,"L Pelvic, Spine",""
2019-06-04,"Storm","25253","COC",489,1846,"L Pelvic, Spine",""
2019-06-04,"Storm","25254","COC",540,2220,"L Pelvic, Spine",""
2019-06-04,"Storm","25255","COC",438,1623,"L Pelvic, Spine",""
2019-06-04,"Storm","25256","COC",505,1950,"L Pelvic, Spine",""
2019-06-04,"Storm","25257","COC",501,2043,"L Pelvic, Spine",""
2019-06-04,"Storm","25258","COC",547,2777,"L Pelvic, Spine",""
2019-06-04,"Storm","25259","COC",575,2989,"L Pelvic, Spine",""
2019-06-04,"Storm","25260","COC",586,4120,"L Pelvic, Spine","Cyclops"
2019-06-04,"Storm","25261","COC",586,2939,"L Pelvic, Spine",""
2019-06-04,"Storm","25262","COC",506,1946,"L Pelvic, Spine",""
2019-06-04,"Storm","25263","COC",567,2749,"L Pelvic, Spine",""
2019-06-04,"Storm","25264","COC",365,662,"L Pelvic, Spine","Lil baby mirror"
2019-06-04,"Storm","25265","COC",500,1471,"L Pelvic, Spine",""
2019-06-04,"Storm","25266","COC",469,1266,"L Pelvic, Spine","mirror"
2019-06-05,"5 Island","25268","BIB",677,4752,"L Pelvic, Spine",""
2019-06-05,"5 Island","25270","BIB",670,4397,"L Pelvic, Spine",""
2019-06-05,"5 Island","25271","COC",717,4224,"L Pelvic, Spine",""
2019-06-05,"5 Island","25272","BIB",695,5052,"L Pelvic, Spine",""
2019-06-05,"5 Island","25273","COC",559,1932,"L Pelvic, Spine",""
2019-06-05,"5 Island","25274","COC",695,3562,"L Pelvic, Spine","2018 Tag Loss"
2019-06-05,"5 Island","25275","COC",719,4432,"L Pelvic, Spine",""
2019-06-05,"5 Island","25276","BIB",633,3870,"L Pelvic, Spine",""
2019-06-05,"5 Island","25277","BIB",688,4885,"L Pelvic, Spine",""
2019-06-05,"5 Island","25279","BIB",698,5444,"L Pelvic, Spine",""
2019-06-05,"5 Island","25280","BIB",677,4531,"L Pelvic, Spine","Male"
2019-06-05,"5 Island","25281","COC",715,4016,"L Pelvic, Spine",""
2019-06-05,"5 Island","25282","BIB",654,4280,"L Pelvic, Spine",""
2019-06-05,"5 Island","25283","COC",818,5595,"L Pelvic, Spine",""
2019-06-05,"5 Island","25284","BIB",690,4665,"L Pelvic, Spine",""
2019-06-05,"5 Island","25285","COC",711,5498,"L Pelvic, Spine",""
2019-06-05,"5 Island","19135","COC",770,4277,"Spine","2018 recap"
2019-06-05,"5 Island","25286","COC",690,3334,"L Pelvic, Spine",""
2019-06-05,"5 Island","25288","BIB",737,5995,"L Pelvic, Spine",""
2019-06-05,"5 Island","25289","COC",759,4971,"L Pelvic, Spine",""
2019-06-05,"5 Island","25290","BIB",625,3323,"L Pelvic, Spine",""
2019-06-17,"5 Island","29136","COC",739,5175,"L Pelvic, Spine",""
2019-06-17,"5 Island","29137","COC",606,3020,"L Pelvic, Spine","2018 Tag loss"
2019-06-17,"5 Island","29138","COC",608,2990,"L Pelvic, Spine",""
2019-06-17,"5 Island","29139","COC",623,3082,"L Pelvic, Spine",""
2019-06-17,"5 Island","29140","COC",592,2519,"L Pelvic",""
2019-06-17,"5 Island","18428","COC",565,2007,"L Pelvic, Spine",""
2019-06-17,"5 Island","29141","COC",675,3580,"L Pelvic, Spine",""
2019-06-17,"5 Island","29142","COC",668,3280,"L Pelvic",""
2019-06-17,"5 Island","25301","COC",615,2878,"L Pelvic, Spine",""
2019-06-17,"5 Island","25302","COC",656,3698,"L Pelvic, Spine",""
2019-06-17,"5 Island","29145","COC",598,2602,"L Pelvic, Spine",""
2019-06-17,"5 Island","29146","COC",656,3255,"L Pelvic, Spine",""
2019-06-17,"5 Island","29147","COC",616,3021,"L Pelvic, Spine",""
2019-06-17,"5 Island","29148","COC",720,4953,"L Pelvic","Oh my god. Bad behavior "
2019-06-17,"5 Island","29149","COC",622,2634,"L Pelvic",""
2019-06-17,"5 Island","25303","COC",590,2629,"L Pelvic",""
2019-06-17,"5 Island","25304","COC",629,3214,"L Pelvic",""
2019-06-17,"5 Island","25305","COC",577,2328,"L Pelvic",""
2019-06-17,"5 Island","25306","COC",566,2350,"L Pelvic, Spine",""
2019-06-17,"5 Island","25307","COC",660,3895,"L Pelvic, Spine",""
2019-06-17,"5 Island","25308","COC",670,3813,"L Pelvic, Spine",""
2019-06-17,"5 Island","25309","BIB",652,4145,"L Pelvic",""
2019-06-17,"5 Island","25310","COC",607,2868,"L Pelvic, Spine",""
2019-06-17,"5 Island","25311","COC",575,2414,"L Pelvic, Spine",""
2019-06-17,"5 Island","25312","COC",632,3183,"L Pelvic, Spine",""
2019-06-17,"5 Island","25313","COC",668,3747,"L Pelvic",""
2019-06-17,"5 Island","25314","COC",600,2645,"L Pelvic",""
2019-06-17,"5 Island","21461","COC",585,2653,"Spine","2018 Recap"
2019-06-17,"5 Island","25315","COC",552,2117,"L Pelvic, Spine",""
2019-06-17,"5 Island","25316","COC",620,2999,"L Pelvic, Spine",""
2019-06-17,"5 Island","25317","BIB",678,5643,"L Pelvic, Spine",""
2019-06-17,"5 Island","25318","BIB",620,3949,"L Pelvic, Spine",""
2019-06-17,"5 Island","25319","COC",697,3852,"L Pelvic, Spine",""
2019-06-17,"5 Island","25323","COC",560,1872,"L Pelvic, Spine",""
2019-06-17,"5 Island","19149","COC",615,3451,"L Pelvic, Spine",""
2019-06-17,"5 Island","25320","COC",646,3442,"L Pelvic, Spine",""
2019-06-17,"5 Island","25324","COC",624,2755,"L Pelvic, Spine",""
2019-06-18,"Silver","25326","COC",670,3353,"L Pelvic, Spine",""
2019-06-18,"Silver","25327","COC",517,2156,"L Pelvic, Spine",""
2019-06-18,"Silver","25328","COC",477,1691,"L Pelvic, Spine",""
2019-06-18,"Silver","25329","COC",700,4592,"L Pelvic, Spine",""
2019-06-18,"Silver","25330","COC",744,6151,"L Pelvic, Spine",""
2019-06-18,"Silver","25332","COC",627,3293,"L Pelvic, Spine",""
2019-06-18,"Silver","25332","COC",774,7536,"L Pelvic, Spine","BIg Hoss"
2019-06-18,"Silver","25333","COC",715,5018,"L Pelvic, Spine","Angry Dude"
2019-06-18,"Silver","25334","COC",763,5409,"L Pelvic, Spine","Deformed opercle"
2019-06-18,"Silver","25335","COC",526,2161,"L Pelvic, Spine",""
2019-06-18,"Silver","25336","COC",836,8636,"L Pelvic, Spine","Large-N-in-Charge"
2019-06-18,"Silver","25337","COC",706,4543,"L Pelvic, Spine",""
2019-06-18,"Silver","25338","COC",744,5765,"L Pelvic, Spine",""
2019-06-18,"Silver","25339","COC",710,4550,"L Pelvic, Spine",""
2019-06-18,"Silver","25341","COC",770,6778,"L Pelvic, Spine",""
2019-06-18,"Silver","25342","COC",733,5195,"L Pelvic, Spine","Sarah doesnt like this one"
2019-06-18,"Silver","25343","COC",593,2675,"L Pelvic, Spine",""
2019-06-18,"Silver","25344","COC",737,5945,"L Pelvic, Spine",""
2019-06-18,"Silver","25345","COC",705,4942,"L Pelvic, Spine",""
2019-06-18,"Silver","25346","COC",470,1582,"L Pelvic, Spine",""
2019-06-18,"Silver","25347","COC",753,5609,"L Pelvic, Spine","self-inflected abuse"
2019-06-18,"Silver","25348","COC",791,6538,"L Pelvic, Spine","dude"
2019-06-18,"Silver","25349","COC",771,7338,"L Pelvic","No spine"
2019-06-18,"Silver","25350","COC",784,7620,"L Pelvic, Spine",""
2019-06-18,"Silver","25351","COC",735,6755,"L Pelvic, Spine",""
2019-06-18,"Silver","25353","COC",673,3419,"L Pelvic, Spine",""
2019-06-18,"Silver","25354","COC",713,4251,"L Pelvic, Spine",""
2019-06-18,"Silver","25352","COC",659,3567,"L Pelvic, Spine",""
2019-06-18,"Silver","25355","COC",726,6061,"L Pelvic, Spine",""
2019-06-18,"Silver","25356","COC",584,2809,"L Pelvic, Spine",""
2019-06-18,"Silver","25357","COC",496,1725,"L Pelvic, Spine",""
2019-06-18,"Silver","25358","COC",722,4806,"L Pelvic, Spine",""
2019-06-18,"Silver","25359","COC",682,4271,"L Pelvic, Spine",""
2019-06-18,"Silver","25360","COC",706,5894,"L Pelvic, Spine","2018 tag loss"
2019-06-18,"Silver","25361","COC",504,1935,"L Pelvic, Spine","poopy"
2019-06-18,"Silver","25362","COC",557,2993,"L Pelvic, Spine",""
2019-06-18,"Silver","25364","COC",480,1664,"L Pelvic, Spine",""
2019-06-18,"Silver","25365","COC",619,3064,"L Pelvic, Spine",""
2019-06-18,"Silver","25366","COC",659,4114,"L Pelvic, Spine",""
2019-06-18,"Silver","25367","COC",710,4551,"L Pelvic, Spine",""
2019-06-18,"Silver","25368","COC",764,6559,"L Pelvic, Spine",""
2019-06-18,"Silver","25369","BIB",623,5770,"L Pelvic, Spine",""
2019-06-18,"Silver","25370","COC",714,5180,"L Pelvic",""
2019-06-18,"Silver","25371","COC",744,5521,"L Pelvic",""
2019-06-25,"5 Island","20821","COC",652,3374,"R Pelvic, Spine","2018 recap"
2019-06-25,"5 Island","25372","COC",734,4979,"L Pelvic, Spine",""
2019-06-25,"5 Island","25373","COC",619,2838,"L Pelvic, Spine",""
2019-06-25,"5 Island","25375","COC",547,3272,"L Pelvic, Spine",""
2019-06-25,"5 Island","25376","COC",575,2407,"L Pelvic, Spine",""
2019-06-25,"5 Island","21752","COC",665,4004,"L Pelvic, Spine",""
2019-06-25,"5 Island","25377","COC",640,3600,"L Pelvic, Spine",""
2019-06-25,"5 Island","25378","COC",481,1655,"L Pelvic, Spine",""
2019-06-25,"5 Island","25379","COC",622,3056,"L Pelvic, Spine",""
2019-06-25,"5 Island","25380","COC",631,3298,"L Pelvic, Spine",""
