Date,Lake,TAG NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site/Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On-Time (s),Water Temp (C),Secchi (cm),Weather
5/31/2017,N Twin,,COC,391.16,745,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,586.74,3340,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,538.48,2210,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,541.02,2550,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,304.8,505,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,373.38,265,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,609.6,3800,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,502.92,1875,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,551.18,2185,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,749.3,7000,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,734.06,6695,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,548.64,2810,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,734.06,3255,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,513.08,1805,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,548.64,2690,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,657.86,4040,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,736.6,6540,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,561.34,2960,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,734.06,6715,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,439.42,1028,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,421.64,1220,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,734.06,6550,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,426.72,860,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,513.08,2050,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,815.34,7090,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,355.6,620,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,411.48,830,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
5/31/2017,N Twin,,COC,368.3,650,,,R Pelvic,aging fish,Electroshocking,Aging 1,,,,,8100,18.33333333,,
6/5/2017,N Twin,,BIB,769.62,5515,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,774.7,7030,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,693.42,4950,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,454.66,1510,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,670.56,3905,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,637.54,4100,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,668.02,4145,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,627.38,4340,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,601.98,3430,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,416.56,1170,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,607.06,3315,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,424.18,1165,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,662.94,4135,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,751.84,6150,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,472.44,1660,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,472.44,1885,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,614.68,3475,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,642.62,4175,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,388.62,925,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,452.12,1500,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,426.72,1050,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,411.48,1045,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,688.34,1730,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,561.34,2670,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,541.02,2480,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,711.2,5775,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,769.62,7075,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,657.86,4415,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,452.12,1445,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,457.2,1593,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,408.94,1050,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,622.3,3290,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,685.8,4395,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,660.4,5090,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,614.68,3450,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,731.52,6535,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,589.28,3185,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,688.34,4795,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,650.24,4135,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,601.98,3390,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,BIB,609.6,3405,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,472.44,1235,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,485.14,1490,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,431.8,915,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,518.16,1650,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,421.64,1025,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,396.24,800,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,294.64,475,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,332.74,670,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,398.78,840,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,378.46,710,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,350.52,750,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,322.58,585,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,464.82,545,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,259.08,305,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,360.68,680,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,294.64,455,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,276.86,340,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,477.52,1490,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,477.52,1470,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,635,3595,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,561.34,2560,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,533.4,2360,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,510.54,1875,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,558.8,2353,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,467.36,1490,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,492.76,1625,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,487.68,1560,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,431.8,1245,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/5/2017,N Twin,,COC,401.32,760,,,R Pelvic,aging fish,Electroshocking,Aging 2,,,,,7500,22.22222222,,
6/6/2017,N Twin,,BIB,685.8,5220,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,683.26,4490,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,640.08,3780,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,652.78,4050,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,627.38,3745,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,594.36,3190,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,670.56,3915,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,632.46,4025,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,655.32,4400,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,596.9,3110,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,693.42,4635,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,662.94,4295,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,609.6,3375,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,685.8,5210,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,601.98,3300,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,647.7,3625,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,601.98,2950,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,647.7,4300,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,629.92,3375,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,647.7,3995,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,645.16,3815,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,617.22,3655,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,744.22,6215,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,629.92,3345,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,614.68,3415,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,591.82,2860,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,642.62,3715,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,439.42,1315,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,586.74,2775,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,612.14,3585,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,604.52,3070,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,640.08,3570,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,612.14,3145,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,609.6,2985,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,591.82,3335,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,601.98,3165,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,637.54,3665,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,571.5,3005,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,622.3,3685,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,670.56,4055,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,642.62,3295,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,629.92,4070,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,591.82,3245,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,683.26,4650,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,584.2,2820,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,563.88,3155,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,566.42,2990,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,BIB,596.9,3270,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,774.7,7810,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,535.94,2135,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,510.54,1690,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,469.9,1445,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,452.12,1215,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,322.58,555,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,469.9,1250,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,561.34,2285,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,698.5,5095,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,381,600,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,561.34,2350,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,523.24,1865,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,330.2,680,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,558.8,2165,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,378.46,780,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,551.18,2275,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,439.42,1145,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,487.68,1147,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,515.62,1930,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,477.52,1355,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,243.84,245,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,256.54,310,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,294.64,465,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,373.38,690,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,330.2,615,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,383.54,785,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,668.02,3985,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,464.82,1350,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,546.1,2250,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,591.82,3060,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,406.4,915,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,462.28,1395,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,688.34,5115,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,424.18,885,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,459.74,1450,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,518.16,1650,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,561.34,2465,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,584.2,3040,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,584.2,2715,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,596.9,2970,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,624.84,2810,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,548.64,2315,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,368.3,615,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,398.78,715,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,508,1750,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,533.4,1825,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,444.5,1045,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/6/2017,N Twin,,COC,553.72,2405,,,R Pelvic,aging fish,Electroshocking,Aging 3,,,,,4200,23.33333333,,
6/8/2017,S Twin,,BIB,716.28,6655,,,R Pelvic,aging fish,Electroshocking,Aging 4,,,,,5400,22.77777778,,
6/8/2017,S Twin,,BIB,510.54,2535,,,R Pelvic,aging fish,Electroshocking,Aging 4,,,,,5400,22.77777778,,
