Lake,Species,Month,Day,Run,Effort,n,cpue,Year
5 Island,COC,7,12,3,0.2525,3,11.88118812,2018
5 Island,COC,7,12,4,0.252777778,4,15.82417582,2018
5 Island,COC,7,12,5,0.269166667,1,3.715170279,2018
5 Island,COC,7,12,Bonus 1,0.369722222,34,91.96093163,2018
5 Island,COC,7,12,Bonus 2,0.321944444,22,68.33477135,2018
5 Island,COC,7,12,Bonus 3,0.161388889,4,24.7848537,2018
5 Island,COC,7,12,Bonus 4,0.298333333,18,60.33519553,2018
S. Twin,COC,7,13,1,0.25,18,72,2018
S. Twin,COC,7,13,2,0.25,13,52,2018
S. Twin,COC,7,13,3,0.25,12,48,2018
S. Twin,COC,7,13,4,0.25,15,60,2018
N. Twin,COC,7,16,1,0.463055556,6,12.95740852,2018
N. Twin,COC,7,16,2,0.466666667,3,6.428571429,2018
Storm,COC,7,16,1,0.263333333,15,56.96202532,2018
Storm,COC,7,16,2,0.262222222,17,64.83050847,2018
Storm,COC,7,16,4,0.266388889,10,37.53910323,2018
Storm,COC,7,16,5,0.3025,17,56.19834711,2018
Storm,COC,7,16,7,0.328333333,17,51.77664975,2018
Storm,COC,7,16,9,0.2475,14,56.56565657,2018
Storm,COC,7,16,Bonus,0.949444444,33,34.75716793,2018
Storm,COC,7,17,1,0.647222222,14,21.63090129,2018
Storm,COC,7,17,2,0.516111111,6,11.62540366,2018
Storm,COC,7,17,3,0.542222222,4,7.37704918,2018
Storm,COC,7,17,4,0.412222222,6,14.55525606,2018
Storm,COC,7,17,5,0.855277778,31,36.24553426,2018
Storm,COC,7,17,6,0.236666667,5,21.12676056,2018
S. Twin,COC,7,18,3,0.358333333,22,61.39534884,2018
S. Twin,COC,7,18,4,0.501944444,30,59.76757056,2018
S. Twin,COC,7,18,5,0.5,30,60,2018
Silver,COC,7,18,1,0.299166667,1,3.342618384,2018
Silver,COC,7,18,2,0.713333333,3,4.205607477,2018
Silver,COC,7,18,4,0.280555556,6,21.38613861,2018
Silver,COC,7,18,6,0.266388889,1,3.753910323,2018
Silver,COC,7,18,Bonus 1,0.222777778,2,8.97755611,2018
Silver,COC,7,18,Bonus 2,0.506944444,9,17.75342466,2018
Silver,COC,7,18,Bonus 3,0.265833333,37,139.184953,2018
Silver,COC,7,18,Bonus 4,0.531388889,18,33.87349712,2018
Center,COC,7,19,1,0.282777778,5,17.68172888,2018
Center,COC,7,19,3,0.231388889,3,12.96518607,2018
Center,COC,7,19,4,0.213888889,3,14.02597403,2018
Center,COC,7,19,5,0.269722222,1,3.707518023,2018
Center,COC,7,19,Bonus 1,0.185277778,1,5.397301349,2018
5 Island,COC,7,20,1,0.317222222,7,22.06654991,2018
5 Island,COC,7,20,2,0.3225,16,49.6124031,2018
5 Island,COC,7,20,3,0.317222222,5,15.76182137,2018
5 Island,COC,7,20,4,0.385833333,2,5.183585313,2018
5 Island,COC,7,20,5,0.362777778,9,24.8085758,2018
5 Island,COC,7,20,Bonus 1,1.073888889,15,13.9679255,2018
5 Island,COC,7,20,Bonus 2,0.357222222,4,11.19751166,2018
5 Island,COC,7,20,Bonus 3,0.306944444,3,9.773755656,2018
5 Island,COC,7,20,Bonus 4,0.441111111,7,15.86901763,2018
Center,COC,7,23,1,0.808333333,9,11.13402062,2018
Center,COC,7,23,2,0.622777778,4,6.422836753,2018
Storm,COC,7,24,1,0.691944444,16,23.12324368,2018
Storm,COC,7,24,2,0.419444444,5,11.9205298,2018
Storm,COC,7,24,3,1.060555556,18,16.97223677,2018
Storm,COC,7,24,4,0.480277778,13,27.06766917,2018
Storm,COC,7,24,5,0.457777778,6,13.10679612,2018
5 Island,COC,7,25,1,0.994166667,19,19.11148365,2018
5 Island,COC,7,25,2,1.300555556,18,13.84023921,2018
5 Island,COC,7,25,3,0.968055556,12,12.39598278,2018
5 Island,COC,7,25,4,1.065,12,11.26760563,2018
S. Twin,COC,7,25,3,0.258333333,2,7.741935484,2018
S. Twin,COC,7,25,4,0.336944444,1,2.96784831,2018
Silver,COC,7,26,1,0.637222222,23,36.09415867,2018
Silver,COC,7,26,2,1.134722222,18,15.8629131,2018
Silver,COC,7,26,3,0.530555556,14,26.38743455,2018
Silver,COC,7,26,4,0.6375,22,34.50980392,2018
Silver,COC,7,26,5,0.668888889,22,32.89036545,2018
Silver,COC,7,26,7,0.835,25,29.94011976,2018
Center,COC,7,30,1,0.616111111,10,16.23083859,2018
Center,COC,7,30,2,0.640277778,6,9.370932755,2018
Center,COC,7,30,3,0.461388889,1,2.167369055,2018
Center,COC,7,30,4,0.211944444,1,4.718217562,2018
Center,COC,7,30,5,0.214444444,2,9.32642487,2018
N. Twin,COC,7,31,1,0.5,4,8,2018
N. Twin,COC,7,31,3,0.25,1,4,2018
Storm,COC,7,31,1,0.9875,20,20.25316456,2018
Storm,COC,7,31,2,0.895833333,27,30.13953488,2018
Storm,COC,7,31,3,1.019722222,24,23.5358213,2018
Storm,COC,7,31,4,1.0325,33,31.96125908,2018
Storm,COC,7,31,5,1.0925,56,51.25858124,2018
5 Island,COC,8,1,1,0.249722222,1,4.004449388,2018
5 Island,COC,8,1,2,0.284722222,6,21.07317073,2018
5 Island,COC,8,1,3,0.358611111,10,27.88536019,2018
5 Island,COC,8,1,4,0.322777778,7,21.68674699,2018
5 Island,COC,8,1,5,0.327222222,4,12.22410866,2018
5 Island,COC,8,1,Bonus 1,1.2,16,13.33333333,2018
5 Island,COC,8,1,Bonus 2,0.732222222,8,10.92564492,2018
N. Twin,COC,8,1,1,0.25,3,12,2018
N. Twin,COC,8,1,2,0.25,5,20,2018
N. Twin,COC,8,1,3,0.25,6,24,2018
N. Twin,COC,8,1,5,0.25,2,8,2018
Center,COC,8,2,2,0.293888889,2,6.805293006,2018
Center,COC,8,2,3,0.242222222,1,4.128440367,2018
Center,COC,8,2,5,0.255277778,3,11.75190424,2018
Silver,COC,8,2,2,0.363055556,2,5.508798776,2018
Silver,COC,8,2,3,0.311388889,4,12.84567351,2018
Silver,COC,8,2,4,0.237222222,2,8.430913349,2018
Silver,COC,8,2,5,0.333888889,12,35.94009983,2018
Silver,COC,8,2,6,0.256388889,3,11.70097508,2018
S. Twin,COC,8,3,1,0.25,8,32,2018
S. Twin,COC,8,3,2,0.25,4,16,2018
S. Twin,COC,8,3,3,0.25,7,28,2018
S. Twin,COC,8,3,4,0.25,11,44,2018
Storm,COC,8,3,2,0.253888889,5,19.69365427,2018
Storm,COC,8,3,4,0.265277778,4,15.07853403,2018
Storm,COC,8,3,9,0.228333333,2,8.759124088,2018
N. Twin,COC,8,6,1,0.25,8,32,2018
N. Twin,COC,8,6,2,0.25,4,16,2018
N. Twin,COC,8,6,3,0.25,7,28,2018
Silver,COC,8,6,1,0.276944444,8,28.88665998,2018
Silver,COC,8,6,2,0.325833333,10,30.69053708,2018
Silver,COC,8,6,3,0.278888889,4,14.34262948,2018
Silver,COC,8,6,4,0.191111111,3,15.69767442,2018
Silver,COC,8,6,5,0.264444444,4,15.12605042,2018
Silver,COC,8,6,6,0.225,2,8.888888889,2018
Blue,COC,8,7,1,0.263055556,11,41.81626188,2018
Blue,COC,8,7,2,0.276111111,10,36.21730382,2018
Blue,COC,8,7,3,0.306666667,11,35.86956522,2018
Blue,COC,8,7,4,0.277777778,17,61.2,2018
S. Twin,COC,8,7,1,0.25,19,76,2018
S. Twin,COC,8,7,2,0.25,5,20,2018
S. Twin,COC,8,7,3,0.25,27,108,2018
S. Twin,COC,8,7,4,0.25,10,40,2018
N. Twin,COC,8,8,1,0.333333333,2,6,2018
N. Twin,COC,8,8,2,0.630555556,11,17.44493392,2018
N. Twin,COC,8,8,3,0.566666667,6,10.58823529,2018
N. Twin,COC,8,8,4,0.309444444,6,19.38958707,2018
Storm,COC,8,8,2,0.263333333,9,34.17721519,2018
Storm,COC,8,8,4,0.246944444,2,8.098987627,2018
Storm,COC,8,8,5,0.265555556,5,18.82845188,2018
Storm,COC,8,8,7,0.2775,4,14.41441441,2018
Storm,COC,8,8,Bonus 1,0.259166667,5,19.2926045,2018
S. Twin,COC,8,9,2,0.500555556,3,5.993340733,2018
S. Twin,COC,8,9,3,0.354166667,4,11.29411765,2018
Center,COC,8,13,1,0.784722222,3,3.82300885,2018
Center,COC,8,13,2,0.678888889,2,2.94599018,2018
Silver,COC,8,13,1,0.518333333,16,30.8681672,2018
Silver,COC,8,13,2,0.367222222,7,19.06202723,2018
Silver,COC,8,13,3,0.476111111,7,14.70245041,2018
Silver,COC,8,13,4,0.488888889,10,20.45454545,2018
Silver,COC,8,13,5,0.175833333,1,5.687203791,2018
S. Twin,COC,8,14,1,0.333888889,8,23.96006656,2018
S. Twin,COC,8,14,2,0.333333333,25,75,2018
S. Twin,COC,8,14,3,0.333333333,5,15,2018
S. Twin,COC,8,14,4,0.342222222,16,46.75324675,2018
Storm,COC,8,14,1,0.665,15,22.55639098,2018
Storm,COC,8,14,2,0.735833333,10,13.59003398,2018
Storm,COC,8,14,3,0.513055556,17,33.13481321,2018
Storm,COC,8,14,4,0.431111111,12,27.83505155,2018
Storm,COC,8,14,5,0.395,6,15.18987342,2018
5 Island,COC,8,15,1,0.466111111,12,25.74493445,2018
5 Island,COC,8,15,2,0.524722222,19,36.20963473,2018
5 Island,COC,8,15,3,0.5275,22,41.70616114,2018
5 Island,COC,8,15,4,0.759166667,11,14.4895719,2018
5 Island,COC,8,15,5,0.382777778,11,28.73730044,2018
S. Twin,COC,8,15,1,0.333888889,11,32.94509151,2018
S. Twin,COC,8,15,2,0.385833333,12,31.10151188,2018
S. Twin,COC,8,15,3,0.335,13,38.80597015,2018
S. Twin,COC,8,15,4,0.333333333,3,9,2018
S. Twin,COC,8,17,1,0.58,9,15.51724138,2018
S. Twin,COC,8,17,2,0.378611111,9,23.77109318,2018
S. Twin,COC,8,17,3,0.38,1,2.631578947,2018
S. Twin,COC,8,17,4,0.454722222,2,4.398289554,2018
N. Twin,COC,8,27,1,0.6175,9,14.57489879,2018
N. Twin,COC,8,27,2,0.463333333,8,17.26618705,2018
S. Twin,COC,8,31,1,0.25,2,8,2018
S. Twin,COC,8,31,2,0.25,3,12,2018
S. Twin,COC,8,31,3,0.25,2,8,2018
S. Twin,COC,8,31,4,0.25,14,56,2018
S. Twin,COC,9,4,1,0.25,5,20,2018
S. Twin,COC,9,4,2,0.25,4,16,2018
S. Twin,COC,9,4,3,0.25,6,24,2018
S. Twin,COC,9,4,4,0.25,7,28,2018
N. Twin,COC,9,5,1,0.25,25,100,2018
N. Twin,COC,9,5,2,0.25,1,4,2018
N. Twin,COC,9,5,3,0.25,5,20,2018
N. Twin,COC,9,5,5,0.25,1,4,2018
N. Twin,COC,9,6,1,0.25,1,4,2018
N. Twin,COC,9,6,2,0.25,5,20,2018
N. Twin,COC,9,6,3,0.25,7,28,2018
N. Twin,COC,9,6,5,0.25,4,16,2018
Center,COC,9,8,1,0.321666667,3,9.32642487,2018
Center,COC,9,8,3,0.245833333,3,12.20338983,2018
Center,COC,9,8,5,0.241666667,4,16.55172414,2018
Silver,COC,9,8,1,0.321111111,1,3.114186851,2018
Silver,COC,9,8,2,0.350277778,5,14.27438541,2018
Silver,COC,9,8,3,0.308333333,3,9.72972973,2018
Silver,COC,9,8,4,0.340555556,14,41.10929853,2018
Silver,COC,9,8,5,0.328055556,7,21.33784928,2018
Silver,COC,9,8,6,0.266944444,3,11.23829344,2018
Silver,COC,9,8,Bridge,0.151111111,2,13.23529412,2018
5 Island,COC,9,9,1,0.283055556,1,3.532875368,2018
5 Island,COC,9,9,2,0.252222222,1,3.964757709,2018
5 Island,COC,9,9,3,0.250277778,1,3.995560488,2018
5 Island,COC,9,9,4,0.294444444,3,10.18867925,2018
5 Island,COC,9,9,5,0.283611111,5,17.62977473,2018
Storm,COC,9,9,1,0.250833333,2,7.973421927,2018
Storm,COC,9,9,2,0.251111111,5,19.91150442,2018
Storm,COC,9,9,4,0.240555556,4,16.62817552,2018
Storm,COC,9,9,5,0.288888889,6,20.76923077,2018
Storm,COC,9,9,7,0.281666667,6,21.30177515,2018
Storm,COC,9,9,9,0.250555556,3,11.97339246,2018
5 Island,COC,9,15,Bonus 1,0.874444444,6,6.861499365,2018
5 Island,COC,9,15,Bonus 2,0.252222222,2,7.929515419,2018
Center,COC,9,15,Bonus 1,0.347222222,1,2.88,2018
Center,COC,9,15,Bonus 2,0.360555556,1,2.773497689,2018
Center,COC,9,22,Bonus 1,0.525555556,4,7.610993658,2018
Center,COC,9,22,Bonus 2,0.543888889,3,5.515832482,2018
Center,COC,9,22,Bonus 3,0.516944444,5,9.672219237,2018
Silver,COC,9,22,Bonus 1,0.397222222,9,22.65734266,2018
Silver,COC,9,22,Bonus 2,0.258611111,20,77.33619764,2018
Silver,COC,9,22,Bonus 3,0.346666667,1,2.884615385,2018
Silver,COC,9,22,Bonus 4,0.531111111,13,24.47698745,2018
Center,COC,10,5,1,0.261666667,2,7.643312102,2018
Center,COC,10,5,3,0.2,1,5,2018
