Sample ID,Lake ID,Round,Lake Name,Sampling Date & Time,Year,Total Alkalinity (mg/L as CaCO3),Chlorophyll a (free of pheophytin) (µg/L),Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L),Involatile (Inorganic) Suspended Solids (mg/L),TN (mg/L),Total Phosphorus as P (µg/L),Soluble Reactive Phosphorus as P (µg/L),NO3+NO2 as N (Cadmium-reduced) (mg/L),Lake Depth at Sampling Site (m),Secchi Transparency at Sampling Site (m),Epilimnetic Average Temperature (°C),Epilimnetic Average pH,Epilimnetic Average Dissolved Oxygen (% Saturation),Epilimnetic Average Dissolved Oxygen (mg/L),Epilimnetic Average Specific Conductivity (uS/cm),Epilimnetic Average Total Dissolved Solids (g/L),Epilimnetic Average Turbidity (NTU),Phytoplankton Total Biomass (mg/L),Zooplankton Total Biomass (µg/L),Bacillariophyta,Chlorophyta,Chrysophyta,Cryptophyta,Cyanophyta,Dinophyta,Euglenophyta,Haptophyta,Alona,Anuraeopsis,Ascomorpha,Asplanchna,Asplanchnopus,Bosmina,Brachionus,Calanoida,Ceriodaphnia,Chydorus,Collotheca,Conochilus (Individual),Coulrella,Cyclopoida,Daphnia,Daphnia lumholtzi,Diaphanosoma,Disparalona,Euchlanis,Filinia,Gastropus,Hexarthra ,Kellicottia,Keratella cochlearis,Keratella quadrata,Lecane,Lepadella,Leptodora,Macrochaetus,Moina,Monostyla,Mytilina,Nauplii,Notholca,Platyias,Pleuroxus,Polyarthra,Pompholyx,Proales,Pseudochydorus,Synchaeta,Testudinella,Trichocerca
2003188001,1,2,(001) Arbor Lake (Poweshiek ) ,7/7/2003 14:40,,75,,11,6,5,1.04,124,2,0.06,5.5,0.45,28.8,,178,13.8,427,,21,3.37123,71.806766,0.02224,0.31642,,1.38279,1.64978,,,,,,,,,,0.207533,61.592599,,,,,,,,,,,,0.354805,,,,2.463746,,,,,,,,,6.1665,,,,1.021583,,,,,,
2003216001,1,3,(001) Arbor Lake (Poweshiek ) ,8/4/2003 0:00,,85,21.4,19,9,10,1.3,210,82,0.16,5.6,0.75,26.5,7.9,112,9,415,,18,2.45812,379.157659,,1.86938,,0.52158,,,0.06716,,,,,,,274.424938,0.523265,20.774765,,,,0.057753,,35.177272,25.673254,,,,,,,,,0.016062,,,,,,,,,21.860859,,,,0.649491,,,,,,
2004153001,1,1,(001) Arbor Lake (Poweshiek ) ,6/1/2004 13:30,,109,25.9,8,3,4,2.54,74,10,1.7,5.7,1.5,20.3,8.9,124,11.3,472,,8,14.48471,224.566178,0.18329,0.11598,,1.22785,12.95759,,,,,,,,,,0.44523,50.030841,,,,,,31.823875,108.401115,,,,,,,,,0.10881,,,,,,,,,33.756307,,,,,,,,,,
2004180001,1,2,(001) Arbor Lake (Poweshiek ) ,6/28/2004 13:30,,125,35.2,8,7,0.5,1.01,70,2,0.13,5.4,1.4,22.2,9.2,187,16.2,431,,16,12.27285,928.46757,,,,0.09377,12.09177,,0.08731,,,,,,,,,539.090512,,,,,,125.744375,188.321805,,,,,,,,,0.592922,,,,,,,,,74.717956,,,,,,,,,,
2004215001,1,3,(001) Arbor Lake (Poweshiek ) ,8/2/2004 18:00,,135,45,16,9,7,2.19,181,44,0.16,5.6,0.85,25.9,8.5,152,12.3,448,,17,88.17286,375.349418,0.02539,0.08888,,0.05924,87.94857,,0.05078,,,,,,,2.116532,,32.662891,,,,0.000716,,87.972629,242.609309,,,,,,,,,0.159239,,,,,,,,,9.749454,,,,,0.078648,,,,,
2006156001,1,1,(001) Arbor Lake (Poweshiek ) ,6/5/2006 11:01,,140,50.5,10,7,3,1.17,78,2.5,,5.1,1.4,24.9,9,172,14.2,,567,10,30.88803,109.196593,0.02896,0.03218,,,30.82689,,,,,,,,,0.412408,,16.640655,,,,,,4.128188,75.582025,,,,,,,,,,,,,,,,,,12.433317,,,,,,,,,,
2006191001,1,2,(001) Arbor Lake (Poweshiek ) ,7/10/2006 10:50,,152,24.3,7,4,3,1.14,110,23,0.06,5.3,,25.7,8.8,126,10.3,661,,118,85.37274,299.912964,0.27709,0.78077,,0.03593,83.92294,0.35601,,,,,,2.540237,,2.652856,0.026895,38.01016,,,,0.177662,,63.362975,180.199347,,,,,,,,,0.656804,,,,,,,,,12.200265,,,,,0.085763,,,,,
2006219001,1,3,(001) Arbor Lake (Poweshiek ) ,8/7/2006 12:33,,142,30.6,18,11,7,1.64,161,41,0.06,5.1,0.45,27.2,8.6,183,14.6,590,,223,65.93252,237.707654,0.56469,0.04936,,0.45701,63.80498,1.05648,,,,,,,,,1.038526,78.011049,,,,,,24.039577,125.441624,,,,,1.711929,,,,0.033626,,,,,,,,,7.135944,,,,0.077345,0.06535,,,,,0.152684
2007155001,1,1,(001) Arbor Lake (Poweshiek ) ,6/4/2007 10:43,,149,23.4,13,3,9,3.02,82,5,1.98,5.4,1.05,22.4,8.8,165,14.3,490,,19,21.71019,164.532476,0.05665,,,0.41451,19.87402,1.36501,,,,,,1.690846,,3.774977,,47.492964,,,,,,10.555405,89.262091,,,,,,,,,0.13321,,,,,,,,,11.622983,,,,,,,,,,
2007190001,1,2,(001) Arbor Lake (Poweshiek ) ,7/9/2007 13:30,,124,61.2,19,13,6,0.69,157,2.5,0.29,5.5,0.7,30.4,8.5,164,12.3,458,,16,812.87796,87.941379,,0.35985,,1.49172,805.48677,4.72465,0.81497,,,,,,,,0.64608,72.387848,,,,,,1.837673,,,,,,,,,,0.186764,,,,,,,,,12.883014,,,,,,,,,,
2007220016,1,3,(001) Arbor Lake (Poweshiek ) ,8/8/2007 12:30,,117,63,16,10,5,1.63,213,45,0.29,5.2,0.4,27.1,9.2,149,11.9,448,,24,127.78706,113.453141,2.20961,1.17536,,,124.40209,,,,,,,,,,0.104736,18.144078,,,,,,85.357139,,,,,,,,,,0.049857,,,,,,,,,9.695715,,,,0.01368,,,,,,0.087936
2009166025,1,1,(001) Arbor Lake (Poweshiek ) ,6/15/2009 15:22,,156,12,7,4,4.8,1.44,47.3,4.5,0.57,5.5,2,20.2,8.3,88.1,8,550,,3,156.55532,130.839575,0.08446,,,,156.40315,,0.06771,,,,,,,5.997017,,14.949905,,,,,,32.134725,51.700848,,,,,,,,,0.477084,,,,,,,,,25.579996,,,,,,,,,,
2009201042,1,2,(001) Arbor Lake (Poweshiek ) ,7/20/2009 13:46,,147,13,10.8,4,10.8,1.16,95.3,4.5,0.25,5.3,0.9,24.2,8.9,122.3,10.2,490,,11.6,58.69248,629.18873,0.95505,3.84811,0.14984,1.62779,52.08785,,0.02384,,,,,,,185.42746,,,,,,,,148.672724,204.713573,,,,,,,,,1.706223,,,,,,,,,86.719743,,,,1.949007,,,,,,
2009224035,1,3,(001) Arbor Lake (Poweshiek ) ,8/12/2009 13:07,,139,31,12,4,5.7,1.01,99.2,4.5,0.25,5.5,1.1,26,9,89.1,7.2,480,,9,57.13096,1094.891619,0.16695,0.29685,,5.01607,51.48679,,0.1643,,,,,93.730098,,226.904522,,,,,,0.660712,,614.763994,15.756255,,,,,,,,,0.665581,,,,,,,,,142.410457,,,,,,,,,,
2010172011,1,1,(001) Arbor Lake (Poweshiek ) ,6/21/2010 15:03,,148,44,12,4.5,2,4.5,92,4,0.99,5.4,1.2,25.3,8.7,313.8,25.8,450,,4.3,26.66497347,926.024,,0.064833882,,18.10223295,8.394172426,,0.103734212,,,,,26.804,,12.385,,,210.233,5.639,,2.932,,383.728,228.705,,,,,,,,,0.908,,,,,,,,,33.841,,,,20.768,0.081,,,,,
2010221018,1,2,(001) Arbor Lake (Poweshiek ) ,8/9/2010 13:54,,97,28,35.3,12,23.3,2.23,204.7,48.9,0.25,5.5,0.3,26,7.5,141.9,11.5,340,,25.8,405.4596091,161.4908757,1.416199281,0.324618172,0.005021983,0.795984348,400.6604038,1.466419114,0.790962364,,,,,,,6.104738727,0.121537122,20.43616279,9.036286422,2.820916679,,,,39.98199049,51.99538281,,,,,,,,,0.009526041,,,,,,,,,29.46592093,,,,1.27947146,0.238942253,,,,,
2010266001,1,3,(001) Arbor Lake (Poweshiek ) ,9/23/2010 13:45,,150,46,17,11.5,5.5,1.32,152.4,4,0.25,5,0.5,20.1,8.1,127.6,11.6,430,,10.4,48.09757707,934.1082828,2.91116753,0.071762058,,13.88240732,28.48576128,0.847738892,1.898739987,,,,,,,,,,,3.085094574,,,,917.8848597,6.082884794,,,,,,,,0.538330636,0.347726754,,,,,,,,,6.169386372,,,,,,,,,,
2011171034,1,1,(001) Arbor Lake (Poweshiek ) ,6/20/2011 12:16,,142,16,13.8,4,8.5,0.25,68.7,5.5,1.73,5.1,1.2,22.5,8.3,136.7,11.8,470,0.3,12.1,10.30189092,220.222355,,0.113817295,,1.748293556,8.439780065,,,,,,,3.89709283,,0.708183961,,,,,,0.033596688,,43.1862358,145.6349493,,,,,,,,,0.564191459,0.20151373,,,,,,,,25.99659127,,,,,,,,,,
2011220003,1,2,(001) Arbor Lake (Poweshiek ) ,8/8/2011 12:35,,176,19,24.1,11.2,12.9,1.89,128.1,5.5,0.2,4.9,0.5,27.8,8.6,189.6,14.8,480,0.3,26.5,34.21156106,459.6862699,,0.102143119,,0.119166973,33.86257207,,0.127678899,,,,,,,261.3936515,0.151124183,3.968252269,,19.17428548,,3.186084563,,147.0301414,,,,,,,,,,0.094462542,,,,,,,,,24.68826801,,,,,,,,,,
2011262001,1,3,(001) Arbor Lake (Poweshiek ) ,9/19/2011 12:31,,132,35,12.3,4,2.5,0.7,162.9,49.4,0.2,5.1,0.6,17.6,8,89.7,8.5,540,0.4,16.2,11.80562911,97.78381118,0.014531078,0.023249725,,1.438382987,8.745577806,1.392077284,0.191810231,,,,,,,0.966665782,0.082294447,35.90687784,5.105543861,,,,,32.30372664,10.06167962,,,,,,,,,0.344339463,,,,,,,,,11.95541216,,,,1.057271363,,,,,,
2012170016,1,1,(001) Arbor Lake (Poweshiek ) ,6/18/2012 15:33,,146,15,16,6.7,9.3,1.02,44.9,16.3,0.03,5.1,0.7,26.9,8.4,126,10.1,440,0.7,17.2,21.53617385,2193.236386,0.465063919,7.84213427,,0.247166838,12.36389173,,0.617917095,,,,,,,272.7789325,2.77765063,206.6216245,,1.69048478,,5.342768762,,87.52595166,1593.355399,,,,,,,,,0.565344815,0.362596627,,,,,,,,21.61319752,,,,,,,,,,0.602435603
2012219038,1,2,(001) Arbor Lake (Poweshiek ) ,8/6/2012 13:01,,95,73,32,18.7,13.3,1.49,169.2,5,0.03,4.8,0.4,25.9,8.7,104.4,8.4,310,0.5,22.6,123.1976515,90.50903906,1.680097381,0.311191738,0.281395398,,117.991074,1.568433365,1.365459636,,,,,,,,,41.20349947,,,,,,39.2613555,,,,,,,,,,,,,,,,,,,10.04418409,,,,,,,,,,
2012263001,1,3,(001) Arbor Lake (Poweshiek ) ,9/19/2012 11:56,,106,44,26.6,14.8,11.8,1.61,280.3,69.2,0.03,4.9,0.3,17.6,8.3,67.3,6.4,340,0.5,29.2,230.0399928,153.7661889,0.962118473,0.640576503,,0.774991521,225.0915487,1.494626505,1.076131083,,,,,,,,0.205357265,57.97158386,,,,,,33.78416464,4.693593465,,,,,0.03258153,,,,0.246570433,,,,,,,,,56.83233774,,,,,,,,,,
2013168001,1,1,(001) Arbor Lake (Poweshiek ) ,6/17/2013 14:34,,141,3,3.6,1.2,1.6,2.63,33.1,7,1.82,4.9,3.2,25.3,8.2,145.6,12,510,0.3,1.2,2.054272834,431.2141227,0.168876811,0.84018654,0.006143623,0.975453762,0.0065276,,0.057084498,,,,,29.13174105,,6.97545636,,183.614536,,18.79093525,,0.05506898,,26.98027598,50.87832789,,,,,,,,,1.760265524,6.017714472,,,,,,,,105.9774025,,,,1.032398668,,,,,,
2013217001,1,2,(001) Arbor Lake (Poweshiek ) ,8/5/2013 13:34,,98,56,23.2,12.8,10.4,1.26,81.1,7,0.07,5.1,0.7,24.4,8.6,163.2,13.6,410,0.3,21.5,12.44774451,206.4112619,3.076635609,0.289448262,,1.776811989,2.522043835,4.782804815,,,,,,,,3.402528009,0.33955548,91.06962791,,,,,,82.07432249,,,1.568218806,,,0.071980762,,,,0.50737826,,,,,,,,,24.44746268,,,,,1.175705422,,,,,1.754482053
2013259001,1,3,(001) Arbor Lake (Poweshiek ) ,9/16/2013 11:14,,116,85,18.4,8.8,9.6,1.89,174.5,7,0.07,4.7,0.4,20.3,7.8,65.9,6,490,0.3,18.3,31.79036024,294.2782932,0.333711184,1.451378259,,0.695031256,26.3525125,2.447986194,0.509740844,,,,,,,0.849549391,,40.26397958,,,,,,241.1225188,,,,,,,,,,0.038282378,,,,,,,,,8.180110261,,,,,3.823852808,,,,,
2014174001,1,1,(001) Arbor Lake (Poweshiek ) ,6/23/2014 12:31,,104,19.6,50,12.5,37.5,1.68,214.8,62.2,0.68,5,0.3,21.2,7.6,52,4.6,440,0.3,58.8,23.17746145,338.0304469,0.547261721,5.621027169,,0.432862378,0.344743966,14.15691867,2.074647541,,,,,,,19.4054111,,,,,,,,204.3956969,94.94368822,,,,,,,,,0.016397359,,,,,,,,,19.26925337,,0,,,,,,,,
2014223001,1,2,(001) Arbor Lake (Poweshiek ) ,8/11/2014 11:46,,112,58.2,22.8,10.7,12.2,1.33,123.4,2.8,0.03,4.7,0.5,24.4,8.5,122.3,10.2,410,0.3,13.2,40.1306125,485.754474,1.423747806,16.0059899,,8.08705779,4.411355148,6.967638738,3.234823116,,,,,,,99.64255145,4.374187694,20.34793429,116.4081991,,,0.40436267,,200.2869852,9.966961917,,,,,,,,,0.283629836,,,,,,,,,34.03966182,,0,,,,,,,,
2014264001,1,3,(001) Arbor Lake (Poweshiek ) ,9/21/2014 12:15,,129,62.4,18.6,9.4,9.2,2.08,108.8,2.8,0.67,5,0.5,19,8.5,151,14,490,0.3,10.3,118.8984122,272.1527938,8.760339074,2.809188495,0.36320821,11.07501283,95.89066361,,,,,,,5.67094211,,19.23910842,0.747135209,,28.14049423,,,0.335876093,,126.1805812,0.105740133,,,,,,,,,0.088238904,,,,,,,,,80.50548644,,0,,11.1391911,,,,,,
2015173001,1,1,(001) Arbor Lake (Poweshiek ) ,6/22/2015 13:19,,137,93,20.5,11.5,9,3.06,103.2,2.2,1.47,5,0.7,22.2,8,103.7,8.9,480,0.3,11.2,24.37069448,279.3386813,3.840032395,14.31905413,0.068267243,3.697808973,2.360197689,,,0.085334053,,,,,,66.1756583,2.815213987,45.44558986,27.7507711,,,0.066571328,,77.29129308,14.11143753,,,,,,,,5.443278319,0.018700649,0.203189073,,,,,,,,34.32341098,,,,1.497201856,3.132609592,,,,,1.063755657
2015222001,1,2,(001) Arbor Lake (Poweshiek ) ,8/10/2015 12:58,,107,28.6,37,10,27,1.46,159.2,21.3,0.51,4.7,0.4,22.7,7.8,68.7,5.88,370,0.24,39.3,8.343289831,250.8842017,0.075535957,2.339325709,0.164805725,0.206007156,5.557615284,,,,,,,,,1.555693654,14.42320693,34.81860299,66.62394522,,,,,60.90256314,16.5854609,,,,,,,,,4.963961867,,,,,,,,,50.93536191,,,,0.075405117,,,,,,
2015263001,1,3,(001) Arbor Lake (Poweshiek ) ,9/20/2015 13:08,,100,56.5,24,11.62,12.37,1.52,136.4,2.2,0.17,4.6,0.4,19.1,7.8,111.9,10.28,360,0.24,26,41.59468445,210.6062477,0.052591448,1.358612412,,0.052591448,5.346028761,20.19511612,13.69568964,0.89405462,,,,,,11.95783718,0.18225399,129.987958,21.06121577,3.182739521,,0.284369381,,4.844578744,1.125805787,,1.948251869,,,6.553563493,,2.786774178,0.015117938,1.591133943,,,,,,,,,24.7638335,,,,0.21149708,0.109317326,,,,,
2000174001,2,1,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,6/22/2000 8:45,,221,48.1,22,12,10,1.41,,,0.14,4,0.48,23.2,8.9,151,12.9,445,,43,87.22076,,,0.03504,,0.10513,87.08059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000201001,2,2,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,7/19/2000 16:00,,201,9.8,8,5,3,1.37,,,0.06,4,1.27,24.4,8.7,52,4.3,431,,19,124.9609,259.775327,0.00499,0.04304,,0.03368,124.87919,,,,,,,,,0.621716,,,218.095131,,,,,6.751425,30.137638,,,,,0.080174,,,,0.012212,,,,,,,,,4.077031,,,,,,,,,,
2000222001,2,3,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,8/9/2000 12:30,,205,20.8,17,9,8,1.3,,,0.14,4,0.85,27.7,8.8,195,15.4,436,,19,222.94049,51.272814,0.09218,0.01728,,0.12098,221.74987,0.96018,,,,,,,,,,15.985412,,,,,,1.626289,32.192637,,,,,,,,,0.297345,,,,,,,,,0.662303,,,,0.188398,,,,,,0.32043
2001143001,2,1,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,5/23/2001 8:00,,193,,11,3,8,2.18,123,,0.98,4.3,1.75,17.8,8.1,99,9.4,404,,8,1.68978,203.364821,0.04879,0.40897,,,0.61857,0.61345,,,,,,,,,,17.739481,,,,,,17.672027,165.237097,,,,,,,,0.192316,,,,,,,,,,2.5239,,,,,,,,,,
2001172001,2,2,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,6/21/2001 0:00,,199,18.7,12,4,8,2.02,145,,1.15,4.3,1.55,22.7,8.2,100,8.6,437,,18,55.99141,83.258359,0.23094,,,0.14014,54.86687,0.75346,,,,,,,,0.957342,,6.772422,,,,,,3.188393,71.43123,,,,,,,,0.025999,,,,,,,,,,0.882973,,,,,,,,,,
2001205001,2,3,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,7/24/2001 0:00,,175,134.5,12,10,2,1.83,254,,0.22,4.3,0.25,28.7,9.2,154,11.9,394,,54,143.95987,44.321073,,,,0.04401,143.91586,,,,,,,,,2.611367,,13.912613,,,,,,14.079345,12.987399,,,,,,,,,0.055517,,,,,,,,,0.674832,,,,,,,,,,
2002149001,2,1,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,5/29/2002 17:15,,167,7.4,3,,,0.74,64,10,0.06,4,1.9,23.9,9.1,184,15.5,368,,0,124.60271,326.189863,0.35074,,,,84.03319,40.21878,,,,,,,,3.187782,,,,,,,,95.944365,215.593275,,,,,,,,,2.811836,2.925167,,,,,,,,5.727438,,,,,,,,,,
2002177001,2,2,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,6/26/2002 20:40,,167,277.9,26,,,3.74,265,4,0.23,4,0.5,27.4,9.1,133,10.5,356,,63,48.87052,471.201665,,,,,48.87052,,,,,,,,,56.193735,0.182097,174.466508,,,,,,99.671333,123.969222,,,,,,,,,1.895924,0.987503,,,,,,,,13.835343,,,,,,,,,,
2002212001,2,3,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,7/31/2002 0:00,,169,128.2,35,20,14,1.74,262,60,0.06,4,0.3,27.5,8.7,69,5.4,349,,64,160.2321,760.014871,0.84815,0.02175,,0.18979,159.17241,,,,,,,,,333.263833,0.138684,13.655382,383.605065,,,0.003923,,15.844178,2.833575,,,,,,,,,0.215206,,,,,,,,,10.455025,,,,,,,,,,
2003149001,2,1,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,5/29/2003 9:45,,131,25.4,6,4,2,1.04,81,2,0.06,4,1.23,21.4,9.2,170,15.1,388,,9,60.85966,272.034801,0.12158,1.00461,0.01451,0.29468,58.61164,0.75485,0.05779,,,,,6.194354,,99.613388,,26.401186,,,,,,84.344182,53.365829,,,,,,,,,0.212454,0.193111,,,,,,,,1.710297,,,,,,,,,,
2003176001,2,2,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,6/25/2003 7:45,,117,3.4,18,11,8,1.31,148,3,0.06,4.1,0.68,26.1,8.9,116,9.4,369,,19,30.19662,544.844081,0.37231,14.76054,,,14.91668,,0.14709,,,,,6.842007,,39.042532,,130.564877,281.204903,,,0.000497,,32.703708,8.900866,,,,,,,,,4.166985,0.53634,,,,,,,,40.881366,,,,,,,,,,
2003212001,2,3,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,7/31/2003 0:00,,121,26,15,12,3,2.35,263,17,0.06,4,0.3,25.3,8.8,,,393,,40,33.24717,1004.891838,,0.19762,0.07971,0.11293,32.36368,0.49323,,,,,,,,73.184666,1.284152,144.051189,468.470973,,,0.000333,,28.916681,178.004067,,,,,1.440761,,,,5.572601,0.473373,,,,,,,,89.940654,,,,,13.087161,,,,,0.465227
2004147001,2,1,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,5/26/2004 8:45,,152,13.5,80,14,66,2.7,467,301,1.11,4.4,0.1,18.8,8.1,56,5.2,319,,219,408.88323,323.113037,,2.00112,,,406.88211,,,,,,,1.900933,,69.496643,0.224971,157.963744,30.834441,,,0.01533,,3.143195,37.878035,,,,,,,,,0.11111,2.807586,,,,,,,,18.737049,,,,,,,,,,
2004175001,2,2,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,6/23/2004 9:00,,211,23.4,19,8,11,3.92,131,45,2.75,4,0.75,22.2,8.6,106,9.2,490,,23,70.66618,395.139259,2.56656,0.41228,,0.03675,67.65059,,,,,,,9.888825,,9.070294,0.193327,36.154675,247.824228,,,,,2.023119,85.128014,,,,,,,,,0.096305,0.603028,,,,,,,,4.157444,,,,,,,,,,
2004210001,2,3,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,7/28/2004 9:15,,124,132.9,51,30,21,1.74,172,6,0.06,4,0.35,23.2,9,158,13.5,322,,69,216.8265,2.232573,0.09815,,,0.00067,216.72768,,,,,,,,,0.194731,,,,,,,,2.037842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005153001,2,1,(002) Arrowhead Pond (Pottawattamie) (Pottawattamie ) ,6/2/2005 8:00,,194,64,20,13,6,2.49,137,3,1.2,4.1,0.47,19,7.9,71,6.6,473,,69,4.94141,138.062428,0.70067,3.52584,,0.47394,0.09521,,0.14575,,,,,6.982839,,54.272537,,,,,,,,40.522086,27.98478,,,,,,,,,,0.255976,,,,,,,,8.04421,,,,,,,,,,
