Sample ID,Lake ID,Sample Date,Division,Genus,Zooplankton_Biomass (ug/L),Flag,Sample Processed Date,Sample Processed By
A19004268006,4,9/25/2019,Cladocera,Chydorus,0.247540827,,12/11/2019,Karianna Fiebelkorn
A19004268006,4,9/25/2019,Copepoda,Cyclopoida,83.67129781,,12/11/2019,Karianna Fiebelkorn
A19004268006,4,9/25/2019,Cladocera,Daphnia,40.28115192,,12/11/2019,Karianna Fiebelkorn
A19004268006,4,9/25/2019,Rotifera,Keratella.cochlearis,0.008803939,,12/11/2019,Karianna Fiebelkorn
A19004268006,4,9/25/2019,Copepoda,Nauplii,8.076072363,,12/11/2019,Karianna Fiebelkorn
A19004268006,4,9/25/2019,Rotifera,Polyarthra,0.032165426,,12/11/2019,Karianna Fiebelkorn
A19005156002,5,6/5/2019,Rotifera,Ascomorpha,0.053642953,,6/24/2019,Katie Cope
A19005156002,5,6/5/2019,Rotifera,Brachionus,0.404357727,,6/24/2019,Katie Cope
A19005156002,5,6/5/2019,Copepoda,Cyclopoida,13.76997146,,6/24/2019,Katie Cope
A19005156002,5,6/5/2019,Rotifera,Keratella.cochlearis,0.165913679,,6/24/2019,Katie Cope
A19005156002,5,6/5/2019,Copepoda,Nauplii,1.482969617,,6/24/2019,Katie Cope
A19005156002,5,6/5/2019,Rotifera,Polyarthra,0.216788407,,6/24/2019,Katie Cope
A19005156002,5,6/5/2019,Rotifera,Pompholyx,0.113444327,,6/24/2019,Katie Cope
A19005198006,5,7/17/2019,Copepoda,Calanoida,2.729672406,,8/5/2019,Brittany Howes
A19005198006,5,7/17/2019,Copepoda,Cyclopoida,0.490152314,,8/5/2019,Brittany Howes
A19005198006,5,7/17/2019,Rotifera,Filinia,0.024218251,,8/5/2019,Brittany Howes
A19005198006,5,7/17/2019,Rotifera,Keratella.cochlearis,0.014726227,,8/5/2019,Brittany Howes
A19005198006,5,7/17/2019,Copepoda,Nauplii,0.431772376,,8/5/2019,Brittany Howes
A19005239010,5,8/27/2019,Rotifera,Brachionus,0.036391903,,10/10/2019,Brittany Howes
A19005239010,5,8/27/2019,Copepoda,Calanoida,5.671697889,,10/10/2019,Brittany Howes
A19005239010,5,8/27/2019,Cladocera,Chydorus,1.253617053,,10/10/2019,Brittany Howes
A19005239010,5,8/27/2019,Copepoda,Cyclopoida,13.99149268,,10/10/2019,Brittany Howes
A19005239010,5,8/27/2019,Cladocera,Daphnia,0.920972323,,10/10/2019,Brittany Howes
A19005239010,5,8/27/2019,Rotifera,Filinia,0.090087104,,10/10/2019,Brittany Howes
A19005239010,5,8/27/2019,Rotifera,Keratella.cochlearis,0.017437472,,10/10/2019,Brittany Howes
A19005239010,5,8/27/2019,Copepoda,Nauplii,1.069768306,,10/10/2019,Brittany Howes
A19006142002,6,5/22/2019,Cladocera,Chydorus,0.0643276,,5/31/2019,Brittany Howes
A19006142002,6,5/22/2019,Copepoda,Cyclopoida,2.17734619,,5/31/2019,Brittany Howes
A19006142002,6,5/22/2019,Cladocera,Daphnia,1.026666057,,5/31/2019,Brittany Howes
A19006142002,6,5/22/2019,Rotifera,Keratella.cochlearis,0.002237047,,5/31/2019,Brittany Howes
A19006142002,6,5/22/2019,Copepoda,Nauplii,0.763968969,,5/31/2019,Brittany Howes
A19006142002,6,5/22/2019,Rotifera,Polyarthra,0.001597501,,5/31/2019,Brittany Howes
A19006190002,6,7/9/2019,Cladocera,Bosmina,2.423163557,,7/24/2019,Katie Cope
A19006190002,6,7/9/2019,Rotifera,Kellicottia,0.005338587,,7/24/2019,Katie Cope
A19006190002,6,7/9/2019,Rotifera,Keratella.cochlearis,0.047640048,,7/24/2019,Katie Cope
A19006190002,6,7/9/2019,Copepoda,Nauplii,0.361138072,,7/24/2019,Katie Cope
A19006190002,6,7/9/2019,Rotifera,Polyarthra,0.790979373,,7/24/2019,Katie Cope
A19006232002,6,8/20/2019,Rotifera,Asplanchna,0.590501668,,10/1/2019,Brittany Howes
A19006232002,6,8/20/2019,Rotifera,Brachionus,0.690230158,,10/1/2019,Brittany Howes
A19006232002,6,8/20/2019,Copepoda,Cyclopoida,2.894186289,,10/1/2019,Brittany Howes
A19006232002,6,8/20/2019,Rotifera,Filinia,0.044627175,,10/1/2019,Brittany Howes
A19006232002,6,8/20/2019,Copepoda,Nauplii,1.202718648,,10/1/2019,Brittany Howes
A19006232002,6,8/20/2019,Rotifera,Polyarthra,1.625539301,,10/1/2019,Brittany Howes
A19007162006,7,6/11/2019,Rotifera,Asplanchna,12.18471775,,7/1/2019,Brittany Howes
A19007162006,7,6/11/2019,Cladocera,Bosmina,10.83605615,,7/1/2019,Brittany Howes
A19007162006,7,6/11/2019,Copepoda,Calanoida,27.8282057,,7/1/2019,Brittany Howes
A19007162006,7,6/11/2019,Copepoda,Cyclopoida,53.56771307,,7/1/2019,Brittany Howes
A19007162006,7,6/11/2019,Cladocera,Daphnia,102.5018609,,7/1/2019,Brittany Howes
A19007162006,7,6/11/2019,Rotifera,Keratella.cochlearis,0.15887471,,7/1/2019,Brittany Howes
A19007162006,7,6/11/2019,Rotifera,Keratella.quadrata,0.114549465,,7/1/2019,Brittany Howes
A19007162006,7,6/11/2019,Copepoda,Nauplii,2.153675683,,7/1/2019,Brittany Howes
A19007162006,7,6/11/2019,Rotifera,Polyarthra,4.77100416,,7/1/2019,Brittany Howes
A19007211004,7,7/30/2019,Rotifera,Brachionus,0.009247098,,8/19/2019,Brittany Howes
A19007211004,7,7/30/2019,Copepoda,Cyclopoida,0.039612557,,8/19/2019,Brittany Howes
A19007211004,7,7/30/2019,Cladocera,Daphnia,0.049589774,,8/19/2019,Brittany Howes
A19007211004,7,7/30/2019,Rotifera,Keratella.cochlearis,0.001554364,,8/19/2019,Brittany Howes
A19007211004,7,7/30/2019,Copepoda,Nauplii,0.058314017,,8/19/2019,Brittany Howes
A19007251010,7,9/8/2019,Copepoda,Calanoida,2.15545976,,11/1/2019,Karianna Fiebelkorn
A19007251010,7,9/8/2019,Cladocera,Chydorus,0.394252447,,11/1/2019,Karianna Fiebelkorn
A19007251010,7,9/8/2019,Copepoda,Cyclopoida,22.00612715,,11/1/2019,Karianna Fiebelkorn
A19007251010,7,9/8/2019,Cladocera,Daphnia,28.17352441,,11/1/2019,Karianna Fiebelkorn
A19007251010,7,9/8/2019,Cladocera,Diaphanosoma,1.001042168,,11/1/2019,Karianna Fiebelkorn
A19007251010,7,9/8/2019,Copepoda,Nauplii,3.933497619,,11/1/2019,Karianna Fiebelkorn
A19008177004,8,6/26/2019,Cladocera,Bosmina,8.101423676,,7/10/2019,Brittany Howes
A19008177004,8,6/26/2019,Copepoda,Cyclopoida,68.26950553,,7/10/2019,Brittany Howes
A19008177004,8,6/26/2019,Cladocera,Daphnia,32.68280783,,7/10/2019,Brittany Howes
A19008177004,8,6/26/2019,Rotifera,Keratella.cochlearis,0.038003224,,7/10/2019,Brittany Howes
A19008177004,8,6/26/2019,Rotifera,Keratella.quadrata,0.091822343,,7/10/2019,Brittany Howes
A19008177004,8,6/26/2019,Copepoda,Nauplii,7.902959801,,7/10/2019,Brittany Howes
A19008225003,8,8/13/2019,Copepoda,Calanoida,9.992624102,,9/19/2019,Brittany Howes
A19008225003,8,8/13/2019,Copepoda,Cyclopoida,34.43567237,,9/19/2019,Brittany Howes
A19008225003,8,8/13/2019,Cladocera,Daphnia,8.472933202,,9/19/2019,Brittany Howes
A19008225003,8,8/13/2019,Rotifera,Kellicottia,0.013015207,,9/19/2019,Brittany Howes
A19008225003,8,8/13/2019,Rotifera,Keratella.cochlearis,0.193560083,,9/19/2019,Brittany Howes
A19008225003,8,8/13/2019,Copepoda,Nauplii,5.648223642,,9/19/2019,Brittany Howes
A19008225003,8,8/13/2019,Rotifera,Polyarthra,0.202606945,,9/19/2019,Brittany Howes
A19008265001,8,9/22/2019,Copepoda,Calanoida,8.003327569,,12/10/2019,Brittany Howes
A19008265001,8,9/22/2019,Cladocera,Chydorus,3.656783813,,12/10/2019,Brittany Howes
A19008265001,8,9/22/2019,Copepoda,Cyclopoida,88.37149518,,12/10/2019,Brittany Howes
A19008265001,8,9/22/2019,Cladocera,Daphnia,19.38817076,,12/10/2019,Brittany Howes
A19008265001,8,9/22/2019,Rotifera,Kellicottia,0.303276707,,12/10/2019,Brittany Howes
A19008265001,8,9/22/2019,Rotifera,Keratella.cochlearis,0.118331856,,12/10/2019,Brittany Howes
A19008265001,8,9/22/2019,Copepoda,Nauplii,1.927989774,,12/10/2019,Brittany Howes
A19009143001,9,5/23/2019,Copepoda,Calanoida,219.9405454,,5/30/2019,Brittany Howes
A19009143001,9,5/23/2019,Copepoda,Cyclopoida,96.52879168,,5/30/2019,Brittany Howes
A19009143001,9,5/23/2019,Cladocera,Daphnia,449.8221998,,5/30/2019,Brittany Howes
A19009143001,9,5/23/2019,Rotifera,Keratella.cochlearis,0.593408486,,5/30/2019,Brittany Howes
A19009143001,9,5/23/2019,Copepoda,Nauplii,8.824076847,,5/30/2019,Brittany Howes
A19009190006,9,7/9/2019,Copepoda,Calanoida,61.83496464,,7/29/2019,Brittany Howes
A19009190006,9,7/9/2019,Copepoda,Cyclopoida,106.3870417,,7/29/2019,Brittany Howes
A19009190006,9,7/9/2019,Cladocera,Daphnia,117.5281463,,7/29/2019,Brittany Howes
A19009190006,9,7/9/2019,Rotifera,Keratella.cochlearis,0.049533424,,7/29/2019,Brittany Howes
A19009190006,9,7/9/2019,Copepoda,Nauplii,8.486089191,,7/29/2019,Brittany Howes
A19009232006,9,8/20/2019,Rotifera,Brachionus,0.019087569,,10/4/2019,Karianna Fiebelkorn
A19009232006,9,8/20/2019,Copepoda,Calanoida,0.998031634,,10/4/2019,Karianna Fiebelkorn
A19009232006,9,8/20/2019,Copepoda,Cyclopoida,28.0108658,,10/4/2019,Karianna Fiebelkorn
A19009232006,9,8/20/2019,Rotifera,Keratella.cochlearis,0.001531318,,10/4/2019,Karianna Fiebelkorn
A19009232006,9,8/20/2019,Copepoda,Nauplii,0.67475564,,10/4/2019,Karianna Fiebelkorn
A19009232006,9,8/20/2019,Rotifera,Polyarthra,0.155287698,,10/4/2019,Karianna Fiebelkorn
A19010148005,10,5/28/2019,Copepoda,Calanoida,116.209633,,6/12/2019,Brittany Howes
A19010148005,10,5/28/2019,Copepoda,Cyclopoida,22.25822386,,6/12/2019,Brittany Howes
A19010148005,10,5/28/2019,Cladocera,Daphnia,104.7630023,,6/12/2019,Brittany Howes
A19010148005,10,5/28/2019,Rotifera,Keratella.cochlearis,0.065228522,,6/12/2019,Brittany Howes
A19010148005,10,5/28/2019,Rotifera,Keratella.quadrata,0.630749426,,6/12/2019,Brittany Howes
A19010148005,10,5/28/2019,Copepoda,Nauplii,7.138350226,,6/12/2019,Brittany Howes
A19010203003,10,7/22/2019,Rotifera,Brachionus,0.009561569,,8/12/2019,Brittany Howes
A19010203003,10,7/22/2019,Copepoda,Calanoida,1.77099784,,8/12/2019,Brittany Howes
A19010203003,10,7/22/2019,Copepoda,Cyclopoida,0.244087563,,8/12/2019,Brittany Howes
A19010203003,10,7/22/2019,Cladocera,Daphnia,6.530603573,,8/12/2019,Brittany Howes
A19010203003,10,7/22/2019,Rotifera,Keratella.cochlearis,0.001111829,,8/12/2019,Brittany Howes
A19010203003,10,7/22/2019,Copepoda,Nauplii,0.796010547,,8/12/2019,Brittany Howes
A19010203003,10,7/22/2019,Rotifera,Polyarthra,0.010730487,,8/12/2019,Brittany Howes
A19010246008,10,9/3/2019,Copepoda,Calanoida,25.58347699,,10/23/2019,Karianna Fiebelkorn
A19010246008,10,9/3/2019,Cladocera,Chydorus,6.344324571,,10/23/2019,Karianna Fiebelkorn
A19010246008,10,9/3/2019,Copepoda,Cyclopoida,5.675568083,,10/23/2019,Karianna Fiebelkorn
A19010246008,10,9/3/2019,Cladocera,Daphnia,13.86876169,,10/23/2019,Karianna Fiebelkorn
A19010246008,10,9/3/2019,Cladocera,Diaphanosoma,13.96880326,,10/23/2019,Karianna Fiebelkorn
A19010246008,10,9/3/2019,Rotifera,Keratella.cochlearis,0.001170439,,10/23/2019,Karianna Fiebelkorn
A19010246008,10,9/3/2019,Copepoda,Nauplii,1.007618281,,10/23/2019,Karianna Fiebelkorn
A19011140002,11,5/20/2019,Copepoda,Calanoida,217.6286606,,5/22/2019,Jeremiah Reed
A19011140002,11,5/20/2019,Copepoda,Cyclopoida,31.83962224,,5/22/2019,Jeremiah Reed
A19011140002,11,5/20/2019,Cladocera,Daphnia,205.0105866,,5/22/2019,Jeremiah Reed
A19011140002,11,5/20/2019,Rotifera,Keratella.cochlearis,0.181565047,,5/22/2019,Jeremiah Reed
A19011140002,11,5/20/2019,Copepoda,Nauplii,8.527555636,,5/22/2019,Jeremiah Reed
A19011189004,11,7/8/2019,Copepoda,Calanoida,286.9825565,,7/17/2019,Karianna Fiebelkorn
A19011189004,11,7/8/2019,Copepoda,Cyclopoida,52.64452799,,7/17/2019,Karianna Fiebelkorn
A19011189004,11,7/8/2019,Cladocera,Daphnia,44.73777531,,7/17/2019,Karianna Fiebelkorn
A19011189004,11,7/8/2019,Rotifera,Keratella.cochlearis,0.348364245,,7/17/2019,Karianna Fiebelkorn
A19011189004,11,7/8/2019,Copepoda,Nauplii,41.65936909,,7/17/2019,Karianna Fiebelkorn
A19011189004,11,7/8/2019,Rotifera,Polyarthra,1.987317755,,7/17/2019,Karianna Fiebelkorn
A19011231007,11,8/19/2019,Copepoda,Calanoida,93.39432831,,9/28/2019,Karianna Fiebelkorn
A19011231007,11,8/19/2019,Copepoda,Cyclopoida,13.39824751,,9/28/2019,Karianna Fiebelkorn
A19011231007,11,8/19/2019,Cladocera,Diaphanosoma,0.452627578,,9/28/2019,Karianna Fiebelkorn
A19011231007,11,8/19/2019,Copepoda,Nauplii,4.133598321,,9/28/2019,Karianna Fiebelkorn
A19012140010,12,5/20/2019,Cladocera,Bosmina,12.96606421,,5/21/2019,Brittany Howes
A19012140010,12,5/20/2019,Copepoda,Cyclopoida,59.36520382,,5/21/2019,Brittany Howes
A19012140010,12,5/20/2019,Cladocera,Daphnia,61.05463977,,5/21/2019,Brittany Howes
A19012140010,12,5/20/2019,Rotifera,Keratella.cochlearis,0.130458241,,5/21/2019,Brittany Howes
A19012140010,12,5/20/2019,Copepoda,Nauplii,6.469739715,,5/21/2019,Brittany Howes
A19012140010,12,5/20/2019,Rotifera,Polyarthra,0.225699704,,5/21/2019,Brittany Howes
A19012189012,12,7/8/2019,Rotifera,Asplanchna,2.754309632,,7/22/2019,Brittany Howes
A19012189012,12,7/8/2019,Cladocera,Bosmina,83.92859361,,7/22/2019,Brittany Howes
A19012189012,12,7/8/2019,Copepoda,Calanoida,116.7188455,,7/22/2019,Brittany Howes
A19012189012,12,7/8/2019,Cladocera,Chydorus,1.420519348,,7/22/2019,Brittany Howes
A19012189012,12,7/8/2019,Copepoda,Cyclopoida,342.4250089,,7/22/2019,Brittany Howes
A19012189012,12,7/8/2019,Cladocera,Daphnia,29.34414516,,7/22/2019,Brittany Howes
A19012189012,12,7/8/2019,Rotifera,Keratella.cochlearis,0.052931143,,7/22/2019,Brittany Howes
A19012189012,12,7/8/2019,Copepoda,Nauplii,9.329852418,,7/22/2019,Brittany Howes
A19012189012,12,7/8/2019,Rotifera,Polyarthra,0.552186739,,7/22/2019,Brittany Howes
A19012231004,12,8/19/2019,Cladocera,Bosmina,41.23419055,,10/4/2019,Karianna Fiebelkorn
A19012231004,12,8/19/2019,Copepoda,Calanoida,129.9984274,,10/4/2019,Karianna Fiebelkorn
A19012231004,12,8/19/2019,Cladocera,Ceriodaphnia,128.5467929,,10/4/2019,Karianna Fiebelkorn
A19012231004,12,8/19/2019,Cladocera,Chydorus,7.041318408,,10/4/2019,Karianna Fiebelkorn
A19012231004,12,8/19/2019,Copepoda,Cyclopoida,121.3507613,,10/4/2019,Karianna Fiebelkorn
A19012231004,12,8/19/2019,Cladocera,Daphnia,103.118073,,10/4/2019,Karianna Fiebelkorn
A19012231004,12,8/19/2019,Cladocera,Diaphanosoma,15.8434746,,10/4/2019,Karianna Fiebelkorn
A19012231004,12,8/19/2019,Rotifera,Keratella.cochlearis,0.189913135,,10/4/2019,Karianna Fiebelkorn
A19012231004,12,8/19/2019,Copepoda,Nauplii,3.714119763,,10/4/2019,Karianna Fiebelkorn
A19013154004,13,6/3/2019,Rotifera,Asplanchna,1.50551853,,6/20/2019,Brittany Howes
A19013154004,13,6/3/2019,Cladocera,Bosmina,0.242044565,,6/20/2019,Brittany Howes
A19013154004,13,6/3/2019,Copepoda,Calanoida,17.43500943,,6/20/2019,Brittany Howes
A19013154004,13,6/3/2019,Copepoda,Cyclopoida,7.384085064,,6/20/2019,Brittany Howes
A19013154004,13,6/3/2019,Cladocera,Daphnia,11.30987715,,6/20/2019,Brittany Howes
A19013154004,13,6/3/2019,Rotifera,Keratella.cochlearis,0.027577541,,6/20/2019,Brittany Howes
A19013154004,13,6/3/2019,Copepoda,Nauplii,4.790872069,,6/20/2019,Brittany Howes
A19013154004,13,6/3/2019,Rotifera,Polyarthra,0.668722587,,6/20/2019,Brittany Howes
A19013154004,13,6/3/2019,Rotifera,Pompholyx,0.12706121,,6/20/2019,Brittany Howes
A19013196001,13,7/15/2019,Rotifera,Asplanchna,1.060548744,,8/1/2019,Katie Cope
A19013196001,13,7/15/2019,Cladocera,Bosmina,7.713811118,,8/1/2019,Katie Cope
A19013196001,13,7/15/2019,Rotifera,Brachionus,2.103236195,,8/1/2019,Katie Cope
A19013196001,13,7/15/2019,Copepoda,Calanoida,11.05770396,,8/1/2019,Katie Cope
A19013196001,13,7/15/2019,Rotifera,Conochilus,0.047776705,,8/1/2019,Katie Cope
A19013196001,13,7/15/2019,Copepoda,Cyclopoida,1.892456562,,8/1/2019,Katie Cope
A19013196001,13,7/15/2019,Cladocera,Daphnia,8.225238899,,8/1/2019,Katie Cope
A19013196001,13,7/15/2019,Cladocera,Diaphanosoma,5.054458244,,8/1/2019,Katie Cope
A19013196001,13,7/15/2019,Rotifera,Filinia,0.056747099,,8/1/2019,Katie Cope
A19013196001,13,7/15/2019,Rotifera,Keratella.cochlearis,0.179936819,,8/1/2019,Katie Cope
A19013196001,13,7/15/2019,Copepoda,Nauplii,1.945924058,,8/1/2019,Katie Cope
A19013239004,13,8/27/2019,Rotifera,Brachionus,0.037346904,,10/18/2019,Karianna Fiebelkorn
A19013239004,13,8/27/2019,Copepoda,Calanoida,9.292328205,,10/18/2019,Karianna Fiebelkorn
A19013239004,13,8/27/2019,Cladocera,Ceriodaphnia,8.989177196,,10/18/2019,Karianna Fiebelkorn
A19013239004,13,8/27/2019,Copepoda,Cyclopoida,3.595945898,,10/18/2019,Karianna Fiebelkorn
A19013239004,13,8/27/2019,Cladocera,Daphnia,6.400085546,,10/18/2019,Karianna Fiebelkorn
A19013239004,13,8/27/2019,Rotifera,Filinia,0.177550589,,10/18/2019,Karianna Fiebelkorn
