Sample ID,Lake Number,Date Sampled,Division,Genus,Biomass (mg/L),Sample Processed by,Date Processed
A19005156,5,6/5/2019,Chlorophyta,Ankyra,0.001130682,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Carteria,0.038593952,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Chlamydomonas,0.854866282,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Chlorella,1.633106182,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Coelastrum,0.073603223,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Desmodesmus,0.698083185,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Dictyosphaerium,0.025737794,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Eudorina,17.80417407,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Golenkina,0.129255819,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Golenkiniopsis,0.001017614,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Kirchneriella,0.000348365,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Micractinium,0.458038159,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Scenedesmus,0.014133527,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Chlorophyta,Tetrastrum,0.005275311,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Cryptophyta,Cryptomonas,2.349271758,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Cryptophyta,Komma,0.222830281,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Cyanophyta,Pseudanabaena,0.085352372,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Cyanophyta,Snowella,0.073603223,Katie Cope,10/8/2019
A19005156,5,6/5/2019,Euglenophyta,Euglena,0.472775914,Katie Cope,10/8/2019
A19007211,7,7/30/2019,Chlorophyta,Desmodesmus,0.031407839,Katie Cope,12/2/2019
A19007211,7,7/30/2019,Cyanophyta,Merismopedia,0.290304398,Katie Cope,12/2/2019
A19007211,7,7/30/2019,Cyanophyta,Microcystis,267.7225677,Katie Cope,12/2/2019
A19007211,7,7/30/2019,Cyanophyta,Pseudanabaena,0.306490253,Katie Cope,12/2/2019
A19008177,8,6/26/2019,Bacillariophyta,Asterionella,0.782658852,Katie Cope,12/30/2019
A19008177,8,6/26/2019,Chlorophyta,Ankyra,0.014418783,Katie Cope,12/30/2019
A19008177,8,6/26/2019,Chlorophyta,Chlamydomonas,0.22301274,Katie Cope,12/30/2019
A19008177,8,6/26/2019,Chlorophyta,Desmodesmus,0.080894336,Katie Cope,12/30/2019
A19008177,8,6/26/2019,Chlorophyta,Oocystis,0.058971971,Katie Cope,12/30/2019
A19008177,8,6/26/2019,Chlorophyta,Pediastrum,12.04330601,Katie Cope,12/30/2019
A19008177,8,6/26/2019,Chlorophyta,Sphaerocystis,0.273018383,Katie Cope,12/30/2019
A19008177,8,6/26/2019,Chrysophyta,Dinobryon,0.160534809,Katie Cope,12/30/2019
A19008177,8,6/26/2019,Cryptophyta,Cryptomonas,1.149032204,Katie Cope,12/30/2019
A19008177,8,6/26/2019,Cryptophyta,Komma,0.096379869,Katie Cope,12/30/2019
A19008177,8,6/26/2019,Cyanophyta,Aphanizomenon,0.242683007,Katie Cope,12/30/2019
A19009143,9,5/23/2019,Bacillariophyta,Asterionella,0.294714287,Katie Cope,10/23/2019
A19009143,9,5/23/2019,Bacillariophyta,Cocconeis,0.01771615,Katie Cope,10/23/2019
A19009143,9,5/23/2019,Bacillariophyta,Fragilaria,0.361987318,Katie Cope,10/23/2019
A19009143,9,5/23/2019,Bacillariophyta,Navicula,0.212593804,Katie Cope,10/23/2019
A19009143,9,5/23/2019,Bacillariophyta,Stephanodiscus,0.148321548,Katie Cope,10/23/2019
A19009143,9,5/23/2019,Bacillariophyta,Synedra,0.004669279,Katie Cope,10/23/2019
A19009143,9,5/23/2019,Chlorophyta,Ankyra,0.000132871,Katie Cope,10/23/2019
A19009143,9,5/23/2019,Chlorophyta,Chlamydomonas,0.525630017,Katie Cope,10/23/2019
A19009143,9,5/23/2019,Cryptophyta,Cryptomonas,0.90619756,Katie Cope,10/23/2019
A19009143,9,5/23/2019,Cryptophyta,Komma,0.091631206,Katie Cope,10/23/2019
A19009143,9,5/23/2019,Cyanophyta,Aphanocapsa,0.075946922,Katie Cope,10/23/2019
A19009143,9,5/23/2019,Cyanophyta,Planktolyngbya,0.001079578,Katie Cope,10/23/2019
A19009143,9,5/23/2019,Cyanophyta,Pseudanabaena,0.021855224,Katie Cope,10/23/2019
A19011189,11,7/8/2019,Bacillariophyta,Aulacoseira,1.329682258,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Bacillariophyta,Cyclotella,0.011448157,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Bacillariophyta,Fragilaria,14.6373668,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Bacillariophyta,Synedra,0.01013499,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Chlorophyta,Actinastrum,0.001206061,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Chlorophyta,Chlamydomonas,0.165607252,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Chlorophyta,Crucigenia,0.017995366,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Chlorophyta,Desmodesmus,0.084411964,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Chlorophyta,Dictyosphaerium,0.102468074,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Chlorophyta,Golenkina,0.016281824,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Chlorophyta,Kirchneriella,0.003467425,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Chlorophyta,Monoraphidium,0.020519029,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Chlorophyta,Selenastrum,0.005879547,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Cryptophyta,Cryptomonas,5.338636274,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Cryptophyta,Komma,0.207180063,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Cyanophyta,Aphanizomenon,1.133621966,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Cyanophyta,Aphanocapsa,16.94745753,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Cyanophyta,Aphanothece,1.318827709,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Cyanophyta,Merismopedia,0.277458834,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Cyanophyta,Microcystis,4.299762951,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Cyanophyta,Pseudanabaena,0.015377278,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Cyanophyta,Snowella,1.619466681,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Dinophyta,Perdinium,0.134325044,Katie Cope,12/9/2019
A19011189,11,7/8/2019,Euglenophyta,Trachelomonas,0.032563647,Katie Cope,12/9/2019
A19012140,12,5/20/2019,Bacillariophyta,Amphora,0.060407197,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Bacillariophyta,Cocconeis,0.367363184,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Bacillariophyta,Unknown centric diatom,0.003732526,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Chlorophyta,Ankyra,0.000447074,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Chlorophyta,Carteria,0.111195675,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Chlorophyta,Chlamydomonas,0.527467871,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Chlorophyta,Coelastrum,0.249775025,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Chlorophyta,Crucigenia,0.0035643,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Chlorophyta,Desmodesmus,0.022932638,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Chlorophyta,Oocystis,0.177048732,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Chlorophyta,Pediastrum,5.452072898,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Chlorophyta,Schroederia,0.005557235,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Cryptophyta,Cryptomonas,3.292240679,Katie Cope,9/30/2019
A19012140,12,5/20/2019,Cyanophyta,Aphanocapsa,0.048554907,Katie Cope,9/30/2019
A19013239,13,8/27/2019,Bacillariophyta,Aulacoseira,0.271363726,Katie Cope,12/23/2019
A19013239,13,8/27/2019,Bacillariophyta,Cyclotella,0.020352279,Katie Cope,12/23/2019
A19013239,13,8/27/2019,Chlorophyta,Sphaerocystis,4.902861329,Katie Cope,12/23/2019
A19013239,13,8/27/2019,Cryptophyta,Cryptomonas,0.391015959,Katie Cope,12/23/2019
A19013239,13,8/27/2019,Euglenophyta,Euglena,0.338869641,Katie Cope,12/23/2019
A19013239,13,8/27/2019,Euglenophyta,Trachelomonas,0.028588113,Katie Cope,12/23/2019
A19014225,14,8/13/2019,Bacillariophyta,Cyclotella,0.122082171,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Chlorophyta,Coelastrum,0.066399312,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Chlorophyta,Desmodesmus,0.373074871,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Chlorophyta,Golenkina,0.005829295,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Cryptophyta,Cryptomonas,0.241004909,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Cryptophyta,Komma,0.120502455,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Cyanophyta,Aphanizomenon,2.154019749,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Cyanophyta,Cylindrospermopsis,2.198856654,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Cyanophyta,Dolichospermum,1.23515016,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Cyanophyta,Limnothrix,0.797447536,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Cyanophyta,Merismopedia,0.062482754,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Cyanophyta,Microcystis,11.38748196,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Cyanophyta,Planktothrix,0.409872295,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Cyanophyta,Pseudanabaena,0.141542566,Katie Cope,12/5/2019
A19014225,14,8/13/2019,Cyanophyta,Snowella,2.548152698,Katie Cope,12/5/2019
A19015231,15,8/19/2019,Bacillariophyta,Cyclotella,1.394621757,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Bacillariophyta,Navicula,0.457474015,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Bacillariophyta,Synedra,0.283779724,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Actinastrum,0.007123298,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Chlamydomonas,0.128219361,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Cosmarium,0.043970974,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Crucigenia,0.021498464,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Desmodesmus,0.175883897,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Golenkina,0.001407071,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Kirchneriella,0.002814142,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Monoraphidium,0.067246798,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Selenastrum,0.020109392,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Tetraedron,0.049446467,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Tetraedron,0.017198771,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Tetrastrum,0.011256569,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Chlorophyta,Treubaria,0.022513139,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Cryptophyta,Cryptomonas,0.140707117,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Cyanophyta,Anabaenopsis,0.122415192,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Cyanophyta,Aphanocapsa,2.907718392,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Cyanophyta,Merismopedia,0.437184863,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Cyanophyta,Microcystis,0.175883897,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Cyanophyta,Planktolyngbya,0.015829551,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Cyanophyta,Pseudanabaena,0.459830859,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Cyanophyta,Snowella,0.216029396,Katie Cope,12/20/2019
A19015231,15,8/19/2019,Euglenophyta,Euglena,0.351152199,Katie Cope,12/20/2019
A19016142,16,5/22/2019,Bacillariophyta,Amphora,0.00403787,Katie Cope,10/10/2019
A19016142,16,5/22/2019,Bacillariophyta,Fragilaria,0.05287117,Katie Cope,10/10/2019
A19016142,16,5/22/2019,Bacillariophyta,Gomphonema,0.002385033,Katie Cope,10/10/2019
A19016142,16,5/22/2019,Bacillariophyta,Meloseira,0.001442798,Katie Cope,10/10/2019
A19016142,16,5/22/2019,Bacillariophyta,Navicula,0.007914775,Katie Cope,10/10/2019
A19016142,16,5/22/2019,Bacillariophyta,Synedra,0.000443886,Katie Cope,10/10/2019
A19016142,16,5/22/2019,Chlorophyta,Ankyra,0.001997294,Katie Cope,10/10/2019
A19016142,16,5/22/2019,Chlorophyta,Chlamydomonas,0.016983265,Katie Cope,10/10/2019
A19016142,16,5/22/2019,Cryptophyta,Cryptomonas,0.429751018,Katie Cope,10/10/2019
A19016142,16,5/22/2019,Cryptophyta,Komma,0.001948949,Katie Cope,10/10/2019
A19017161,17,6/10/2019,Bacillariophyta,Cyclotella,37.59105236,Katie Cope,10/29/2019
A19017161,17,6/10/2019,Chlorophyta,Cosmarium,0.17359505,Katie Cope,10/29/2019
A19017161,17,6/10/2019,Chlorophyta,Crucigenia,0.279738667,Katie Cope,10/29/2019
A19017161,17,6/10/2019,Chlorophyta,Desmodesmus ,0.077153356,Katie Cope,10/29/2019
A19017161,17,6/10/2019,Chlorophyta,Elaktothrix,0.172620058,Katie Cope,10/29/2019
A19017161,17,6/10/2019,Chlorophyta,Lagerheimia,0.031659101,Katie Cope,10/29/2019
A19017161,17,6/10/2019,Chlorophyta,Oocystis,0.642888973,Katie Cope,10/29/2019
A19017161,17,6/10/2019,Chlorophyta,Scenedesmus,0.009045458,Katie Cope,10/29/2019
A19017161,17,6/10/2019,Chlorophyta,Tetrastrum,0.008040407,Katie Cope,10/29/2019
A19017161,17,6/10/2019,Cryptophyta,Komma,1.259732378,Katie Cope,10/29/2019
A19017161,17,6/10/2019,Cyanophyta,Aphanocapsa,2.244773743,Katie Cope,10/29/2019
A19018224,18,8/12/2019,Chlorophyta,Crucigenia,0.051097242,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Chlorophyta,Dictyosphaerium,0.009998204,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Chlorophyta,Golenkina,0.013789297,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Chlorophyta,Micractinium,0.024689074,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Chlorophyta,Monoraphidium,0.007554766,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Chlorophyta,Scenedesmus,0.310259193,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Cryptophyta,Cryptomonas,3.52002072,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Cryptophyta,Komma,0.046621011,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Cyanophyta,Aphanocapsa,7.69125536,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Cyanophyta,Cuspidothrix,1.525610248,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Cyanophyta,Cylindrospermopsis,0.029789707,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Cyanophyta,Dolichospermum,2.833053381,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Cyanophyta,Merismopedia,0.107205423,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Cyanophyta,Microcystis,0.008683639,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Cyanophyta,Pseudanabaena,0.106374581,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Cyanophyta,Snowella,6.20506648,Katie Cope,11/18/2019
A19018224,18,8/12/2019,Dinophyta,Peridinium,1.306566088,Katie Cope,11/18/2019
A19019148,19,5/28/2019,Bacillariophyta,Asterionella,0.012708452,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Bacillariophyta,Cocconeis,0.006113482,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Bacillariophyta,Navicula,0.545846575,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Bacillariophyta,Stephanodiscus,1.211124382,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Bacillariophyta,Synedra,0.000127085,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Chlorophyta,Chlamydomonas,0.052631683,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Chlorophyta,Coelastrum,0.045924469,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Chlorophyta,Crucigenia,0.00723786,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Chlorophyta,Oocystis,0.037429149,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Chlorophyta,Radiococcus,0.001996239,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Chlorophyta,Sphaerocystis,0.041588311,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Chlorophyta,Tetraedron,0.001016676,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Chrysophyta,Dinobryon,0.009731665,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Cryptophyta,Cryptomonas,0.59570714,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Cryptophyta,Komma,0.018474146,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Cyanophyta,Aphanizomenon,1.24613849,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Cyanophyta,Aphanocapsa,0.866586023,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Cyanophyta,Microcystis,0.159295888,Katie Cope,10/21/2019
A19019148,19,5/28/2019,Cyanophyta,Pseudanabaena,0.000233934,Katie Cope,10/21/2019
A19020259,20,9/16/2019,Bacillariophyta,Synedra,0.013891315,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Chlorophyta,Chlamydomonas,0.136986496,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Chlorophyta,Crucigenia,0.008371998,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Chlorophyta,Kirchneriella,0.000547946,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Chlorophyta,Selenastrum,0.037043855,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Cryptophyta,Cryptomonas,1.496808313,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Cryptophyta,Komma,0.072436024,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Cyanophyta,Cuspidothrix,6.447238518,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Cyanophyta,Cylindrospermopsis,3.264004645,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Cyanophyta,Dolichospermum,0.214794826,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Cyanophyta,Microcystis,0.044730285,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Cyanophyta,Pseudanabaena,0.027032002,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Cyanophyta,Snowella,0.084126832,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Dinophyta,Peridinium,0.211060676,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Euglenophyta,Euglena,0.841645033,Katie Cope,12/23/2019
A19020259,20,9/16/2019,Euglenophyta,Trachelomonas,0.797647,Katie Cope,12/23/2019
A19021224,21,8/12/2019,Bacillariophyta,Asterionella,0.390224219,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Bacillariophyta,Aulacoseira,2.463823007,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Bacillariophyta,Cocconeis,0.040864185,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Bacillariophyta,Fragilaria,0.306481385,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Bacillariophyta,Nitzschia,0.0228647,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Bacillariophyta,Synedra,0.015608969,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Chlorophyta,Chlamydomonas,0.175348855,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Chlorophyta,Crucigenia,0.001219451,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Chlorophyta,Desmodesmus,0.017239578,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Chlorophyta,Oocystis,0.110851195,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Chlorophyta,Pediastrum,1.402790838,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Chlorophyta,Selenastrum,0.002873263,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cryptophyta,Cryptomonas,0.901055271,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cryptophyta,Komma,0.078296416,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cyanophyta,Aphanizomenon,0.031426314,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cyanophyta,Aphanocapsa,36.79326608,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cyanophyta,Aphanothece,20.8646456,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cyanophyta,Cuspidothrix,0.098409257,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cyanophyta,Cylindrospermopsis,0.034239717,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cyanophyta,Dolichospermum,8.042071536,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cyanophyta,Microcystis,66.73653307,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cyanophyta,Planktolyngbya,0.067482103,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cyanophyta,Planktothrix,0.118522098,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cyanophyta,Pseudanabaena,0.034119998,Katie Cope,12/13/2019
A19021224,21,8/12/2019,Cyanophyta,Snowella,0.136859103,Katie Cope,12/13/2019
A19022210,22,7/29/2019,Bacillariophyta,Aulacoseira,0.051688329,Katie Cope,12/23/2019
A19022210,22,7/29/2019,Bacillariophyta,Cocconeis,0.024504097,Katie Cope,12/23/2019
A19022210,22,7/29/2019,Bacillariophyta,Gomphonema,0.008973668,Katie Cope,12/23/2019
A19022210,22,7/29/2019,Bacillariophyta,Synedra,0.001169984,Katie Cope,12/23/2019
