Sample ID,Lake ID,Sample Date,Division,Genus,Zooplankton_Biomass (ug/L),Flag,Sample Processed By,Sample Processed Date
A18001252013,1,9/9/2018,Cladocera,Diaphanosoma,5.946582902,,11/15/2018,Elena Sandry
A18001252013,1,9/9/2018,Rotifera,Keratella.cochlearis,0.057609716,,11/15/2018,Elena Sandry
A18001252013,1,9/9/2018,Copepoda,Nauplii,9.4256956,,11/15/2018,Elena Sandry
A18002155003,2,6/4/2018,Cladocera,Chydorus,1.527733221,,9/24/2018,Tyler Butts
A18002155003,2,6/4/2018,Copepoda,Cyclopoida,6.412800791,,9/24/2018,Tyler Butts
A18002155003,2,6/4/2018,Rotifera,Keratella.cochlearis,0.635086385,,9/24/2018,Tyler Butts
A18002155003,2,6/4/2018,Rotifera,Keratella.quadrata,0.48730627,,9/24/2018,Tyler Butts
A18002155003,2,6/4/2018,Copepoda,Nauplii,3.774294286,,9/24/2018,Tyler Butts
A18002155003,2,6/4/2018,Rotifera,Platyias,0.847695708,,9/24/2018,Tyler Butts
A18002204003,2,7/23/2018,Rotifera,Brachionus,1.409828435,,12/5/2018,Tyler Butts
A18002204003,2,7/23/2018,Copepoda,Calanoida,6.329935484,,12/5/2018,Tyler Butts
A18002204003,2,7/23/2018,Cladocera,Ceriodaphnia,275.4725538,,12/5/2018,Tyler Butts
A18002204003,2,7/23/2018,Rotifera,Conochilus,0.424486078,,12/5/2018,Tyler Butts
A18002204003,2,7/23/2018,Copepoda,Cyclopoida,4.121730241,,12/5/2018,Tyler Butts
A18002204003,2,7/23/2018,Cladocera,Daphnia,60.49231881,,12/5/2018,Tyler Butts
A18002204003,2,7/23/2018,Rotifera,Filinia,0.501132544,,12/5/2018,Tyler Butts
A18002204003,2,7/23/2018,Rotifera,Keratella.cochlearis,0.416636944,,12/5/2018,Tyler Butts
A18002204003,2,7/23/2018,Copepoda,Nauplii,15.22542062,,12/5/2018,Tyler Butts
A18002204003,2,7/23/2018,Rotifera,Polyarthra,4.632161731,,12/5/2018,Tyler Butts
A18002204003,2,7/23/2018,Rotifera,Pompholyx,0.209453135,,12/5/2018,Tyler Butts
A18002204003,2,7/23/2018,Rotifera,Trichocerca,6.148237802,,12/5/2018,Tyler Butts
A18002238005,2,8/26/2018,Rotifera,Asplanchna,1.6838542,,11/17/2018,Tyler Butts
A18002238005,2,8/26/2018,Rotifera,Brachionus,0.154637694,,11/17/2018,Tyler Butts
A18002238005,2,8/26/2018,Cladocera,Ceriodaphnia,3.66793065,,11/17/2018,Tyler Butts
A18002238005,2,8/26/2018,Rotifera,Conochilus,1.806008516,,11/17/2018,Tyler Butts
A18002238005,2,8/26/2018,Cladocera,Daphnia,1.814659169,,11/17/2018,Tyler Butts
A18002238005,2,8/26/2018,Rotifera,Keratella.cochlearis,0.310162047,,11/17/2018,Tyler Butts
A18002238005,2,8/26/2018,Copepoda,Nauplii,1.348559967,,11/17/2018,Tyler Butts
A18002238005,2,8/26/2018,Rotifera,Polyarthra,5.529768137,,11/17/2018,Tyler Butts
A18002238005,2,8/26/2018,Rotifera,Pompholyx,0.044523115,,11/17/2018,Tyler Butts
A18002238005,2,8/26/2018,Rotifera,Trichocerca,0.318456395,,11/17/2018,Tyler Butts
A18003135003,3,5/15/2018,Cladocera,Bosmina,4.883268102,,11/18/2018,Quin Shingai
A18003135003,3,5/15/2018,Copepoda,Calanoida,5.748249594,,11/18/2018,Quin Shingai
A18003135003,3,5/15/2018,Copepoda,Cyclopoida,23.13147685,,11/18/2018,Quin Shingai
A18003135003,3,5/15/2018,Cladocera,Daphnia,144.0591058,,11/18/2018,Quin Shingai
A18003135003,3,5/15/2018,Rotifera,Keratella.cochlearis,0.345929174,,11/18/2018,Quin Shingai
A18003135003,3,5/15/2018,Copepoda,Nauplii,2.358757368,,11/18/2018,Quin Shingai
A18003177001,3,6/26/2018,Rotifera,Asplanchna,0.999866922,,8/13/2018,Ashley Heins
A18003177001,3,6/26/2018,Rotifera,Brachionus,0.274871691,,8/13/2018,Ashley Heins
A18003177001,3,6/26/2018,Rotifera,Conochilus,0.578919868,,8/13/2018,Ashley Heins
A18003177001,3,6/26/2018,Copepoda,Cyclopoida,4.489686475,,8/13/2018,Ashley Heins
A18003177001,3,6/26/2018,Cladocera,Daphnia,94.56490692,,8/13/2018,Ashley Heins
A18003177001,3,6/26/2018,Rotifera,Gastropus,0.323397086,,8/13/2018,Ashley Heins
A18003177001,3,6/26/2018,Rotifera,Keratella.cochlearis,0.283058316,,8/13/2018,Ashley Heins
A18003177001,3,6/26/2018,Copepoda,Nauplii,1.559493557,,8/13/2018,Ashley Heins
A18003177001,3,6/26/2018,Rotifera,Polyarthra,0.969894061,,8/13/2018,Ashley Heins
A18003225003,3,8/13/2018,Rotifera,Ascomorpha,0.025462766,,9/14/2018,Ashley Heins
A18003225003,3,8/13/2018,Rotifera,Asplanchna,0.821534655,,9/14/2018,Ashley Heins
A18003225003,3,8/13/2018,Rotifera,Conochilus,0.658765439,,9/14/2018,Ashley Heins
A18003225003,3,8/13/2018,Copepoda,Cyclopoida,0.812000242,,9/14/2018,Ashley Heins
A18003225003,3,8/13/2018,Rotifera,Keratella.cochlearis,0.977362192,,9/14/2018,Ashley Heins
A18003225003,3,8/13/2018,Copepoda,Nauplii,6.147389346,,9/14/2018,Ashley Heins
A18003225003,3,8/13/2018,Rotifera,Polyarthra,1.36301743,,9/14/2018,Ashley Heins
A18003225003,3,8/13/2018,Rotifera,Pompholyx,0.0257488,,9/14/2018,Ashley Heins
A18004170006,4,6/19/2018,Cladocera,Bosmina,5.252859023,,11/12/2018,Tyler Butts
A18004170006,4,6/19/2018,Rotifera,Brachionus,0.444496591,,11/12/2018,Tyler Butts
A18004170006,4,6/19/2018,Copepoda,Calanoida,22.53013572,,11/12/2018,Tyler Butts
A18004170006,4,6/19/2018,Cladocera,Ceriodaphnia,32.53600531,,11/12/2018,Tyler Butts
A18004170006,4,6/19/2018,Cladocera,Chydorus,20.1462449,,11/12/2018,Tyler Butts
A18004170006,4,6/19/2018,Copepoda,Cyclopoida,10.23142062,,11/12/2018,Tyler Butts
A18004170006,4,6/19/2018,Cladocera,Daphnia,23.24218156,,11/12/2018,Tyler Butts
A18004170006,4,6/19/2018,Rotifera,Filinia,0.317157677,,11/12/2018,Tyler Butts
A18004170006,4,6/19/2018,Rotifera,Keratella.cochlearis,1.171145868,,11/12/2018,Tyler Butts
A18004170006,4,6/19/2018,Copepoda,Nauplii,7.766587338,,11/12/2018,Tyler Butts
A18004170006,4,6/19/2018,Rotifera,Polyarthra,0.030349716,,11/12/2018,Tyler Butts
A18004219004,4,8/7/2018,Cladocera,Bosmina,7.629596006,,11/8/2018,Ashley Heins
A18004219004,4,8/7/2018,Rotifera,Brachionus,0.070101672,,11/8/2018,Ashley Heins
A18004219004,4,8/7/2018,Cladocera,Ceriodaphnia,17.35265197,,11/8/2018,Ashley Heins
A18004219004,4,8/7/2018,Copepoda,Cyclopoida,20.94241918,,11/8/2018,Ashley Heins
A18004219004,4,8/7/2018,Cladocera,Daphnia,5.548483693,,11/8/2018,Ashley Heins
A18004219004,4,8/7/2018,Rotifera,Filinia,0.02342007,,11/8/2018,Ashley Heins
A18004219004,4,8/7/2018,Rotifera,Keratella.cochlearis,0.034031952,,11/8/2018,Ashley Heins
A18004219004,4,8/7/2018,Copepoda,Nauplii,2.59211439,,11/8/2018,Ashley Heins
A18004219004,4,8/7/2018,Rotifera,Polyarthra,0.06849895,,11/8/2018,Ashley Heins
A18004219004,4,8/7/2018,Rotifera,Pompholyx,0.078012707,,11/8/2018,Ashley Heins
A18004259011,4,9/16/2018,Cladocera,Bosmina,11.2166466,,11/14/2018,Elena Sandry
A18004259011,4,9/16/2018,Copepoda,Calanoida,3.025473008,,11/14/2018,Elena Sandry
A18004259011,4,9/16/2018,Copepoda,Cyclopoida,6.658172096,,11/14/2018,Elena Sandry
A18004259011,4,9/16/2018,Rotifera,Keratella.cochlearis,0.189582137,,11/14/2018,Elena Sandry
A18004259011,4,9/16/2018,Copepoda,Nauplii,4.13336919,,11/14/2018,Elena Sandry
A18005141006,5,5/21/2018,Copepoda,Calanoida,6.188302766,,6/6/2018,Ashley Heins
A18005141006,5,5/21/2018,Copepoda,Cyclopoida,27.76840942,,6/6/2018,Ashley Heins
A18005141006,5,5/21/2018,Cladocera,Daphnia,34.98134686,,6/6/2018,Ashley Heins
A18005141006,5,5/21/2018,Rotifera,Keratella.cochlearis,0.292224214,,6/6/2018,Ashley Heins
A18005141006,5,5/21/2018,Rotifera,Keratella.quadrata,0.386121573,,6/6/2018,Ashley Heins
A18005141006,5,5/21/2018,Copepoda,Nauplii,11.21732869,,6/6/2018,Ashley Heins
A18005191005,5,7/10/2018,Rotifera,Asplanchna,1.047375657,,1/15/2019,Quin Shingai
A18005191005,5,7/10/2018,Rotifera,Brachionus,1.283844299,,1/15/2019,Quin Shingai
A18005191005,5,7/10/2018,Copepoda,Cyclopoida,5.684593909,,1/15/2019,Quin Shingai
A18005191005,5,7/10/2018,Rotifera,Filinia,1.867497902,,1/15/2019,Quin Shingai
A18005191005,5,7/10/2018,Rotifera,Keratella.cochlearis,0.239067918,,1/15/2019,Quin Shingai
A18005191005,5,7/10/2018,Copepoda,Nauplii,3.643785029,,1/15/2019,Quin Shingai
A18005191005,5,7/10/2018,Rotifera,Polyarthra,3.982447868,,1/15/2019,Quin Shingai
A18005191005,5,7/10/2018,Rotifera,Pompholyx,0.17985045,,1/15/2019,Quin Shingai
A18005191005,5,7/10/2018,Rotifera,Trichocerca,10.74498525,,1/15/2019,Quin Shingai
A18005234006,5,8/22/2018,Rotifera,Brachionus,4.476247526,,9/26/2018,Ashley Heins
A18005234006,5,8/22/2018,Rotifera,Filinia,0.544317315,,9/26/2018,Ashley Heins
A18005234006,5,8/22/2018,Rotifera,Keratella.cochlearis,0.044374358,,9/26/2018,Ashley Heins
A18005234006,5,8/22/2018,Copepoda,Nauplii,1.827503728,,9/26/2018,Ashley Heins
A18005234006,5,8/22/2018,Rotifera,Polyarthra,0.241339494,,9/26/2018,Ashley Heins
A18005234006,5,8/22/2018,Rotifera,Pompholyx,0.010995686,,9/26/2018,Ashley Heins
A18005234006,5,8/22/2018,Rotifera,Trichotria,0.07981062,,9/26/2018,Ashley Heins
A18006134011,6,5/14/2018,Copepoda,Cyclopoida,0.023735597,,1/17/2019,Quin Shingai
A18006134011,6,5/14/2018,Cladocera,Daphnia,0.1640489,,1/17/2019,Quin Shingai
A18006134011,6,5/14/2018,Rotifera,Keratella.cochlearis,0.000556877,,1/17/2019,Quin Shingai
A18006134011,6,5/14/2018,Copepoda,Nauplii,0.089998997,,1/17/2019,Quin Shingai
A18006177004,6,6/26/2018,Copepoda,Cyclopoida,11.55282465,,7/9/2018,Emma Califf
A18006177004,6,6/26/2018,Cladocera,Daphnia,67.393218,,7/9/2018,Emma Califf
A18006177004,6,6/26/2018,Rotifera,Keratella.cochlearis,0.026539785,,7/9/2018,Emma Califf
A18006177004,6,6/26/2018,Copepoda,Nauplii,2.520130003,,7/9/2018,Emma Califf
A18006177004,6,6/26/2018,Rotifera,Pompholyx,0.026995123,,7/9/2018,Emma Califf
A18006226002,6,8/14/2018,Cladocera,Bosmina,0.257338571,,12/2/2018,Quin Shingai
A18006226002,6,8/14/2018,Rotifera,Brachionus,0.082921924,,12/2/2018,Quin Shingai
A18006226002,6,8/14/2018,Copepoda,Cyclopoida,129.5315635,,12/2/2018,Quin Shingai
A18006226002,6,8/14/2018,Cladocera,Daphnia,37.92556242,,12/2/2018,Quin Shingai
A18006226002,6,8/14/2018,Rotifera,Filinia,0.035015011,,12/2/2018,Quin Shingai
A18006226002,6,8/14/2018,Rotifera,Kellicottia,0.014434401,,12/2/2018,Quin Shingai
A18006226002,6,8/14/2018,Rotifera,Keratella.cochlearis,0.158288495,,12/2/2018,Quin Shingai
A18006226002,6,8/14/2018,Copepoda,Nauplii,8.653046925,,12/2/2018,Quin Shingai
A18006226002,6,8/14/2018,Rotifera,Polyarthra,4.248034163,,12/2/2018,Quin Shingai
A18007155006,7,6/4/2018,Cladocera,Alonella,0.008946146,,11/29/2018,Quin Shingai
A18007155006,7,6/4/2018,Copepoda,Calanoida,6.07210317,,11/29/2018,Quin Shingai
A18007155006,7,6/4/2018,Copepoda,Cyclopoida,3.359987147,,11/29/2018,Quin Shingai
A18007155006,7,6/4/2018,Cladocera,Daphnia,41.15214308,,11/29/2018,Quin Shingai
A18007155006,7,6/4/2018,Rotifera,Keratella.cochlearis,0.03804902,,11/29/2018,Quin Shingai
A18007155006,7,6/4/2018,Rotifera,Lecane,0.007037924,,11/29/2018,Quin Shingai
A18007155006,7,6/4/2018,Copepoda,Nauplii,0.158551887,,11/29/2018,Quin Shingai
A18007206010,7,7/25/2018,Rotifera,Brachionus,0.063830401,,11/13/2018,Emma Califf
A18007206010,7,7/25/2018,Copepoda,Calanoida,8.542550703,,11/13/2018,Emma Califf
A18007206010,7,7/25/2018,Copepoda,Cyclopoida,8.480969968,,11/13/2018,Emma Califf
A18007206010,7,7/25/2018,Rotifera,Filinia,0.005453446,,11/13/2018,Emma Califf
A18007206010,7,7/25/2018,Rotifera,Keratella.cochlearis,0.175368147,,11/13/2018,Emma Califf
A18007206010,7,7/25/2018,Copepoda,Nauplii,1.398805964,,11/13/2018,Emma Califf
A18007206010,7,7/25/2018,Rotifera,Platyias,0.306223153,,11/13/2018,Emma Califf
A18007206010,7,7/25/2018,Rotifera,Polyarthra,0.017829656,,11/13/2018,Emma Califf
A18007206010,7,7/25/2018,Rotifera,Pompholyx,0.006877964,,11/13/2018,Emma Califf
A18007206010,7,7/25/2018,Rotifera,Trichocerca,4.281052734,,11/13/2018,Emma Califf
A18007242002,7,8/30/2018,Rotifera,Brachionus,0.040391352,,12/5/2018,Emma Califf
A18007242002,7,8/30/2018,Rotifera,Filinia,0.053316063,,12/5/2018,Emma Califf
A18007242002,7,8/30/2018,Rotifera,Keratella.cochlearis,0.079500555,,12/5/2018,Emma Califf
A18007242002,7,8/30/2018,Copepoda,Nauplii,0.343407468,,12/5/2018,Emma Califf
A18007242002,7,8/30/2018,Rotifera,Polyarthra,0.042212078,,12/5/2018,Emma Califf
A18007242002,7,8/30/2018,Rotifera,Testudinella,0.055425495,,12/5/2018,Emma Califf
A18008169014,8,6/18/2018,Copepoda,Cyclopoida,135.2053288,,7/17/2018,Emma Califf
A18008169014,8,6/18/2018,Cladocera,Daphnia,54.88393076,,7/17/2018,Emma Califf
A18008169014,8,6/18/2018,Rotifera,Keratella.cochlearis,2.650097752,,7/17/2018,Emma Califf
A18008169014,8,6/18/2018,Copepoda,Nauplii,21.456973,,7/17/2018,Emma Califf
A18008169014,8,6/18/2018,Rotifera,Polyarthra,1.197171724,,7/17/2018,Emma Califf
A18008219004,8,8/7/2018,Copepoda,Cyclopoida,4.82717884,,11/29/2018,Ashley Heins
A18008219004,8,8/7/2018,Cladocera,Daphnia,11.71962756,,11/29/2018,Ashley Heins
A18008219004,8,8/7/2018,Rotifera,Kellicottia,0.011541098,,11/29/2018,Ashley Heins
A18008219004,8,8/7/2018,Rotifera,Keratella.cochlearis,0.049534381,,11/29/2018,Ashley Heins
A18008219004,8,8/7/2018,Copepoda,Nauplii,0.602165346,,11/29/2018,Ashley Heins
A18008219004,8,8/7/2018,Rotifera,Polyarthra,1.023508962,,11/29/2018,Ashley Heins
A18008259010,8,9/16/2018,Cladocera,Bosmina,0.023960043,,11/14/2018,Ashley Heins
A18008259010,8,9/16/2018,Rotifera,Brachionus,0.002918895,,11/14/2018,Ashley Heins
A18008259010,8,9/16/2018,Copepoda,Calanoida,0.752049471,,11/14/2018,Ashley Heins
A18008259010,8,9/16/2018,Copepoda,Cyclopoida,1.713846308,,11/14/2018,Ashley Heins
A18008259010,8,9/16/2018,Rotifera,Kellicottia,0.007953475,,11/14/2018,Ashley Heins
A18008259010,8,9/16/2018,Rotifera,Keratella.cochlearis,0.001339387,,11/14/2018,Ashley Heins
A18008259010,8,9/16/2018,Copepoda,Nauplii,0.235631811,,11/14/2018,Ashley Heins
A18008259010,8,9/16/2018,Rotifera,Polyarthra,0.011032176,,11/14/2018,Ashley Heins
A18008259010,8,9/16/2018,Rotifera,Pompholyx,0.001571851,,11/14/2018,Ashley Heins
A18008259010,8,9/16/2018,Rotifera,Synchaeta,0.011243912,,11/14/2018,Ashley Heins
A18009163008,9,6/15/2018,Cladocera,Bosmina,0.356452791,,10/1/2018,Tyler Butts
A18009163008,9,6/15/2018,Copepoda,Calanoida,11.64342753,,10/1/2018,Tyler Butts
A18009163008,9,6/15/2018,Copepoda,Cyclopoida,1.414359699,,10/1/2018,Tyler Butts
A18009163008,9,6/15/2018,Cladocera,Daphnia,7.402615095,,10/1/2018,Tyler Butts
A18009163008,9,6/15/2018,Rotifera,Keratella.cochlearis,0.10081415,,10/1/2018,Tyler Butts
A18009163008,9,6/15/2018,Copepoda,Nauplii,2.039166162,,10/1/2018,Tyler Butts
A18009163008,9,6/15/2018,Rotifera,Polyarthra,0.443724787,,10/1/2018,Tyler Butts
A18009213001,9,8/1/2018,Rotifera,Asplanchna,0.161810616,,10/15/2018,Tyler Butts
A18009213001,9,8/1/2018,Rotifera,Brachionus,0.396696918,,10/15/2018,Tyler Butts
A18009213001,9,8/1/2018,Copepoda,Cyclopoida,0.328214416,,10/15/2018,Tyler Butts
A18009213001,9,8/1/2018,Rotifera,Keratella.cochlearis,0.025039527,,10/15/2018,Tyler Butts
A18009213001,9,8/1/2018,Rotifera,Polyarthra,0.247603812,,10/15/2018,Tyler Butts
A18009213001,9,8/1/2018,Rotifera,Trichocerca,0.06542748,,10/15/2018,Tyler Butts
A18009254001,9,9/11/2018,Copepoda,Calanoida,6.662023489,,11/28/2018,Ashley Heins
A18009254001,9,9/11/2018,Copepoda,Cyclopoida,6.409036306,,11/28/2018,Ashley Heins
A18009254001,9,9/11/2018,Cladocera,Daphnia,0.237890935,,11/28/2018,Ashley Heins
A18009254001,9,9/11/2018,Cladocera,Diaphanosoma,0.249056264,,11/28/2018,Ashley Heins
A18009254001,9,9/11/2018,Rotifera,Keratella.cochlearis,0.000549043,,11/28/2018,Ashley Heins
A18009254001,9,9/11/2018,Copepoda,Nauplii,0.968400046,,11/28/2018,Ashley Heins
A18009254001,9,9/11/2018,Rotifera,Polyarthra,0.113823754,,11/28/2018,Ashley Heins
A18010150003,10,5/30/2018,Cladocera,Bosmina,5.70400402,,6/7/2018,Ashley Heins
A18010150003,10,5/30/2018,Copepoda,Calanoida,70.03788515,,6/7/2018,Ashley Heins
A18010150003,10,5/30/2018,Cladocera,Chydorus,2.740383924,,6/7/2018,Ashley Heins
A18010150003,10,5/30/2018,Copepoda,Cyclopoida,15.56225391,,6/7/2018,Ashley Heins
A18010150003,10,5/30/2018,Cladocera,Daphnia,79.54575988,,6/7/2018,Ashley Heins
A18010150003,10,5/30/2018,Rotifera,Keratella.cochlearis,0.374453954,,6/7/2018,Ashley Heins
A18010150003,10,5/30/2018,Rotifera,Keratella.quadrata,0.129234047,,6/7/2018,Ashley Heins
A18010150003,10,5/30/2018,Copepoda,Nauplii,4.237076589,,6/7/2018,Ashley Heins
A18010198003,10,7/17/2018,Cladocera,Bosmina,8.651532806,,1/15/2019,Quin Shingai
A18010198003,10,7/17/2018,Copepoda,Calanoida,31.57487717,,1/15/2019,Quin Shingai
A18010198003,10,7/17/2018,Copepoda,Cyclopoida,18.4325309,,1/15/2019,Quin Shingai
A18010198003,10,7/17/2018,Rotifera,Keratella.cochlearis,0.097975508,,1/15/2019,Quin Shingai
A18010198003,10,7/17/2018,Copepoda,Nauplii,6.141252806,,1/15/2019,Quin Shingai
A18010198003,10,7/17/2018,Rotifera,Polyarthra,0.082259168,,1/15/2019,Quin Shingai
A18010198003,10,7/17/2018,Rotifera,Trichocerca,3.456694283,,1/15/2019,Quin Shingai
A18010246012,10,9/3/2018,Rotifera,Ascomorpha,0.005131436,,1/11/2019,Quin Shingai
A18010246012,10,9/3/2018,Cladocera,Bosmina,0.413144624,,1/11/2019,Quin Shingai
A18010246012,10,9/3/2018,Copepoda,Calanoida,21.99671612,,1/11/2019,Quin Shingai
A18010246012,10,9/3/2018,Cladocera,Chydorus,2.549223588,,1/11/2019,Quin Shingai
A18010246012,10,9/3/2018,Copepoda,Cyclopoida,9.021749095,,1/11/2019,Quin Shingai
A18010246012,10,9/3/2018,Cladocera,Daphnia,24.3301368,,1/11/2019,Quin Shingai
A18010246012,10,9/3/2018,Cladocera,Diaphanosoma,2.016522224,,1/11/2019,Quin Shingai
A18010246012,10,9/3/2018,Rotifera,Keratella.cochlearis,0.049911844,,1/11/2019,Quin Shingai
A18010246012,10,9/3/2018,Copepoda,Nauplii,1.626598619,,1/11/2019,Quin Shingai
A18010246012,10,9/3/2018,Rotifera,Polyarthra,0.093674578,,1/11/2019,Quin Shingai
A18011135004,11,5/15/2018,Cladocera,Bosmina,72.60658689,,11/15/2018,Quin Shingai
A18011135004,11,5/15/2018,Copepoda,Calanoida,171.7405908,,11/15/2018,Quin Shingai
A18011135004,11,5/15/2018,Copepoda,Cyclopoida,339.598678,,11/15/2018,Quin Shingai
A18011135004,11,5/15/2018,Cladocera,Daphnia,978.9219281,,11/15/2018,Quin Shingai
A18011135004,11,5/15/2018,Rotifera,Keratella.cochlearis,0.091098588,,11/15/2018,Quin Shingai
A18011135004,11,5/15/2018,Rotifera,Keratella.quadrata,1.753437248,,11/15/2018,Quin Shingai
A18011135004,11,5/15/2018,Copepoda,Nauplii,3.024742551,,11/15/2018,Quin Shingai
A18011177002,11,6/26/2018,Rotifera,Asplanchna,0.664394884,,8/24/2018,Tyler Butts
A18011177002,11,6/26/2018,Rotifera,Brachionus,0.585683129,,8/24/2018,Tyler Butts
A18011177002,11,6/26/2018,Copepoda,Calanoida,29.50962057,,8/24/2018,Tyler Butts
A18011177002,11,6/26/2018,Cladocera,Ceriodaphnia,2.163687704,,8/24/2018,Tyler Butts
A18011177002,11,6/26/2018,Rotifera,Conochilus,0.074437733,,8/24/2018,Tyler Butts
A18011177002,11,6/26/2018,Rotifera,Filinia,2.077015185,,8/24/2018,Tyler Butts
A18011177002,11,6/26/2018,Copepoda,Nauplii,8.02636509,,8/24/2018,Tyler Butts
A18011177002,11,6/26/2018,Rotifera,Polyarthra,7.893782086,,8/24/2018,Tyler Butts
A18011177002,11,6/26/2018,Rotifera,Pompholyx,1.335751721,,8/24/2018,Tyler Butts
A18011177002,11,6/26/2018,Rotifera,Synchaeta,0.829450536,,8/24/2018,Tyler Butts
A18011177002,11,6/26/2018,Rotifera,Trichocerca,2.90946642,,8/24/2018,Tyler Butts
A18011225002,11,8/13/2018,Rotifera,Asplanchna,0.876773271,,9/14/2018,Ashley Heins
A18011225002,11,8/13/2018,Rotifera,Brachionus,0.410731008,,9/14/2018,Ashley Heins
A18011225002,11,8/13/2018,Copepoda,Calanoida,11.94374179,,9/14/2018,Ashley Heins
A18011225002,11,8/13/2018,Cladocera,Chydorus,3.275480164,,9/14/2018,Ashley Heins
A18011225002,11,8/13/2018,Copepoda,Cyclopoida,19.94037549,,9/14/2018,Ashley Heins
A18011225002,11,8/13/2018,Cladocera,Diaphanosoma,17.49491151,,9/14/2018,Ashley Heins
A18011225002,11,8/13/2018,Copepoda,Nauplii,21.24723074,,9/14/2018,Ashley Heins
A18011225002,11,8/13/2018,Rotifera,Platyias,6.442176203,,9/14/2018,Ashley Heins
A18011225002,11,8/13/2018,Rotifera,Polyarthra,0.566979591,,9/14/2018,Ashley Heins
A18012134004,12,5/14/2018,Rotifera,Asplanchna,14.30492601,,12/4/2018,Quin Shingai
A18012134004,12,5/14/2018,Cladocera,Bosmina,184.0447734,,12/4/2018,Quin Shingai
A18012134004,12,5/14/2018,Copepoda,Calanoida,65.2111811,,12/4/2018,Quin Shingai
A18012134004,12,5/14/2018,Cladocera,Chydorus,36.28903219,,12/4/2018,Quin Shingai
A18012134004,12,5/14/2018,Copepoda,Cyclopoida,272.3895779,,12/4/2018,Quin Shingai
A18012134004,12,5/14/2018,Cladocera,Daphnia,130.7623523,,12/4/2018,Quin Shingai
A18012134004,12,5/14/2018,Rotifera,Keratella.cochlearis,0.374382315,,12/4/2018,Quin Shingai
A18012134004,12,5/14/2018,Rotifera,Keratella.quadrata,0.757797268,,12/4/2018,Quin Shingai
A18012134004,12,5/14/2018,Copepoda,Nauplii,12.07431038,,12/4/2018,Quin Shingai
A18012176003,12,6/25/2018,,,,4,6/27/2018,Ashley Heins
A18012225010,12,8/13/2018,Cladocera,Alona,1.110209928,,12/3/2018,Emma Califf
