Lake,TAG.NUMBER,Structure,Reader,AgeEst,MeanAge
Silver,Env13,Dorsal,Marcus,6,4.666666667
Silver,Env137,Dorsal,Marcus,4,3.666666667
Silver,Env14,Dorsal,Marcus,15,11
Silver,Env140,Dorsal,Marcus,12,7.666666667
Silver,Env141,Dorsal,Marcus,4,3.333333333
Silver,Env142,Dorsal,Marcus,9,8
Silver,Env15,Dorsal,Marcus,9,6.333333333
Silver,Env18,Dorsal,Marcus,2,2
Silver,Env19,Dorsal,Marcus,5,4
Silver,Env2,Dorsal,Marcus,10,7.333333333
Silver,Env25,Dorsal,Marcus,13,7
Silver,Env27,Dorsal,Marcus,4,3.666666667
Silver,Env28,Dorsal,Marcus,10,7.333333333
Silver,Env29,Dorsal,Marcus,12,8
Silver,Env3,Dorsal,Marcus,12,9.5
Silver,Env30,Dorsal,Marcus,4,2.666666667
Silver,Env47,Dorsal,Marcus,2,2.666666667
Silver,Env48,Dorsal,Marcus,3,2.666666667
Silver,Env49,Dorsal,Marcus,4,2.666666667
Silver,Env53,Dorsal,Marcus,11,8.666666667
Silver,Env55,Dorsal,Marcus,4,4.333333333
Silver,Env6,Dorsal,Marcus,4,4.333333333
Silver,Env60,Dorsal,Marcus,,NA
Silver,Env61,Dorsal,Marcus,11,8.666666667
Silver,Env63,Dorsal,Marcus,4,3
Silver,Env66,Dorsal,Marcus,13,9
Silver,Env67,Dorsal,Marcus,5,3.666666667
Silver,Env82,Dorsal,Marcus,4,4
Silver,Env84,Dorsal,Marcus,4,3.666666667
Silver,Env87,Dorsal,Marcus,5,4.333333333
Silver,Env89,Dorsal,Marcus,7,5.666666667
Silver,Env93,Dorsal,Marcus,4,3.333333333
Silver,Env94,Dorsal,Marcus,10,9.333333333
Silver,Env97,Dorsal,Marcus,14,10.66666667
Silver,Env99,Dorsal,Marcus,10,7.333333333
5 Island,Env105,Dorsal,Drake,13,13
5 Island,Env106,Dorsal,Drake,13,13.66666667
5 Island,Env112,Dorsal,Drake,8,9
5 Island,Env117,Dorsal,Drake,8,8.333333333
5 Island,Env119,Dorsal,Drake,8,9.333333333
5 Island,Env131,Dorsal,Drake,13,10.33333333
5 Island,Env132,Dorsal,Drake,8,6.666666667
5 Island,Env135,Dorsal,Drake,7,8.666666667
5 Island,Env137,Dorsal,Drake,7,7.666666667
5 Island,Env146,Dorsal,Drake,10,11.33333333
5 Island,Env149,Dorsal,Drake,9,9.333333333
5 Island,Env156,Dorsal,Drake,14,12.33333333
5 Island,Env157,Dorsal,Drake,7,9
5 Island,Env161,Dorsal,Drake,13,9.666666667
5 Island,Env164,Dorsal,Drake,9,7.666666667
5 Island,Env167,Dorsal,Drake,10,10
5 Island,Env168,Dorsal,Drake,5,3.333333333
5 Island,Env169,Dorsal,Drake,9,8.666666667
5 Island,Env172,Dorsal,Drake,3,2.666666667
5 Island,Env176,Dorsal,Drake,8,8
5 Island,Env182,Dorsal,Drake,10,6.666666667
5 Island,Env183,Dorsal,Drake,7,6
5 Island,Env189,Dorsal,Drake,10,10
5 Island,Env235,Dorsal,Drake,11,11.66666667
5 Island,Env236,Dorsal,Drake,11,9.333333333
5 Island,Env244,Dorsal,Drake,12,11.66666667
5 Island,Env246,Dorsal,Drake,4,3.333333333
5 Island,Env247,Dorsal,Drake,8,7.333333333
5 Island,Env249,Dorsal,Drake,3,3
5 Island,Env250,Dorsal,Drake,2,2.666666667
5 Island,Env254,Dorsal,Drake,,NA
5 Island,Env256,Dorsal,Drake,3,3
5 Island,Env259,Dorsal,Drake,5,3.666666667
5 Island,Env265,Dorsal,Drake,2,2
5 Island,Env268,Dorsal,Drake,10,8.333333333
Center,Env101,Dorsal,Drake,3,4.666666667
Center,Env11,Dorsal,Drake,5,4.666666667
Center,Env113,Dorsal,Drake,3,3.666666667
Center,Env131,Dorsal,Drake,6,5.666666667
Center,Env19,Dorsal,Drake,7,6
Center,Env23,Dorsal,Drake,6,5
Center,Env3,Dorsal,Drake,3,3.333333333
Center,Env36,Dorsal,Drake,9,8.333333333
Center,Env39,Dorsal,Drake,6,5.666666667
Center,Env44,Dorsal,Drake,4,3.666666667
Center,Env45,Dorsal,Drake,,NA
Center,Env5,Dorsal,Drake,8,8.333333333
Center,Env51,Dorsal,Drake,,NA
Center,Env52,Dorsal,Drake,13,8.666666667
Center,Env58,Dorsal,Drake,8,9
Center,Env59,Dorsal,Drake,5,4.666666667
Center,Env61,Dorsal,Drake,5,5
Center,Env62,Dorsal,Drake,10,9.666666667
Center,Env63,Dorsal,Drake,8,8
Center,Env64,Dorsal,Drake,5,6
Center,Env66,Dorsal,Drake,4,3.666666667
Center,Env71,Dorsal,Drake,8,9
Center,Env72,Dorsal,Drake,10,9.333333333
Center,Env73,Dorsal,Drake,7,7.333333333
Center,Env74,Dorsal,Drake,13,12.33333333
Center,Env75,Dorsal,Drake,7,6.666666667
Center,Env79,Dorsal,Drake,7,6.666666667
Center,Env8,Dorsal,Drake,3,4
Center,Env83,Dorsal,Drake,8,7
Center,Env89,Dorsal,Drake,8,9.333333333
Silver,Env100,Dorsal,Drake,4,5
Silver,Env101,Dorsal,Drake,2,3
Silver,Env107,Dorsal,Drake,4,5
Silver,Env121,Dorsal,Drake,7,6.666666667
Silver,Env123,Dorsal,Drake,12,10.66666667
Silver,Env13,Dorsal,Drake,5,4.666666667
Silver,Env137,Dorsal,Drake,4,3.666666667
Silver,Env14,Dorsal,Drake,10,11
Silver,Env140,Dorsal,Drake,7,7.666666667
Silver,Env141,Dorsal,Drake,3,3.333333333
Silver,Env142,Dorsal,Drake,7,8
Silver,Env15,Dorsal,Drake,6,6.333333333
Silver,Env18,Dorsal,Drake,2,2
Silver,Env19,Dorsal,Drake,4,4
Silver,Env2,Dorsal,Drake,6,7.333333333
Silver,Env25,Dorsal,Drake,3,7
Silver,Env27,Dorsal,Drake,4,3.666666667
Silver,Env28,Dorsal,Drake,7,7.333333333
Silver,Env29,Dorsal,Drake,6,8
Silver,Env3,Dorsal,Drake,7,9.5
Silver,Env30,Dorsal,Drake,2,2.666666667
Silver,Env47,Dorsal,Drake,4,2.666666667
Silver,Env48,Dorsal,Drake,2,2.666666667
Silver,Env49,Dorsal,Drake,2,2.666666667
Silver,Env53,Dorsal,Drake,10,8.666666667
Silver,Env55,Dorsal,Drake,5,4.333333333
Silver,Env6,Dorsal,Drake,5,4.333333333
Silver,Env60,Dorsal,Drake,,NA
Silver,Env61,Dorsal,Drake,10,8.666666667
Silver,Env63,Dorsal,Drake,3,3
Silver,Env66,Dorsal,Drake,8,9
Silver,Env67,Dorsal,Drake,4,3.666666667
Silver,Env82,Dorsal,Drake,5,4
Silver,Env84,Dorsal,Drake,4,3.666666667
Silver,Env87,Dorsal,Drake,4,4.333333333
Silver,Env89,Dorsal,Drake,5,5.666666667
Silver,Env93,Dorsal,Drake,3,3.333333333
Silver,Env94,Dorsal,Drake,10,9.333333333
Silver,Env97,Dorsal,Drake,12,10.66666667
Silver,Env99,Dorsal,Drake,6,7.333333333
5 Island,Env105,Dorsal,Marty,13,13
5 Island,Env106,Dorsal,Marty,12,13.66666667
5 Island,Env112,Dorsal,Marty,6,9
5 Island,Env117,Dorsal,Marty,8,8.333333333
5 Island,Env119,Dorsal,Marty,10,9.333333333
5 Island,Env131,Dorsal,Marty,7,10.33333333
5 Island,Env132,Dorsal,Marty,7,6.666666667
5 Island,Env135,Dorsal,Marty,7,8.666666667
5 Island,Env137,Dorsal,Marty,8,7.666666667
5 Island,Env146,Dorsal,Marty,9,11.33333333
5 Island,Env149,Dorsal,Marty,8,9.333333333
5 Island,Env156,Dorsal,Marty,7,12.33333333
5 Island,Env157,Dorsal,Marty,7,9
5 Island,Env161,Dorsal,Marty,4,9.666666667
5 Island,Env164,Dorsal,Marty,5,7.666666667
5 Island,Env167,Dorsal,Marty,9,10
5 Island,Env168,Dorsal,Marty,2,3.333333333
5 Island,Env169,Dorsal,Marty,7,8.666666667
5 Island,Env172,Dorsal,Marty,2,2.666666667
5 Island,Env176,Dorsal,Marty,4,8
5 Island,Env182,Dorsal,Marty,4,6.666666667
5 Island,Env183,Dorsal,Marty,5,6
5 Island,Env189,Dorsal,Marty,8,10
5 Island,Env235,Dorsal,Marty,9,11.66666667
5 Island,Env236,Dorsal,Marty,5,9.333333333
5 Island,Env244,Dorsal,Marty,7,11.66666667
5 Island,Env246,Dorsal,Marty,2,3.333333333
5 Island,Env247,Dorsal,Marty,4,7.333333333
5 Island,Env249,Dorsal,Marty,3,3
5 Island,Env250,Dorsal,Marty,2,2.666666667
5 Island,Env254,Dorsal,Marty,,NA
5 Island,Env256,Dorsal,Marty,3,3
5 Island,Env259,Dorsal,Marty,3,3.666666667
5 Island,Env265,Dorsal,Marty,2,2
5 Island,Env268,Dorsal,Marty,4,8.333333333
Center,Env101,Dorsal,Marty,3,4.666666667
Center,Env11,Dorsal,Marty,4,4.666666667
Center,Env113,Dorsal,Marty,3,3.666666667
Center,Env131,Dorsal,Marty,4,5.666666667
Center,Env19,Dorsal,Marty,4,6
Center,Env23,Dorsal,Marty,3,5
Center,Env3,Dorsal,Marty,4,3.333333333
Center,Env36,Dorsal,Marty,5,8.333333333
Center,Env39,Dorsal,Marty,5,5.666666667
Center,Env44,Dorsal,Marty,3,3.666666667
Center,Env45,Dorsal,Marty,,NA
Center,Env5,Dorsal,Marty,7,8.333333333
Center,Env51,Dorsal,Marty,,NA
Center,Env52,Dorsal,Marty,6,8.666666667
Center,Env58,Dorsal,Marty,5,9
Center,Env59,Dorsal,Marty,4,4.666666667
Center,Env61,Dorsal,Marty,4,5
Center,Env62,Dorsal,Marty,7,9.666666667
Center,Env63,Dorsal,Marty,6,8
Center,Env64,Dorsal,Marty,6,6
Center,Env66,Dorsal,Marty,3,3.666666667
Center,Env71,Dorsal,Marty,10,9
Center,Env72,Dorsal,Marty,8,9.333333333
Center,Env73,Dorsal,Marty,7,7.333333333
Center,Env74,Dorsal,Marty,11,12.33333333
Center,Env75,Dorsal,Marty,3,6.666666667
Center,Env79,Dorsal,Marty,6,6.666666667
Center,Env8,Dorsal,Marty,4,4
Center,Env83,Dorsal,Marty,4,7
Center,Env89,Dorsal,Marty,8,9.333333333
Silver,Env100,Dorsal,Marty,5,5
Silver,Env101,Dorsal,Marty,3,3
Silver,Env107,Dorsal,Marty,5,5
Silver,Env121,Dorsal,Marty,6,6.666666667
Silver,Env123,Dorsal,Marty,6,10.66666667
Silver,Env13,Dorsal,Marty,3,4.666666667
Silver,Env137,Dorsal,Marty,3,3.666666667
Silver,Env14,Dorsal,Marty,8,11
Silver,Env140,Dorsal,Marty,4,7.666666667
Silver,Env141,Dorsal,Marty,3,3.333333333
Silver,Env142,Dorsal,Marty,8,8
Silver,Env15,Dorsal,Marty,4,6.333333333
Silver,Env18,Dorsal,Marty,2,2
Silver,Env19,Dorsal,Marty,3,4
Silver,Env2,Dorsal,Marty,6,7.333333333
Silver,Env25,Dorsal,Marty,5,7
Silver,Env27,Dorsal,Marty,3,3.666666667
Silver,Env28,Dorsal,Marty,5,7.333333333
Silver,Env29,Dorsal,Marty,6,8
Silver,Env3,Dorsal,Marty,,9.5
Silver,Env30,Dorsal,Marty,2,2.666666667
Silver,Env47,Dorsal,Marty,2,2.666666667
Silver,Env48,Dorsal,Marty,3,2.666666667
Silver,Env49,Dorsal,Marty,2,2.666666667
Silver,Env53,Dorsal,Marty,5,8.666666667
Silver,Env55,Dorsal,Marty,4,4.333333333
Silver,Env6,Dorsal,Marty,4,4.333333333
Silver,Env60,Dorsal,Marty,,NA
Silver,Env61,Dorsal,Marty,5,8.666666667
Silver,Env63,Dorsal,Marty,2,3
Silver,Env66,Dorsal,Marty,6,9
Silver,Env67,Dorsal,Marty,2,3.666666667
Silver,Env82,Dorsal,Marty,3,4
Silver,Env84,Dorsal,Marty,3,3.666666667
Silver,Env87,Dorsal,Marty,4,4.333333333
Silver,Env89,Dorsal,Marty,5,5.666666667
Silver,Env93,Dorsal,Marty,3,3.333333333
Silver,Env94,Dorsal,Marty,8,9.333333333
Silver,Env97,Dorsal,Marty,6,10.66666667
Silver,Env99,Dorsal,Marty,6,7.333333333
5 Island,Env105,Pectoral,Marcus,13,13.33333333
5 Island,Env106,Pectoral,Marcus,17,14.66666667
5 Island,Env112,Pectoral,Marcus,12,9
5 Island,Env117,Pectoral,Marcus,10,8.333333333
5 Island,Env119,Pectoral,Marcus,11,10
5 Island,Env131,Pectoral,Marcus,11,8
5 Island,Env132,Pectoral,Marcus,15,12
5 Island,Env135,Pectoral,Marcus,13,13
5 Island,Env137,Pectoral,Marcus,15,10.33333333
5 Island,Env146,Pectoral,Marcus,12,9.666666667
5 Island,Env149,Pectoral,Marcus,14,13
5 Island,Env156,Pectoral,Marcus,15,14.33333333
5 Island,Env157,Pectoral,Marcus,13,11.33333333
5 Island,Env161,Pectoral,Marcus,14,11.66666667
5 Island,Env164,Pectoral,Marcus,9,8.333333333
5 Island,Env167,Pectoral,Marcus,15,12.66666667
5 Island,Env168,Pectoral,Marcus,3,2.666666667
5 Island,Env169,Pectoral,Marcus,16,15.33333333
5 Island,Env172,Pectoral,Marcus,3,2.333333333
5 Island,Env176,Pectoral,Marcus,15,13.33333333
5 Island,Env182,Pectoral,Marcus,7,6
5 Island,Env183,Pectoral,Marcus,7,6
5 Island,Env189,Pectoral,Marcus,13,12.33333333
5 Island,Env235,Pectoral,Marcus,12,10.66666667
5 Island,Env236,Pectoral,Marcus,13,13.33333333
5 Island,Env244,Pectoral,Marcus,12,11
5 Island,Env246,Pectoral,Marcus,,2
5 Island,Env247,Pectoral,Marcus,14,11.33333333
5 Island,Env249,Pectoral,Marcus,3,3
5 Island,Env250,Pectoral,Marcus,,NA
5 Island,Env254,Pectoral,Marcus,3,3
5 Island,Env256,Pectoral,Marcus,3,2.666666667
5 Island,Env259,Pectoral,Marcus,3,3
5 Island,Env265,Pectoral,Marcus,,NA
5 Island,Env268,Pectoral,Marcus,12,11.33333333
Center,Env101,Pectoral,Marcus,8,6
Center,Env11,Pectoral,Marcus,5,5
Center,Env113,Pectoral,Marcus,4,3.666666667
Center,Env131,Pectoral,Marcus,7,5.666666667
Center,Env19,Pectoral,Marcus,7,6.333333333
Center,Env23,Pectoral,Marcus,,NA
Center,Env3,Pectoral,Marcus,4,4
Center,Env36,Pectoral,Marcus,11,11
Center,Env39,Pectoral,Marcus,7,5.666666667
Center,Env44,Pectoral,Marcus,5,4.666666667
Center,Env45,Pectoral,Marcus,5,4.333333333
Center,Env5,Pectoral,Marcus,11,10.33333333
Center,Env51,Pectoral,Marcus,4,4
Center,Env52,Pectoral,Marcus,10,8
Center,Env58,Pectoral,Marcus,14,9.333333333
Center,Env59,Pectoral,Marcus,11,11
Center,Env61,Pectoral,Marcus,13,11.33333333
Center,Env62,Pectoral,Marcus,13,11.33333333
Center,Env63,Pectoral,Marcus,10,9
Center,Env64,Pectoral,Marcus,13,12
Center,Env66,Pectoral,Marcus,5,4.333333333
Center,Env71,Pectoral,Marcus,10,11
Center,Env72,Pectoral,Marcus,12,12
Center,Env73,Pectoral,Marcus,10,12.33333333
Center,Env74,Pectoral,Marcus,,NA
Center,Env75,Pectoral,Marcus,9,6.666666667
Center,Env79,Pectoral,Marcus,11,10.33333333
Center,Env8,Pectoral,Marcus,5,4.333333333
Center,Env83,Pectoral,Marcus,10,11
Center,Env89,Pectoral,Marcus,10,10.33333333
Silver,Env100,Pectoral,Marcus,8,6.666666667
Silver,Env101,Pectoral,Marcus,4,3.333333333
Silver,Env107,Pectoral,Marcus,2,2
Silver,Env121,Pectoral,Marcus,8,6
Silver,Env123,Pectoral,Marcus,10,7.666666667
Silver,Env13,Pectoral,Marcus,6,5
Silver,Env137,Pectoral,Marcus,4,3
Silver,Env14,Pectoral,Marcus,14,11.66666667
Silver,Env140,Pectoral,Marcus,13,10.66666667
Silver,Env141,Pectoral,Marcus,4,3.333333333
Silver,Env142,Pectoral,Marcus,9,8.333333333
Silver,Env15,Pectoral,Marcus,8,7.333333333
Silver,Env18,Pectoral,Marcus,,2.5
Silver,Env19,Pectoral,Marcus,4,3
Silver,Env2,Pectoral,Marcus,12,10
Silver,Env25,Pectoral,Marcus,19,15
Silver,Env27,Pectoral,Marcus,5,4.333333333
Silver,Env28,Pectoral,Marcus,12,11.66666667
Silver,Env29,Pectoral,Marcus,13,11
Silver,Env3,Pectoral,Marcus,12,10
Silver,Env30,Pectoral,Marcus,4,3.333333333
Silver,Env47,Pectoral,Marcus,,NA
Silver,Env48,Pectoral,Marcus,,NA
Silver,Env49,Pectoral,Marcus,3,2.333333333
Silver,Env53,Pectoral,Marcus,13,12.33333333
Silver,Env55,Pectoral,Marcus,5,4.333333333
Silver,Env6,Pectoral,Marcus,4,3.333333333
Silver,Env60,Pectoral,Marcus,3,3
Silver,Env61,Pectoral,Marcus,11,10
Silver,Env63,Pectoral,Marcus,4,3.333333333
Silver,Env66,Pectoral,Marcus,15,13.33333333
Silver,Env67,Pectoral,Marcus,4,3.333333333
Silver,Env82,Pectoral,Marcus,4,3.333333333
Silver,Env84,Pectoral,Marcus,4,3
Silver,Env87,Pectoral,Marcus,4,3.666666667
Silver,Env89,Pectoral,Marcus,8,6.666666667
Silver,Env93,Pectoral,Marcus,,NA
Silver,Env94,Pectoral,Marcus,11,9.333333333
Silver,Env97,Pectoral,Marcus,13,8.666666667
Silver,Env99,Pectoral,Marcus,11,8.666666667
5 Island,Env105,Pectoral,Drake,13,13.33333333
5 Island,Env106,Pectoral,Drake,13,14.66666667
5 Island,Env112,Pectoral,Drake,8,9
5 Island,Env117,Pectoral,Drake,8,8.333333333
5 Island,Env119,Pectoral,Drake,9,10
5 Island,Env131,Pectoral,Drake,3,8
5 Island,Env132,Pectoral,Drake,11,12
5 Island,Env135,Pectoral,Drake,13,13
5 Island,Env137,Pectoral,Drake,10,10.33333333
5 Island,Env146,Pectoral,Drake,8,9.666666667
5 Island,Env149,Pectoral,Drake,13,13
5 Island,Env156,Pectoral,Drake,14,14.33333333
5 Island,Env157,Pectoral,Drake,10,11.33333333
5 Island,Env161,Pectoral,Drake,9,11.66666667
5 Island,Env164,Pectoral,Drake,7,8.333333333
5 Island,Env167,Pectoral,Drake,11,12.66666667
5 Island,Env168,Pectoral,Drake,2,2.666666667
5 Island,Env169,Pectoral,Drake,15,15.33333333
5 Island,Env172,Pectoral,Drake,2,2.333333333
5 Island,Env176,Pectoral,Drake,11,13.33333333
5 Island,Env182,Pectoral,Drake,6,6
5 Island,Env183,Pectoral,Drake,5,6
5 Island,Env189,Pectoral,Drake,12,12.33333333
5 Island,Env235,Pectoral,Drake,10,10.66666667
5 Island,Env236,Pectoral,Drake,14,13.33333333
5 Island,Env244,Pectoral,Drake,10,11
5 Island,Env246,Pectoral,Drake,2,2
5 Island,Env247,Pectoral,Drake,12,11.33333333
5 Island,Env249,Pectoral,Drake,3,3
5 Island,Env250,Pectoral,Drake,,NA
5 Island,Env254,Pectoral,Drake,3,3
5 Island,Env256,Pectoral,Drake,2,2.666666667
5 Island,Env259,Pectoral,Drake,3,3
5 Island,Env265,Pectoral,Drake,,NA
5 Island,Env268,Pectoral,Drake,12,11.33333333
Center,Env101,Pectoral,Drake,5,6
Center,Env11,Pectoral,Drake,5,5
Center,Env113,Pectoral,Drake,4,3.666666667
Center,Env131,Pectoral,Drake,5,5.666666667
Center,Env19,Pectoral,Drake,6,6.333333333
Center,Env23,Pectoral,Drake,,NA
Center,Env3,Pectoral,Drake,4,4
Center,Env36,Pectoral,Drake,12,11
Center,Env39,Pectoral,Drake,5,5.666666667
Center,Env44,Pectoral,Drake,5,4.666666667
Center,Env45,Pectoral,Drake,4,4.333333333
Center,Env5,Pectoral,Drake,10,10.33333333
Center,Env51,Pectoral,Drake,4,4
Center,Env52,Pectoral,Drake,8,8
Center,Env58,Pectoral,Drake,7,9.333333333
Center,Env59,Pectoral,Drake,11,11
Center,Env61,Pectoral,Drake,11,11.33333333
Center,Env62,Pectoral,Drake,13,11.33333333
Center,Env63,Pectoral,Drake,9,9
Center,Env64,Pectoral,Drake,13,12
Center,Env66,Pectoral,Drake,4,4.333333333
Center,Env71,Pectoral,Drake,13,11
Center,Env72,Pectoral,Drake,12,12
Center,Env73,Pectoral,Drake,12,12.33333333
Center,Env74,Pectoral,Drake,,NA
Center,Env75,Pectoral,Drake,5,6.666666667
Center,Env79,Pectoral,Drake,13,10.33333333
Center,Env8,Pectoral,Drake,5,4.333333333
Center,Env83,Pectoral,Drake,16,11
Center,Env89,Pectoral,Drake,11,10.33333333
Silver,Env100,Pectoral,Drake,6,6.666666667
Silver,Env101,Pectoral,Drake,3,3.333333333
Silver,Env107,Pectoral,Drake,2,2
Silver,Env121,Pectoral,Drake,5,6
Silver,Env123,Pectoral,Drake,6,7.666666667
Silver,Env13,Pectoral,Drake,5,5
Silver,Env137,Pectoral,Drake,3,3
Silver,Env14,Pectoral,Drake,10,11.66666667
Silver,Env140,Pectoral,Drake,10,10.66666667
Silver,Env141,Pectoral,Drake,3,3.333333333
Silver,Env142,Pectoral,Drake,6,8.333333333
Silver,Env15,Pectoral,Drake,5,7.333333333
Silver,Env18,Pectoral,Drake,4,2.5
Silver,Env19,Pectoral,Drake,3,3
Silver,Env2,Pectoral,Drake,8,10
Silver,Env25,Pectoral,Drake,17,15
Silver,Env27,Pectoral,Drake,4,4.333333333
Silver,Env28,Pectoral,Drake,12,11.66666667
Silver,Env29,Pectoral,Drake,9,11
Silver,Env3,Pectoral,Drake,8,10
Silver,Env30,Pectoral,Drake,4,3.333333333
Silver,Env47,Pectoral,Drake,,NA
Silver,Env48,Pectoral,Drake,,NA
Silver,Env49,Pectoral,Drake,2,2.333333333
Silver,Env53,Pectoral,Drake,12,12.33333333
Silver,Env55,Pectoral,Drake,3,4.333333333
Silver,Env6,Pectoral,Drake,3,3.333333333
Silver,Env60,Pectoral,Drake,3,3
Silver,Env61,Pectoral,Drake,9,10
Silver,Env63,Pectoral,Drake,3,3.333333333
Silver,Env66,Pectoral,Drake,13,13.33333333
Silver,Env67,Pectoral,Drake,3,3.333333333
Silver,Env82,Pectoral,Drake,3,3.333333333
Silver,Env84,Pectoral,Drake,2,3
Silver,Env87,Pectoral,Drake,3,3.666666667
Silver,Env89,Pectoral,Drake,5,6.666666667
Silver,Env93,Pectoral,Drake,,NA
Silver,Env94,Pectoral,Drake,7,9.333333333
Silver,Env97,Pectoral,Drake,6,8.666666667
Silver,Env99,Pectoral,Drake,7,8.666666667
5 Island,Env105,Pectoral,Marty,14,13.33333333
5 Island,Env106,Pectoral,Marty,14,14.66666667
5 Island,Env112,Pectoral,Marty,7,9
5 Island,Env117,Pectoral,Marty,7,8.333333333
5 Island,Env119,Pectoral,Marty,10,10
5 Island,Env131,Pectoral,Marty,10,8
5 Island,Env132,Pectoral,Marty,10,12
5 Island,Env135,Pectoral,Marty,13,13
5 Island,Env137,Pectoral,Marty,6,10.33333333
5 Island,Env146,Pectoral,Marty,9,9.666666667
5 Island,Env149,Pectoral,Marty,12,13
5 Island,Env156,Pectoral,Marty,14,14.33333333
5 Island,Env157,Pectoral,Marty,11,11.33333333
5 Island,Env161,Pectoral,Marty,12,11.66666667
5 Island,Env164,Pectoral,Marty,9,8.333333333
5 Island,Env167,Pectoral,Marty,12,12.66666667
5 Island,Env168,Pectoral,Marty,3,2.666666667
5 Island,Env169,Pectoral,Marty,15,15.33333333
5 Island,Env172,Pectoral,Marty,2,2.333333333
5 Island,Env176,Pectoral,Marty,14,13.33333333
5 Island,Env182,Pectoral,Marty,5,6
5 Island,Env183,Pectoral,Marty,6,6
5 Island,Env189,Pectoral,Marty,12,12.33333333
5 Island,Env235,Pectoral,Marty,10,10.66666667
5 Island,Env236,Pectoral,Marty,13,13.33333333
5 Island,Env244,Pectoral,Marty,11,11
5 Island,Env246,Pectoral,Marty,,2
5 Island,Env247,Pectoral,Marty,8,11.33333333
5 Island,Env249,Pectoral,Marty,3,3
5 Island,Env250,Pectoral,Marty,,NA
5 Island,Env254,Pectoral,Marty,3,3
5 Island,Env256,Pectoral,Marty,3,2.666666667
